Sexo y nivel de estudios;País;Indicador;periodo;Total
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2013;0,5
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2012;0,7
TOTAL;Letonia;En porcentaje del total de empleo de cada colectivo;2011;0,5
TOTAL;Lituania;Total (En miles);2023;6,6
TOTAL;Lituania;Total (En miles);2022;7,6
TOTAL;Lituania;Total (En miles);2021;6,6
TOTAL;Lituania;Total (En miles);2020;5,5
TOTAL;Lituania;Total (En miles);2019;5,8
TOTAL;Lituania;Total (En miles);2018;7,8
TOTAL;Lituania;Total (En miles);2017;7,4
TOTAL;Lituania;Total (En miles);2016;7,8
TOTAL;Lituania;Total (En miles);2015;6,8
TOTAL;Lituania;Total (En miles);2014;5,9
TOTAL;Lituania;Total (En miles);2013;5,2
TOTAL;Lituania;Total (En miles);2012;5,2
TOTAL;Lituania;Total (En miles);2011;5,3
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2023;0,5
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2022;0,5
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2021;0,5
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2020;0,4
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2019;0,4
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2018;0,6
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2017;0,5
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2016;0,6
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2015;0,5
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2014;0,5
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2013;0,4
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2012;0,4
TOTAL;Lituania;En porcentaje del total de empleo de cada colectivo;2011;0,4
TOTAL;Luxemburgo;Total (En miles);2023;2,5
TOTAL;Luxemburgo;Total (En miles);2022;2,2
TOTAL;Luxemburgo;Total (En miles);2021;1,6
TOTAL;Luxemburgo;Total (En miles);2020;2,1
TOTAL;Luxemburgo;Total (En miles);2019;1,7
TOTAL;Luxemburgo;Total (En miles);2018;1,9
TOTAL;Luxemburgo;Total (En miles);2017;1,8
TOTAL;Luxemburgo;Total (En miles);2016;2,4
TOTAL;Luxemburgo;Total (En miles);2015;1,8
TOTAL;Luxemburgo;Total (En miles);2014;1,2
TOTAL;Luxemburgo;Total (En miles);2013;1,5
TOTAL;Luxemburgo;Total (En miles);2012;1,3
TOTAL;Luxemburgo;Total (En miles);2011;1,1
TOTAL;Luxemburgo;En porcentaje del total de empleo de cada colectivo;2023;0,8
