Comunidad autónoma y tamaño del municipio;Indicador;Abonados;Total
Balears (Illes);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;8,2
Balears (Illes);En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,4
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Total;100
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;46,2
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;33,6
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;17,2
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;32,0
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;23,5
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;10,1
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;19,4
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;12,7
Balears (Illes);En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;8,2
Canarias;En porcentaje de la población total;Total;100
Canarias;En porcentaje de la población total;Abonados o socios: Total;22,6
Canarias;En porcentaje de la población total;Abonados o socios: Públicos;14,6
Canarias;En porcentaje de la población total;Abonados o socios: Privados;8,8
Canarias;En porcentaje de la población total;Abonados o socios de gimnasios: Total;10,8
Canarias;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;7,4
Canarias;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;3,5
Canarias;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;13,3
Canarias;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;7,6
Canarias;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,7
Canarias;En porcentaje de la población que practicó deporte en el último año;Total;100
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;37,4
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;24,4
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Privados;14,5
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Total;18,8
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Públicos;13,2
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios de gimnasios: Privados;5,6
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Total;21,4
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Públicos;11,8
Canarias;En porcentaje de la población que practicó deporte en el último año;Abonados o socios a otras asociaciones o clubs: Privados;9,6
Cantabria;En porcentaje de la población total;Total;100
Cantabria;En porcentaje de la población total;Abonados o socios: Total;29,1
Cantabria;En porcentaje de la población total;Abonados o socios: Públicos;21,0
Cantabria;En porcentaje de la población total;Abonados o socios: Privados;9,6
Cantabria;En porcentaje de la población total;Abonados o socios de gimnasios: Total;18,0
Cantabria;En porcentaje de la población total;Abonados o socios de gimnasios: Públicos;13,5
Cantabria;En porcentaje de la población total;Abonados o socios de gimnasios: Privados;5,2
Cantabria;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Total;13,4
Cantabria;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Públicos;8,9
Cantabria;En porcentaje de la población total;Abonados o socios a otras asociaciones o clubs: Privados;5,0
Cantabria;En porcentaje de la población que practicó deporte en el último año;Total;100
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Total;54,0
Cantabria;En porcentaje de la población que practicó deporte en el último año;Abonados o socios: Públicos;39,5
