Comunidad autónoma y tamaño del municipio;Indicador;Disponen de licencia deportiva;Total
País Vasco;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);21,0
Rioja (La);En la población total;TOTAL (Miles);263
Rioja (La);En la población total;Disponen de licencia deportiva: Total  (%);8,9
Rioja (La);En la población total;Disponen de licencia deportiva: Una sola licencia (%);8,5
Rioja (La);En la población que practicó deporte en el último año;TOTAL (Miles);139
Rioja (La);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);16,7
Rioja (La);En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);15,8
Ceuta y Melilla;En la población total;TOTAL (Miles);129
Ceuta y Melilla;En la población total;Disponen de licencia deportiva: Total  (%);7,6
Ceuta y Melilla;En la población total;Disponen de licencia deportiva: Una sola licencia (%);6,1
Ceuta y Melilla;En la población que practicó deporte en el último año;TOTAL (Miles);66
Ceuta y Melilla;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);13,7
Ceuta y Melilla;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);10,8
Capitales de provincia;En la población total;TOTAL (Miles);12.461
Capitales de provincia;En la población total;Disponen de licencia deportiva: Total  (%);8,8
Capitales de provincia;En la población total;Disponen de licencia deportiva: Una sola licencia (%);7,7
Capitales de provincia;En la población que practicó deporte en el último año;TOTAL (Miles);6.930
Capitales de provincia;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);14,2
Capitales de provincia;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);12,7
De más de 50.000 habitantes;En la población total;TOTAL (Miles);8.051
De más de 50.000 habitantes;En la población total;Disponen de licencia deportiva: Total  (%);9,3
De más de 50.000 habitantes;En la población total;Disponen de licencia deportiva: Una sola licencia (%);7,6
De más de 50.000 habitantes;En la población que practicó deporte en el último año;TOTAL (Miles);4.561
De más de 50.000 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);14,4
De más de 50.000 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);12,2
De menos de 50.001 habitantes;En la población total;TOTAL (Miles);18.422
De menos de 50.001 habitantes;En la población total;Disponen de licencia deportiva: Total  (%);10,7
De menos de 50.001 habitantes;En la población total;Disponen de licencia deportiva: Una sola licencia (%);9,1
De menos de 50.001 habitantes;En la población que practicó deporte en el último año;TOTAL (Miles);9.349
De menos de 50.001 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Total  (%);18,3
De menos de 50.001 habitantes;En la población que practicó deporte en el último año;Disponen de licencia deportiva: Una sola licencia (%);16,2
