Comunidad autónoma-tamaño de municipio;Causa;Total
Capitales de provincia;Falta de interés;11,5
Capitales de provincia;Por edad;12,2
Capitales de provincia;Ya considera practicar suficiente;11,3
Capitales de provincia;Responsabilidades familiares;11,8
Capitales de provincia;Motivos de salud;10,7
Capitales de provincia;Motivos económicos;5,2
Capitales de provincia;Incompatibilidad horaria con las instalaciones;3,8
Capitales de provincia;Falta de instalaciones adecuadas;3,9
Capitales de provincia;No tener con quien practicarlo;3,9
De más de 50.000 habitantes;TOTAL;100,0
De más de 50.000 habitantes;Falta de tiempo;26,2
De más de 50.000 habitantes;Falta de interés;12,4
De más de 50.000 habitantes;Por edad;11,3
De más de 50.000 habitantes;Ya considera practicar suficiente;11,4
De más de 50.000 habitantes;Responsabilidades familiares;10,4
De más de 50.000 habitantes;Motivos de salud;10,3
De más de 50.000 habitantes;Motivos económicos;6,5
De más de 50.000 habitantes;Incompatibilidad horaria con las instalaciones;4,7
De más de 50.000 habitantes;Falta de instalaciones adecuadas;3,7
De más de 50.000 habitantes;No tener con quien practicarlo;3,9
De menos de 50.001 habitantes;TOTAL;100,0
De menos de 50.001 habitantes;Falta de tiempo;26,3
De menos de 50.001 habitantes;Falta de interés;12,0
De menos de 50.001 habitantes;Por edad;11,5
De menos de 50.001 habitantes;Ya considera practicar suficiente;11,4
De menos de 50.001 habitantes;Responsabilidades familiares;11,4
De menos de 50.001 habitantes;Motivos de salud;10,6
De menos de 50.001 habitantes;Motivos económicos;4,5
De menos de 50.001 habitantes;Incompatibilidad horaria con las instalaciones;4,4
De menos de 50.001 habitantes;Falta de instalaciones adecuadas;4,8
De menos de 50.001 habitantes;No tener con quien practicarlo;4,0
