Indicador;Tipo de bienes y servicios;periodo;Total
TOTAL (Millones de euros);2.2. Otros equipos;2012;588,0
TOTAL (Millones de euros);2.2. Otros equipos;2011;638,3
TOTAL (Millones de euros);2.2. Otros equipos;2010;643,7
TOTAL (Millones de euros);2.2. Otros equipos;2009;642,2
TOTAL (Millones de euros);2.2. Otros equipos;2008;632,6
TOTAL (Millones de euros);2.2. Otros equipos;2007;683,9
TOTAL (Millones de euros);2.2. Otros equipos;2006;655,7
TOTAL (Millones de euros);2.3. Bicicletas;2023;365,3
TOTAL (Millones de euros);2.3. Bicicletas;2022;389,3
TOTAL (Millones de euros);2.3. Bicicletas;2021;385,5
TOTAL (Millones de euros);2.3. Bicicletas;2020;352,2
TOTAL (Millones de euros);2.3. Bicicletas;2019;327,7
TOTAL (Millones de euros);2.3. Bicicletas;2018;390,4
TOTAL (Millones de euros);2.3. Bicicletas;2017;287,5
TOTAL (Millones de euros);2.3. Bicicletas;2016;334,7
TOTAL (Millones de euros);2.3. Bicicletas;2015;347,2
TOTAL (Millones de euros);2.3. Bicicletas;2014;316,8
TOTAL (Millones de euros);2.3. Bicicletas;2013;312,4
TOTAL (Millones de euros);2.3. Bicicletas;2012;309,3
TOTAL (Millones de euros);2.3. Bicicletas;2011;325,8
TOTAL (Millones de euros);2.3. Bicicletas;2010;297,6
TOTAL (Millones de euros);2.3. Bicicletas;2009;298,6
TOTAL (Millones de euros);2.3. Bicicletas;2008;249,1
TOTAL (Millones de euros);2.3. Bicicletas;2007;225,6
TOTAL (Millones de euros);2.3. Bicicletas;2006;222,5
Porcentaje;TOTAL;2023;100,0
Porcentaje;TOTAL;2022;100,0
Porcentaje;TOTAL;2021;100,0
Porcentaje;TOTAL;2020;100,0
Porcentaje;TOTAL;2019;100,0
Porcentaje;TOTAL;2018;100,0
Porcentaje;TOTAL;2017;100,0
Porcentaje;TOTAL;2016;100,0
Porcentaje;TOTAL;2015;100,0
Porcentaje;TOTAL;2014;100,0
Porcentaje;TOTAL;2013;100,0
Porcentaje;TOTAL;2012;100,0
Porcentaje;TOTAL;2011;100,0
Porcentaje;TOTAL;2010;100,0
Porcentaje;TOTAL;2009;100,0
Porcentaje;TOTAL;2008;100,0
Porcentaje;TOTAL;2007;100,0
Porcentaje;TOTAL;2006;100,0
Porcentaje;1. Servicios recreativos y deportivos;2023;76,9
Porcentaje;1. Servicios recreativos y deportivos;2022;76,3
Porcentaje;1. Servicios recreativos y deportivos;2021;68,4
Porcentaje;1. Servicios recreativos y deportivos;2020;64,5
Porcentaje;1. Servicios recreativos y deportivos;2019;77,6
Porcentaje;1. Servicios recreativos y deportivos;2018;76,9
Porcentaje;1. Servicios recreativos y deportivos;2017;79,2
Porcentaje;1. Servicios recreativos y deportivos;2016;78,1
Porcentaje;1. Servicios recreativos y deportivos;2015;74,5
Porcentaje;1. Servicios recreativos y deportivos;2014;74,9
Porcentaje;1. Servicios recreativos y deportivos;2013;77,5
Porcentaje;1. Servicios recreativos y deportivos;2012;70,8
Porcentaje;1. Servicios recreativos y deportivos;2011;71,9
Porcentaje;1. Servicios recreativos y deportivos;2010;68,9
Porcentaje;1. Servicios recreativos y deportivos;2009;70,6
Porcentaje;1. Servicios recreativos y deportivos;2008;74,2
Porcentaje;1. Servicios recreativos y deportivos;2007;68,0
Porcentaje;1. Servicios recreativos y deportivos;2006;71,1
Porcentaje;1.1. Asistencia a eventos;2023;14,8
Porcentaje;1.1. Asistencia a eventos;2022;11,9
Porcentaje;1.1. Asistencia a eventos;2021;7,0
Porcentaje;1.1. Asistencia a eventos;2020;6,3
Porcentaje;1.1. Asistencia a eventos;2019;9,7
Porcentaje;1.1. Asistencia a eventos;2018;12,0
Porcentaje;1.1. Asistencia a eventos;2017;11,9
Porcentaje;1.1. Asistencia a eventos;2016;17,5
Porcentaje;1.1. Asistencia a eventos;2015;16,4
Porcentaje;1.1. Asistencia a eventos;2014;16,5
Porcentaje;1.1. Asistencia a eventos;2013;17,1
Porcentaje;1.1. Asistencia a eventos;2012;15,6
Porcentaje;1.1. Asistencia a eventos;2011;15,8
Porcentaje;1.1. Asistencia a eventos;2010;15,2
Porcentaje;1.1. Asistencia a eventos;2009;15,5
Porcentaje;1.1. Asistencia a eventos;2008;16,3
Porcentaje;1.1. Asistencia a eventos;2007;15,0
Porcentaje;1.1. Asistencia a eventos;2006;15,6
Porcentaje;1.2. Participación;2023;62,1
Porcentaje;1.2. Participación;2022;64,4
Porcentaje;1.2. Participación;2021;61,4
Porcentaje;1.2. Participación;2020;58,2
Porcentaje;1.2. Participación;2019;67,8
Porcentaje;1.2. Participación;2018;64,9
Porcentaje;1.2. Participación;2017;67,4
Porcentaje;1.2. Participación;2016;60,6
Porcentaje;1.2. Participación;2015;58,1
Porcentaje;1.2. Participación;2014;58,4
Porcentaje;1.2. Participación;2013;60,5
Porcentaje;1.2. Participación;2012;55,2
Porcentaje;1.2. Participación;2011;56,1
Porcentaje;1.2. Participación;2010;53,7
Porcentaje;1.2. Participación;2009;55,1
Porcentaje;1.2. Participación;2008;57,9
Porcentaje;1.2. Participación;2007;53,0
Porcentaje;1.2. Participación;2006;55,4
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2023;23,1
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2022;23,7
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2021;31,6
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2020;35,5
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2019;22,4
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2018;23,1
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2017;20,8
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2016;21,9
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2015;25,5
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2014;25,1
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2013;22,5
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2012;29,2
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2011;28,1
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2010;31,1
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2009;29,4
Porcentaje;2. Equipos relacionados con los deportes y el ocio;2008;25,8
