Indicador;Intervalos de ingresos mensuales del hogar;periodo;Total
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2010;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2009;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2008;0,5
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2007;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.000 y 1.499 euros;2006;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2023;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2022;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2021;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2020;0,4
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2019;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2018;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2017;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2013;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2012;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2011;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2010;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2009;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2008;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2007;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 1.500 y 1.999 euros;2006;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2023;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2022;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2021;0,7
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2020;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2019;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2018;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2014;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2013;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2012;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2009;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2007;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.000 y 2.499 euros;2006;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2023;0,9
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2022;1,2
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2020;0,6
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2019;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2018;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2016;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2015;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2014;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2013;1,2
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2012;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2011;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2010;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2009;1,0
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2008;1,1
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2007;1,3
En porcentaje del gasto en el total de bienes y servicios;Entre 2.500 y 2.999 euros;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2023;1,4
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2022;1,3
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2021;1,1
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2020;1,0
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2019;1,4
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2018;1,4
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2017;1,5
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2016;1,2
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2015;1,2
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2014;1,0
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2013;1,2
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2012;1,1
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2011;1,3
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2010;1,4
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2009;1,2
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2008;1,3
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2007;1,2
En porcentaje del gasto en el total de bienes y servicios;3.000 y más euros;2006;1,2
Gasto medio por hogar (Euros);TOTAL;2023;327,6
Gasto medio por hogar (Euros);TOTAL;2022;322,2
Gasto medio por hogar (Euros);TOTAL;2021;233,0
Gasto medio por hogar (Euros);TOTAL;2020;182,2
Gasto medio por hogar (Euros);TOTAL;2019;309,7
Gasto medio por hogar (Euros);TOTAL;2018;296,7
Gasto medio por hogar (Euros);TOTAL;2017;307,2
Gasto medio por hogar (Euros);TOTAL;2016;267,0
Gasto medio por hogar (Euros);TOTAL;2015;241,8
Gasto medio por hogar (Euros);TOTAL;2014;230,1
Gasto medio por hogar (Euros);TOTAL;2013;251,0
Gasto medio por hogar (Euros);TOTAL;2012;247,0
Gasto medio por hogar (Euros);TOTAL;2011;267,0
Gasto medio por hogar (Euros);TOTAL;2010;266,0
Gasto medio por hogar (Euros);TOTAL;2009;262,0
Gasto medio por hogar (Euros);TOTAL;2008;285,1
Gasto medio por hogar (Euros);TOTAL;2007;283,3
Gasto medio por hogar (Euros);TOTAL;2006;255,5
Gasto medio por hogar (Euros);Menos de 1.000 euros;2023;46,4
Gasto medio por hogar (Euros);Menos de 1.000 euros;2022;52,5
Gasto medio por hogar (Euros);Menos de 1.000 euros;2021;48,8
Gasto medio por hogar (Euros);Menos de 1.000 euros;2020;35,2
Gasto medio por hogar (Euros);Menos de 1.000 euros;2019;63,3
Gasto medio por hogar (Euros);Menos de 1.000 euros;2018;67,3
Gasto medio por hogar (Euros);Menos de 1.000 euros;2017;54,5
Gasto medio por hogar (Euros);Menos de 1.000 euros;2016;78,7
Gasto medio por hogar (Euros);Menos de 1.000 euros;2015;65,7
Gasto medio por hogar (Euros);Menos de 1.000 euros;2014;68,1
Gasto medio por hogar (Euros);Menos de 1.000 euros;2013;70,0
Gasto medio por hogar (Euros);Menos de 1.000 euros;2012;69,1
