Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2009;0,6
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2008;0,6
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2007;0,7
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Primera etapa de ed. Secundaria e inferior;2006;0,6
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2023;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2022;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2021;0,7
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2020;0,6
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2019;1,0
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2018;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2016;1,0
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2013;1,1
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2012;1,0
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2007;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Segunda etapa de ed. secundaria;2006;1,0
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2023;1,2
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2022;1,3
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2021;1,1
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2020;0,9
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2019;1,3
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2018;1,3
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2017;1,4
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2016;1,2
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2015;1,1
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2014;1,1
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2013;1,2
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2012;1,1
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2011;1,2
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2010;1,3
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2009;1,2
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2008;1,3
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2007;1,2
En porcentaje del gasto en el total de bienes y servicios;Nivel de estudios: Educación superior o equivalente;2006;1,1
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2023;1,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2022;1,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2021;0,9
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2020;0,9
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2019;1,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2018;1,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2017;1,3
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2016;1,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2015;1,1
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2014;1,1
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2013;1,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2012;1,1
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2011;1,1
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2010;1,1
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2009;1,0
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2008;1,0
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2007;1,0
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Ocupado;2006;1,0
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2021;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2020;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2019;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2018;0,7
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2017;0,7
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2016;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2015;0,7
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2014;0,7
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2013;0,8
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2012;0,7
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2011;0,7
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2010;0,8
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2009;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2008;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2007;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Parado;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2023;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2022;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2021;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2020;0,3
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2019;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2018;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2017;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2016;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2015;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2014;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2013;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2012;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2011;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2010;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2009;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2008;0,8
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2007;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Jubilado o retirado;2006;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2023;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2022;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2021;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2020;0,2
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2019;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2018;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2017;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2016;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2015;0,3
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2014;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2013;0,5
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2012;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2011;0,3
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2010;0,6
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2009;0,3
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2008;0,3
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2007;0,4
En porcentaje del gasto en el total de bienes y servicios;Sit. Laboral: Otros inactivos;2006;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2023;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2022;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2020;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2019;1,2
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2018;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2017;1,2
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2016;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2013;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2012;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2011;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2010;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2007;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Soltero;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2023;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2022;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2020;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2019;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2018;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2016;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2015;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2013;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2012;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2011;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2010;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2009;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2008;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2007;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Casado;2006;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2023;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2022;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2021;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2020;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2019;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2018;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2017;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2016;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2015;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2014;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2013;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2012;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2011;0,6
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2010;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2009;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2008;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2007;0,3
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Viudo;2006;0,4
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2023;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2022;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2021;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2020;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2019;0,6
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2018;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2017;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2016;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2015;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2013;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2012;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2009;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2008;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2007;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Separado;2006;0,6
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2023;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2022;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2021;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2020;0,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2019;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2018;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2016;1,2
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2014;1,1
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2013;0,9
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2012;1,5
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2011;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2010;1,0
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2009;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2008;0,8
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2007;0,7
En porcentaje del gasto en el total de bienes y servicios;Estado civil: Divorciado;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2023;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2022;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2021;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2020;0,5
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2019;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2018;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2017;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2016;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2015;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2014;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2013;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2012;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2011;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2010;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2009;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2008;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2007;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Persona sola;2006;0,5
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2023;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2022;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2021;0,5
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2020;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2019;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2018;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2017;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2016;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2015;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2014;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2013;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2012;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2011;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2010;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2009;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2008;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2007;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja sin hijos;2006;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2020;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2019;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2018;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2013;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2012;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2011;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2009;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2007;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con un hijo;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2023;1,5
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2022;1,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2021;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2020;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2019;1,3
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2018;1,4
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2017;1,4
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2016;1,4
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2015;1,3
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2014;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2013;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2012;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2011;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2010;1,3
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2009;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2008;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2007;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con dos hijos;2006;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2023;1,5
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2022;1,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2021;1,4
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2020;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2019;1,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2018;1,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2017;1,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2016;1,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2015;1,3
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2014;1,3
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2013;1,5
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2012;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2011;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2010;1,4
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2009;1,1
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2008;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2007;1,2
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Pareja con tres o más hijos;2006;1,3
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2023;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2022;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2020;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2019;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2018;0,6
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2017;1,0
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2016;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2015;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2014;0,9
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2013;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2012;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2011;0,7
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2010;0,8
En porcentaje del gasto en el total de bienes y servicios;Tipo de hogar: Un adulto con hijos;2009;0,6
