Indicador;Sexo, edad, nivel estudios, sit. labora, estado civil, tipo de hogar;periodo;Total
TOTAL (Millones de euros);Sit. Laboral: Parado;2012;241,4
TOTAL (Millones de euros);Sit. Laboral: Parado;2011;205,7
TOTAL (Millones de euros);Sit. Laboral: Parado;2010;239,0
TOTAL (Millones de euros);Sit. Laboral: Parado;2009;169,1
TOTAL (Millones de euros);Sit. Laboral: Parado;2008;101,6
TOTAL (Millones de euros);Sit. Laboral: Parado;2007;66,7
TOTAL (Millones de euros);Sit. Laboral: Parado;2006;97,0
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2023;946,0
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2022;866,7
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2021;734,7
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2020;346,6
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2019;892,5
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2018;750,5
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2017;783,4
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2016;613,0
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2015;576,4
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2014;564,2
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2013;599,7
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2012;697,5
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2011;649,4
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2010;531,6
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2009;598,2
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2008;903,3
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2007;601,2
TOTAL (Millones de euros);Sit. Laboral: Jubilado o retirado;2006;505,0
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2023;98,7
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2022;106,6
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2021;81,4
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2020;39,2
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2019;135,7
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2018;131,0
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2017;93,7
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2016;100,6
TOTAL (Millones de euros);Sit. Laboral: Otros inactivos;2015;61,7
