Indicador;Grupo de gasto;Comunidad autónoma;periodo;Total
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2023;192,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2022;137,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2021;53,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2020;110,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2019;214,4
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2018;166,0
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2017;126,3
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2016;141,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2015;129,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2014;135,6
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2013;104,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2012;78,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2011;91,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2010;93,8
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2009;77,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2008;88,5
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2007;128,7
TOTAL (Millones de euros);Servicios recreativos y deportivos;Aragón;2006;75,1
TOTAL (Millones de euros);Servicios recreativos y deportivos;Asturias (Principado de);2023;86,3
