Indicador;Comunidad autónoma;periodo;Total
Porcentaje;Aragón;2022;1,2
Porcentaje;Aragón;2021;0,7
Porcentaje;Aragón;2020;1,1
Porcentaje;Aragón;2019;1,7
Porcentaje;Aragón;2018;1,3
Porcentaje;Aragón;2017;1,1
Porcentaje;Aragón;2016;1,2
Porcentaje;Aragón;2015;1,2
Porcentaje;Aragón;2014;1,2
Porcentaje;Aragón;2013;1,0
Porcentaje;Aragón;2012;0,7
Porcentaje;Aragón;2011;0,8
Porcentaje;Aragón;2010;0,8
Porcentaje;Aragón;2009;0,8
Porcentaje;Aragón;2008;0,8
Porcentaje;Aragón;2007;1,0
Porcentaje;Aragón;2006;0,9
Porcentaje;Asturias (Principado de);2023;0,7
Porcentaje;Asturias (Principado de);2022;0,6
Porcentaje;Asturias (Principado de);2021;0,4
Porcentaje;Asturias (Principado de);2020;0,6
Porcentaje;Asturias (Principado de);2019;0,7
Porcentaje;Asturias (Principado de);2018;1,0
Porcentaje;Asturias (Principado de);2017;1,1
Porcentaje;Asturias (Principado de);2016;1,0
Porcentaje;Asturias (Principado de);2015;0,8
Porcentaje;Asturias (Principado de);2014;0,8
Porcentaje;Asturias (Principado de);2013;0,8
Porcentaje;Asturias (Principado de);2012;0,9
Porcentaje;Asturias (Principado de);2011;0,8
Porcentaje;Asturias (Principado de);2010;0,9
Porcentaje;Asturias (Principado de);2009;1,0
Porcentaje;Asturias (Principado de);2008;0,8
Porcentaje;Asturias (Principado de);2007;0,7
Porcentaje;Asturias (Principado de);2006;1,0
Porcentaje;Balears (Illes);2023;1,0
Porcentaje;Balears (Illes);2022;1,0
Porcentaje;Balears (Illes);2021;0,8
Porcentaje;Balears (Illes);2020;1,1
Porcentaje;Balears (Illes);2019;1,0
Porcentaje;Balears (Illes);2018;1,0
Porcentaje;Balears (Illes);2017;1,4
Porcentaje;Balears (Illes);2016;0,9
Porcentaje;Balears (Illes);2015;1,0
Porcentaje;Balears (Illes);2014;1,1
Porcentaje;Balears (Illes);2013;1,4
Porcentaje;Balears (Illes);2012;0,9
Porcentaje;Balears (Illes);2011;1,1
Porcentaje;Balears (Illes);2010;0,9
Porcentaje;Balears (Illes);2009;0,9
Porcentaje;Balears (Illes);2008;1,0
Porcentaje;Balears (Illes);2007;1,1
