Indicador;Tamaño de municipio;periodo;Total
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2018;1,1
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2016;0,8
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2015;0,8
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2014;0,8
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2013;0,9
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2012;1,0
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2011;1,0
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2010;0,9
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2009;1,0
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2008;0,9
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2007;1,0
En porcentaje del gasto en el total de bienes y servicios;De 20.000 a 49.999 habitantes;2006;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2023;1,1
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2022;1,1
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2021;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2020;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2019;1,0
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2018;0,9
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2017;0,9
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2016;1,0
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2015;0,9
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2014;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2013;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2012;1,0
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2011;0,9
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2010;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2009;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2008;0,8
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2007;1,1
En porcentaje del gasto en el total de bienes y servicios;De 10.000 a 19.999 habitantes;2006;1,0
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2023;0,9
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2022;0,9
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2021;0,7
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2020;0,6
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2019;0,9
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2018;0,9
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2017;1,1
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2016;1,0
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2015;0,8
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2014;0,8
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2013;0,9
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2012;0,7
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2011;0,8
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2010;0,7
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2009;0,8
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2008;1,2
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2007;0,7
En porcentaje del gasto en el total de bienes y servicios;Menos de 10.000 habitantes;2006;0,7
Gasto medio por hogar (Euros);TOTAL;2023;327,6
Gasto medio por hogar (Euros);TOTAL;2022;322,2
Gasto medio por hogar (Euros);TOTAL;2021;233,0
Gasto medio por hogar (Euros);TOTAL;2020;182,2
Gasto medio por hogar (Euros);TOTAL;2019;309,7
Gasto medio por hogar (Euros);TOTAL;2018;296,7
Gasto medio por hogar (Euros);TOTAL;2017;307,2
Gasto medio por hogar (Euros);TOTAL;2016;267,0
Gasto medio por hogar (Euros);TOTAL;2015;241,8
Gasto medio por hogar (Euros);TOTAL;2014;230,1
Gasto medio por hogar (Euros);TOTAL;2013;251,0
Gasto medio por hogar (Euros);TOTAL;2012;247,0
Gasto medio por hogar (Euros);TOTAL;2011;267,0
Gasto medio por hogar (Euros);TOTAL;2010;266,0
Gasto medio por hogar (Euros);TOTAL;2009;262,0
Gasto medio por hogar (Euros);TOTAL;2008;285,1
Gasto medio por hogar (Euros);TOTAL;2007;283,3
Gasto medio por hogar (Euros);TOTAL;2006;255,5
Gasto medio por hogar (Euros);100.000 o más habitantes;2023;332,4
Gasto medio por hogar (Euros);100.000 o más habitantes;2022;325,9
Gasto medio por hogar (Euros);100.000 o más habitantes;2021;230,1
Gasto medio por hogar (Euros);100.000 o más habitantes;2020;198,1
Gasto medio por hogar (Euros);100.000 o más habitantes;2019;343,3
Gasto medio por hogar (Euros);100.000 o más habitantes;2018;316,6
Gasto medio por hogar (Euros);100.000 o más habitantes;2017;305,0
Gasto medio por hogar (Euros);100.000 o más habitantes;2016;275,8
Gasto medio por hogar (Euros);100.000 o más habitantes;2015;241,0
Gasto medio por hogar (Euros);100.000 o más habitantes;2014;236,9
Gasto medio por hogar (Euros);100.000 o más habitantes;2013;269,1
Gasto medio por hogar (Euros);100.000 o más habitantes;2012;248,3
Gasto medio por hogar (Euros);100.000 o más habitantes;2011;275,1
Gasto medio por hogar (Euros);100.000 o más habitantes;2010;292,1
Gasto medio por hogar (Euros);100.000 o más habitantes;2009;278,5
Gasto medio por hogar (Euros);100.000 o más habitantes;2008;274,7
Gasto medio por hogar (Euros);100.000 o más habitantes;2007;294,8
Gasto medio por hogar (Euros);100.000 o más habitantes;2006;284,2
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2023;379,5
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2022;356,3
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2021;310,7
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2020;146,3
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2019;324,4
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2018;302,8
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2017;359,3
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2016;273,7
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2015;305,3
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2014;293,7
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2013;285,5
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2012;289,0
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2011;320,2
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2010;303,7
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2009;279,4
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2008;255,2
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2007;266,9
Gasto medio por hogar (Euros);De 50.000 a 99.999 habitantes;2006;257,4
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2023;327,5
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2022;322,1
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2021;233,4
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2020;184,1
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2019;281,1
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2018;310,0
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2017;321,4
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2016;227,8
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2015;224,0
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2014;213,1
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2013;227,8
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2012;268,4
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2011;276,8
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2010;257,6
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2009;285,2
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2008;275,8
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2007;327,7
Gasto medio por hogar (Euros);De 20.000 a 49.999 habitantes;2006;237,1
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2023;355,7
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2022;338,8
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2021;224,4
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2020;209,7
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2019;293,4
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2018;276,2
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2017;262,2
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2016;298,2
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2015;261,2
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2014;209,9
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2013;209,9
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2012;275,8
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2011;261,7
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2010;246,7
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2009;241,5
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2008;252,4
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2007;363,8
Gasto medio por hogar (Euros);De 10.000 a 19.999 habitantes;2006;308,4
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2023;271,1
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2022;283,8
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2021;190,7
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2020;156,3
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2019;263,5
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2018;253,4
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2017;288,7
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2016;260,0
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2015;208,0
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2014;197,0
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2013;227,6
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2012;185,9
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2011;213,1
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2010;206,3
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2009;214,3
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2008;345,3
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2007;200,2
Gasto medio por hogar (Euros);Menos de 10.000 habitantes;2006;187,4
Gasto medio por unidad de consumo (Euros);TOTAL;2023;194,4
Gasto medio por unidad de consumo (Euros);TOTAL;2022;192,4
