Tipo de entidad;Comunidad autónoma;periodo;Total
ENTIDADES LOCALES;Madrid, Comunidad de;2010;407.162
ENTIDADES LOCALES;Murcia, Región de;2023;77.238
ENTIDADES LOCALES;Murcia, Región de;2022;67.122
ENTIDADES LOCALES;Murcia, Región de;2021;58.865
ENTIDADES LOCALES;Murcia, Región de;2020;56.083
ENTIDADES LOCALES;Murcia, Región de;2019;64.501
ENTIDADES LOCALES;Murcia, Región de;2018;53.259
ENTIDADES LOCALES;Murcia, Región de;2017;51.497
ENTIDADES LOCALES;Murcia, Región de;2016;50.141
ENTIDADES LOCALES;Murcia, Región de;2015;51.271
ENTIDADES LOCALES;Murcia, Región de;2014;49.392
ENTIDADES LOCALES;Murcia, Región de;2013;46.850
ENTIDADES LOCALES;Murcia, Región de;2012;53.438
ENTIDADES LOCALES;Murcia, Región de;2011;70.880
ENTIDADES LOCALES;Murcia, Región de;2010;89.522
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2023;76.085
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2022;61.303
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2021;58.504
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2020;58.856
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2019;56.360
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2018;44.366
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2017;38.757
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2016;38.171
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2015;34.273
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2014;..
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2013;..
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2012;35.032
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2011;51.405
ENTIDADES LOCALES;Navarra, Comunidad Foral de;2010;65.408
ENTIDADES LOCALES;País Vasco;2023;253.141
ENTIDADES LOCALES;País Vasco;2022;225.270
ENTIDADES LOCALES;País Vasco;2021;196.579
ENTIDADES LOCALES;País Vasco;2020;179.744
ENTIDADES LOCALES;País Vasco;2019;193.215
ENTIDADES LOCALES;País Vasco;2018;181.088
ENTIDADES LOCALES;País Vasco;2017;175.111
ENTIDADES LOCALES;País Vasco;2016;185.674
ENTIDADES LOCALES;País Vasco;2015;190.958
ENTIDADES LOCALES;País Vasco;2014;..
ENTIDADES LOCALES;País Vasco;2013;..
ENTIDADES LOCALES;País Vasco;2012;168.142
ENTIDADES LOCALES;País Vasco;2011;186.741
ENTIDADES LOCALES;País Vasco;2010;221.775
ENTIDADES LOCALES;Rioja, La;2023;22.578
ENTIDADES LOCALES;Rioja, La;2022;23.850
ENTIDADES LOCALES;Rioja, La;2021;18.497
ENTIDADES LOCALES;Rioja, La;2020;20.658
ENTIDADES LOCALES;Rioja, La;2019;19.173
ENTIDADES LOCALES;Rioja, La;2018;18.367
ENTIDADES LOCALES;Rioja, La;2017;16.784
ENTIDADES LOCALES;Rioja, La;2016;15.624
ENTIDADES LOCALES;Rioja, La;2015;17.864
ENTIDADES LOCALES;Rioja, La;2014;19.732
ENTIDADES LOCALES;Rioja, La;2013;16.572
ENTIDADES LOCALES;Rioja, La;2012;18.122
ENTIDADES LOCALES;Rioja, La;2011;22.675
ENTIDADES LOCALES;Rioja, La;2010;27.927
AYUNTAMIENTOS;TOTAL;2023;3.064.600
AYUNTAMIENTOS;TOTAL;2022;2.760.690
AYUNTAMIENTOS;TOTAL;2021;2.323.902
AYUNTAMIENTOS;TOTAL;2020;2.089.119
AYUNTAMIENTOS;TOTAL;2019;2.336.733
AYUNTAMIENTOS;TOTAL;2018;2.160.883
AYUNTAMIENTOS;TOTAL;2017;1.979.130
AYUNTAMIENTOS;TOTAL;2016;1.914.400
AYUNTAMIENTOS;TOTAL;2015;1.913.614
AYUNTAMIENTOS;TOTAL;2014;..
AYUNTAMIENTOS;TOTAL;2013;..
AYUNTAMIENTOS;TOTAL;2012;1.876.226
AYUNTAMIENTOS;TOTAL;2011;2.305.147
AYUNTAMIENTOS;TOTAL;2010;2.843.077
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2023;2.763.434
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2022;2.499.875
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2021;2.093.737
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2020;1.872.022
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2019;2.109.798
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2018;1.957.753
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2017;1.789.169
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2016;1.721.592
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2015;1.720.555
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2014;1.614.971
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2013;1.569.734
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2012;..
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2011;..
AYUNTAMIENTOS;SUBTOTAL (Sin País Vasco y Navarra);2010;..
AYUNTAMIENTOS;Andalucía;2023;446.460
AYUNTAMIENTOS;Andalucía;2022;402.943
AYUNTAMIENTOS;Andalucía;2021;337.893
AYUNTAMIENTOS;Andalucía;2020;287.707
AYUNTAMIENTOS;Andalucía;2019;347.550
AYUNTAMIENTOS;Andalucía;2018;321.649
AYUNTAMIENTOS;Andalucía;2017;284.560
AYUNTAMIENTOS;Andalucía;2016;285.483
AYUNTAMIENTOS;Andalucía;2015;286.546
AYUNTAMIENTOS;Andalucía;2014;279.879
AYUNTAMIENTOS;Andalucía;2013;267.558
AYUNTAMIENTOS;Andalucía;2012;299.736
AYUNTAMIENTOS;Andalucía;2011;397.920
AYUNTAMIENTOS;Andalucía;2010;458.534
AYUNTAMIENTOS;Aragón;2023;106.552
AYUNTAMIENTOS;Aragón;2022;104.513
AYUNTAMIENTOS;Aragón;2021;88.196
AYUNTAMIENTOS;Aragón;2020;75.769
AYUNTAMIENTOS;Aragón;2019;77.021
AYUNTAMIENTOS;Aragón;2018;79.815
AYUNTAMIENTOS;Aragón;2017;69.252
AYUNTAMIENTOS;Aragón;2016;69.226
AYUNTAMIENTOS;Aragón;2015;63.667
AYUNTAMIENTOS;Aragón;2014;54.811
AYUNTAMIENTOS;Aragón;2013;59.588
AYUNTAMIENTOS;Aragón;2012;64.256
AYUNTAMIENTOS;Aragón;2011;72.170
AYUNTAMIENTOS;Aragón;2010;95.361
AYUNTAMIENTOS;Asturias, Principado de;2023;68.717
AYUNTAMIENTOS;Asturias, Principado de;2022;58.724
AYUNTAMIENTOS;Asturias, Principado de;2021;47.089
AYUNTAMIENTOS;Asturias, Principado de;2020;48.157
AYUNTAMIENTOS;Asturias, Principado de;2019;50.935
AYUNTAMIENTOS;Asturias, Principado de;2018;46.558
AYUNTAMIENTOS;Asturias, Principado de;2017;45.987
AYUNTAMIENTOS;Asturias, Principado de;2016;47.166
AYUNTAMIENTOS;Asturias, Principado de;2015;49.499
AYUNTAMIENTOS;Asturias, Principado de;2014;46.257
AYUNTAMIENTOS;Asturias, Principado de;2013;42.865
AYUNTAMIENTOS;Asturias, Principado de;2012;45.410
AYUNTAMIENTOS;Asturias, Principado de;2011;58.616
AYUNTAMIENTOS;Asturias, Principado de;2010;76.905
AYUNTAMIENTOS;Balears, Illes;2023;80.726
AYUNTAMIENTOS;Balears, Illes;2022;76.098
AYUNTAMIENTOS;Balears, Illes;2021;62.473
AYUNTAMIENTOS;Balears, Illes;2020;64.673
AYUNTAMIENTOS;Balears, Illes;2019;63.162
AYUNTAMIENTOS;Balears, Illes;2018;61.016
AYUNTAMIENTOS;Balears, Illes;2017;61.493
AYUNTAMIENTOS;Balears, Illes;2016;53.869
AYUNTAMIENTOS;Balears, Illes;2015;49.942
AYUNTAMIENTOS;Balears, Illes;2014;51.119
AYUNTAMIENTOS;Balears, Illes;2013;50.748
AYUNTAMIENTOS;Balears, Illes;2012;58.048
AYUNTAMIENTOS;Balears, Illes;2011;61.866
AYUNTAMIENTOS;Balears, Illes;2010;77.469
AYUNTAMIENTOS;Canarias;2023;123.613
AYUNTAMIENTOS;Canarias;2022;104.947
