Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS DE CAPITAL;2020;4,7
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS DE CAPITAL;2019;2,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;GASTOS DE CAPITAL;2018;0,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Inversiones reales;2023;8,5
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Inversiones reales;2022;10,9
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Inversiones reales;2021;7,5
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Inversiones reales;2020;10,4
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Inversiones reales;2019;8,1
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Inversiones reales;2018;6,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias de capital;2023;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias de capital;2022;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias de capital;2021;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias de capital;2020;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias de capital;2019;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;Transferencias de capital;2018;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2023;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2022;20,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2021;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2020;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2019;0,0
Agencia Española de Protección de la Salud en el Deporte;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2018;0,4
