Organismos;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Porcentaje;Gastos de personal;2019;100,0
TOTAL;Porcentaje;Gastos de personal;2018;100,0
TOTAL;Porcentaje;Gastos corrientes en bienes y servicios;2023;100,0
TOTAL;Porcentaje;Gastos corrientes en bienes y servicios;2022;100,0
TOTAL;Porcentaje;Gastos corrientes en bienes y servicios;2021;100,0
TOTAL;Porcentaje;Gastos corrientes en bienes y servicios;2020;100,0
TOTAL;Porcentaje;Gastos corrientes en bienes y servicios;2019;100,0
TOTAL;Porcentaje;Gastos corrientes en bienes y servicios;2018;100,0
TOTAL;Porcentaje;Gastos financieros;2023;0,0
TOTAL;Porcentaje;Gastos financieros;2022;100,0
TOTAL;Porcentaje;Gastos financieros;2021;100,0
TOTAL;Porcentaje;Gastos financieros;2020;0,0
TOTAL;Porcentaje;Gastos financieros;2019;0,0
TOTAL;Porcentaje;Gastos financieros;2018;100,0
TOTAL;Porcentaje;Transferencias corrientes;2023;100,0
TOTAL;Porcentaje;Transferencias corrientes;2022;100,0
TOTAL;Porcentaje;Transferencias corrientes;2021;100,0
TOTAL;Porcentaje;Transferencias corrientes;2020;100,0
TOTAL;Porcentaje;Transferencias corrientes;2019;100,0
TOTAL;Porcentaje;Transferencias corrientes;2018;100,0
TOTAL;Porcentaje;GASTOS DE CAPITAL;2023;100,0
TOTAL;Porcentaje;GASTOS DE CAPITAL;2022;100,0
TOTAL;Porcentaje;GASTOS DE CAPITAL;2021;100,0
TOTAL;Porcentaje;GASTOS DE CAPITAL;2020;100,0
TOTAL;Porcentaje;GASTOS DE CAPITAL;2019;100,0
TOTAL;Porcentaje;GASTOS DE CAPITAL;2018;100,0
TOTAL;Porcentaje;Inversiones reales;2023;100,0
TOTAL;Porcentaje;Inversiones reales;2022;100,0
TOTAL;Porcentaje;Inversiones reales;2021;100,0
TOTAL;Porcentaje;Inversiones reales;2020;100,0
TOTAL;Porcentaje;Inversiones reales;2019;100,0
TOTAL;Porcentaje;Inversiones reales;2018;100,0
TOTAL;Porcentaje;Transferencias de capital;2023;100,0
TOTAL;Porcentaje;Transferencias de capital;2022;100,0
TOTAL;Porcentaje;Transferencias de capital;2021;100,0
TOTAL;Porcentaje;Transferencias de capital;2020;100,0
TOTAL;Porcentaje;Transferencias de capital;2019;100,0
TOTAL;Porcentaje;Transferencias de capital;2018;100,0
TOTAL;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2023;100,0
TOTAL;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2022;100,0
TOTAL;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2021;100,0
TOTAL;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2020;100,0
TOTAL;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2019;100,0
TOTAL;Porcentaje;ACTIVOS Y PASIVOS FINANCIEROS;2018;100,0
Consejo Superior de Deportes;Valores absolutos;TOTAL (Miles de euros);2023;272.818,0
Consejo Superior de Deportes;Valores absolutos;TOTAL (Miles de euros);2022;283.539,0
Consejo Superior de Deportes;Valores absolutos;TOTAL (Miles de euros);2021;227.816,0
Consejo Superior de Deportes;Valores absolutos;TOTAL (Miles de euros);2020;170.575,0
Consejo Superior de Deportes;Valores absolutos;TOTAL (Miles de euros);2019;169.851,0
Consejo Superior de Deportes;Valores absolutos;TOTAL (Miles de euros);2018;166.359,0
Consejo Superior de Deportes;Valores absolutos;GASTOS CORRIENTES;2023;221.540,0
Consejo Superior de Deportes;Valores absolutos;GASTOS CORRIENTES;2022;198.982,0
Consejo Superior de Deportes;Valores absolutos;GASTOS CORRIENTES;2021;167.569,0
Consejo Superior de Deportes;Valores absolutos;GASTOS CORRIENTES;2020;165.635,0
Consejo Superior de Deportes;Valores absolutos;GASTOS CORRIENTES;2019;161.535,0
Consejo Superior de Deportes;Valores absolutos;GASTOS CORRIENTES;2018;143.197,0
Consejo Superior de Deportes;Valores absolutos;Gastos de personal;2023;10.460,0
Consejo Superior de Deportes;Valores absolutos;Gastos de personal;2022;9.395,0
Consejo Superior de Deportes;Valores absolutos;Gastos de personal;2021;9.069,0
Consejo Superior de Deportes;Valores absolutos;Gastos de personal;2020;9.051,0
Consejo Superior de Deportes;Valores absolutos;Gastos de personal;2019;9.169,0
Consejo Superior de Deportes;Valores absolutos;Gastos de personal;2018;9.381,0
Consejo Superior de Deportes;Valores absolutos;Gastos corrientes en bienes y servicios;2023;23.154,0
Consejo Superior de Deportes;Valores absolutos;Gastos corrientes en bienes y servicios;2022;14.196,0
Consejo Superior de Deportes;Valores absolutos;Gastos corrientes en bienes y servicios;2021;11.091,0
Consejo Superior de Deportes;Valores absolutos;Gastos corrientes en bienes y servicios;2020;10.677,0
Consejo Superior de Deportes;Valores absolutos;Gastos corrientes en bienes y servicios;2019;11.311,0
Consejo Superior de Deportes;Valores absolutos;Gastos corrientes en bienes y servicios;2018;11.294,0
Consejo Superior de Deportes;Valores absolutos;Gastos financieros;2023;0,0
Consejo Superior de Deportes;Valores absolutos;Gastos financieros;2022;1,0
Consejo Superior de Deportes;Valores absolutos;Gastos financieros;2021;5,0
Consejo Superior de Deportes;Valores absolutos;Gastos financieros;2020;0,0
Consejo Superior de Deportes;Valores absolutos;Gastos financieros;2019;0,0
Consejo Superior de Deportes;Valores absolutos;Gastos financieros;2018;7,0
Consejo Superior de Deportes;Valores absolutos;Transferencias corrientes;2023;187.926,0
Consejo Superior de Deportes;Valores absolutos;Transferencias corrientes;2022;175.390,0
