Tipo de entidad;Indicador;Comunidad autónoma;periodo;Total
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2021;126.461
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2020;107.287
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2019;125.694
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2018;114.264
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2017;107.385
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2016;110.446
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2015;117.105
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2014;91.918
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2013;84.396
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2012;88.888
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2011;115.458
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla y León;2010;154.276
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2023;153.954
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2022;131.632
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2021;103.762
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2020;89.762
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2019;108.569
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2018;100.914
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2017;92.226
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2016;87.941
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2015;88.138
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2014;85.364
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2013;88.743
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2012;97.275
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2011;119.555
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Castilla-La Mancha;2010;149.130
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2023;468.069
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2022;411.988
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2021;351.537
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2020;330.266
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2019;381.878
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2018;378.669
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2017;322.962
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2016;304.122
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2015;308.322
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2014;285.617
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2013;279.335
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2012;290.256
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2011;341.534
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Cataluña;2010;433.305
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2023;320.434
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2022;272.419
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2021;222.309
AYUNTAMIENTOS;Valores absolutos (Miles de euros);Comunitat Valenciana;2020;202.635
