Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.3. Gastos financieros;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);1.4. Transferencias corrientes;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2023;45.011
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2022;73.435
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2021;49.000
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2. GASTOS DE CAPITAL;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.1. Inversiones reales;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2023;45.011
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2022;73.435
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2021;49.000
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2010;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2023;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2022;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2021;0
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2020;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2019;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2018;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2017;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2016;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2015;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2014;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2013;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2012;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2011;..
Mecanismo de recuperación y resiliencia;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2023;16,2
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2022;25,1
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2021;20,8
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;TOTAL;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;1. GASTOS CORRIENTES;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.1. Gastos de personal;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.3. Gastos financieros;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;1.4. Transferencias corrientes;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2023;87,4
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2022;86,6
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2021;81,2
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;2. GASTOS DE CAPITAL;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.1. Inversiones reales;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2023;91,9
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2022;89,1
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2021;83,7
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;2.2. Transferencias de capital;2010;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2023;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2022;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2021;0,0
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2020;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2019;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2018;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2017;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2016;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2015;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2014;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2013;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2012;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2011;..
Mecanismo de recuperación y resiliencia;Porcentaje;3. ACTIVOS Y PASIVOS FINANCIEROS;2010;..
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2023;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2022;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2021;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2020;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2019;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2018;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2017;1.649
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2016;1.414
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2015;1.933
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2014;2.257
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2013;1.172
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2012;8.931
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2011;12.391
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);TOTAL;2010;11.288
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2023;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2022;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2021;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2020;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2019;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2018;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2017;1.649
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2016;1.414
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2015;1.933
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2014;2.257
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2013;1.092
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2012;6.293
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2011;9.046
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1. GASTOS CORRIENTES;2010;10.047
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2023;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2022;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2021;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2020;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2019;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2018;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2017;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2016;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2015;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2014;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2013;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2012;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2011;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.1. Gastos de personal;2010;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2023;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2022;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2021;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2020;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2019;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2018;0
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2017;47
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2016;16
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2015;56
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2014;89
Deporte en edad escolar y en la universidad;Valores absolutos (Miles de euros);1.2. Gastos corrientes en bienes y servicios;2013;92
