Destino del gasto;Indicador;Naturaleza económica del gasto;periodo;Total
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2021;1.867
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2020;2.006
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2019;2.150
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2018;1.567
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2017;2.133
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2016;1.691
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2015;2.127
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2014;2.074
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2013;2.585
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2012;6.314
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2011;9.120
TOTAL;Valores absolutos (Miles de euros);2.1. Inversiones reales;2010;10.475
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2023;48.955
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2022;82.423
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2021;58.513
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2020;2.404
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2019;5.138
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2018;20.872
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2017;5.806
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2016;3.507
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2015;5.012
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2014;1.931
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2013;5.509
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2012;8.288
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2011;18.799
TOTAL;Valores absolutos (Miles de euros);2.2. Transferencias de capital;2010;25.669
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2023;5
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2022;10
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2021;7
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2020;738
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2019;1.203
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2018;819
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2017;960
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2016;22
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2015;1.752
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2014;1.119
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2013;3.634
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2012;3.858
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2011;4.210
TOTAL;Valores absolutos (Miles de euros);3. ACTIVOS Y PASIVOS FINANCIEROS;2010;4.527
TOTAL;Porcentaje;TOTAL;2023;100,0
TOTAL;Porcentaje;TOTAL;2022;100,0
TOTAL;Porcentaje;TOTAL;2021;100,0
TOTAL;Porcentaje;TOTAL;2020;100,0
TOTAL;Porcentaje;TOTAL;2019;100,0
TOTAL;Porcentaje;TOTAL;2018;100,0
TOTAL;Porcentaje;TOTAL;2017;100,0
TOTAL;Porcentaje;TOTAL;2016;100,0
TOTAL;Porcentaje;TOTAL;2015;100,0
TOTAL;Porcentaje;TOTAL;2014;100,0
TOTAL;Porcentaje;TOTAL;2013;100,0
TOTAL;Porcentaje;TOTAL;2012;100,0
TOTAL;Porcentaje;TOTAL;2011;100,0
TOTAL;Porcentaje;TOTAL;2010;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2023;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2022;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2021;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2020;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2019;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2018;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2017;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2016;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2015;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2014;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2013;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2012;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2011;100,0
TOTAL;Porcentaje;1. GASTOS CORRIENTES;2010;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2023;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2022;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2021;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2020;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2019;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2018;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2017;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2016;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2015;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2014;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2013;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2012;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2011;100,0
TOTAL;Porcentaje;1.1. Gastos de personal;2010;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2023;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2022;100,0
TOTAL;Porcentaje;1.2. Gastos corrientes en bienes y servicios;2021;100,0
