Valores absolutos y porcentaje;Tipo de entidad;Naturaleza económica del gasto;periodo;Total
Valores absolutos;AYUNTAMIENTOS;GASTOS CORRIENTES;2010;1.662.248
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2023;775.225
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2022;734.114
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2021;696.521
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2020;667.405
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2019;670.127
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2018;646.952
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2017;634.139
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2016;627.177
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2015;601.537
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2014;..
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2013;..
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2012;551.319
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2011;608.814
Valores absolutos;AYUNTAMIENTOS;Gastos de personal;2010;614.471
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2023;1.136.650
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2022;1.004.809
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2021;818.293
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2020;724.920
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2019;859.768
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2018;816.918
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2017;779.202
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2016;753.242
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2015;734.067
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2014;..
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2013;..
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2012;727.586
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2011;754.534
Valores absolutos;AYUNTAMIENTOS;Gastos corrientes en bienes y servicios;2010;769.175
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2023;722
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2022;616
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2021;862
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2020;277
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2019;518
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2018;4.716
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2017;788
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2016;562
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2015;1.014
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2014;..
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2013;..
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2012;1.765
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2011;1.511
Valores absolutos;AYUNTAMIENTOS;Gastos financieros;2010;1.155
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2023;342.340
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2022;327.984
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2021;291.135
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2020;261.135
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2019;266.985
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2018;269.653
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2017;247.772
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2016;245.348
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2015;233.272
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2014;..
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2013;..
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2012;246.079
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2011;268.551
Valores absolutos;AYUNTAMIENTOS;Transferencias corrientes;2010;277.447
Valores absolutos;AYUNTAMIENTOS;GASTOS DE CAPITAL;2023;808.982
