Indicador;Comunidad autónoma;periodo;Total
C.I  Gastos de personal;Asturias, Principado de;2021;13.281
C.I  Gastos de personal;Asturias, Principado de;2020;13.411
C.I  Gastos de personal;Asturias, Principado de;2019;13.163
C.I  Gastos de personal;Asturias, Principado de;2018;13.092
C.I  Gastos de personal;Asturias, Principado de;2017;12.118
C.I  Gastos de personal;Asturias, Principado de;2016;12.197
C.I  Gastos de personal;Asturias, Principado de;2015;11.810
C.I  Gastos de personal;Asturias, Principado de;2014;11.462
C.I  Gastos de personal;Asturias, Principado de;2013;11.035
C.I  Gastos de personal;Asturias, Principado de;2012;10.637
C.I  Gastos de personal;Asturias, Principado de;2011;11.050
C.I  Gastos de personal;Asturias, Principado de;2010;11.271
C.I  Gastos de personal;Balears, Illes;2023;15.437
C.I  Gastos de personal;Balears, Illes;2022;15.138
C.I  Gastos de personal;Balears, Illes;2021;14.147
C.I  Gastos de personal;Balears, Illes;2020;13.620
C.I  Gastos de personal;Balears, Illes;2019;13.740
C.I  Gastos de personal;Balears, Illes;2018;13.506
C.I  Gastos de personal;Balears, Illes;2017;13.400
C.I  Gastos de personal;Balears, Illes;2016;13.259
C.I  Gastos de personal;Balears, Illes;2015;12.796
C.I  Gastos de personal;Balears, Illes;2014;12.213
C.I  Gastos de personal;Balears, Illes;2013;12.010
C.I  Gastos de personal;Balears, Illes;2012;11.704
C.I  Gastos de personal;Balears, Illes;2011;12.581
C.I  Gastos de personal;Balears, Illes;2010;12.201
C.I  Gastos de personal;Canarias;2023;21.157
C.I  Gastos de personal;Canarias;2022;21.108
C.I  Gastos de personal;Canarias;2021;20.935
C.I  Gastos de personal;Canarias;2020;21.365
C.I  Gastos de personal;Canarias;2019;21.856
C.I  Gastos de personal;Canarias;2018;20.252
C.I  Gastos de personal;Canarias;2017;19.057
C.I  Gastos de personal;Canarias;2016;18.866
C.I  Gastos de personal;Canarias;2015;18.574
C.I  Gastos de personal;Canarias;2014;18.791
C.I  Gastos de personal;Canarias;2013;18.528
C.I  Gastos de personal;Canarias;2012;18.589
C.I  Gastos de personal;Canarias;2011;19.550
C.I  Gastos de personal;Canarias;2010;20.600
C.I  Gastos de personal;Cantabria;2023;7.281
C.I  Gastos de personal;Cantabria;2022;7.227
C.I  Gastos de personal;Cantabria;2021;7.035
C.I  Gastos de personal;Cantabria;2020;6.685
C.I  Gastos de personal;Cantabria;2019;7.106
C.I  Gastos de personal;Cantabria;2018;6.827
C.I  Gastos de personal;Cantabria;2017;6.519
C.I  Gastos de personal;Cantabria;2016;6.711
C.I  Gastos de personal;Cantabria;2015;6.248
C.I  Gastos de personal;Cantabria;2014;6.742
C.I  Gastos de personal;Cantabria;2013;6.735
C.I  Gastos de personal;Cantabria;2012;6.606
C.I  Gastos de personal;Cantabria;2011;7.023
C.I  Gastos de personal;Cantabria;2010;6.672
C.I  Gastos de personal;Castilla y León;2023;41.374
C.I  Gastos de personal;Castilla y León;2022;38.979
C.I  Gastos de personal;Castilla y León;2021;35.656
C.I  Gastos de personal;Castilla y León;2020;33.925
C.I  Gastos de personal;Castilla y León;2019;35.410
C.I  Gastos de personal;Castilla y León;2018;34.490
C.I  Gastos de personal;Castilla y León;2017;33.203
C.I  Gastos de personal;Castilla y León;2016;33.348
C.I  Gastos de personal;Castilla y León;2015;32.649
C.I  Gastos de personal;Castilla y León;2014;29.196
C.I  Gastos de personal;Castilla y León;2013;28.814
C.I  Gastos de personal;Castilla y León;2012;28.181
C.I  Gastos de personal;Castilla y León;2011;30.881
C.I  Gastos de personal;Castilla y León;2010;32.096
C.I  Gastos de personal;Castilla-La Mancha;2023;47.301
C.I  Gastos de personal;Castilla-La Mancha;2022;43.712
C.I  Gastos de personal;Castilla-La Mancha;2021;39.391
C.I  Gastos de personal;Castilla-La Mancha;2020;38.326
C.I  Gastos de personal;Castilla-La Mancha;2019;41.637
C.I  Gastos de personal;Castilla-La Mancha;2018;38.977
C.I  Gastos de personal;Castilla-La Mancha;2017;37.960
C.I  Gastos de personal;Castilla-La Mancha;2016;36.960
C.I  Gastos de personal;Castilla-La Mancha;2015;35.912
C.I  Gastos de personal;Castilla-La Mancha;2014;34.716
C.I  Gastos de personal;Castilla-La Mancha;2013;34.448
C.I  Gastos de personal;Castilla-La Mancha;2012;32.626
C.I  Gastos de personal;Castilla-La Mancha;2011;35.941
C.I  Gastos de personal;Castilla-La Mancha;2010;35.771
C.I  Gastos de personal;Cataluña;2023;79.200
C.I  Gastos de personal;Cataluña;2022;73.469
C.I  Gastos de personal;Cataluña;2021;69.602
C.I  Gastos de personal;Cataluña;2020;68.743
C.I  Gastos de personal;Cataluña;2019;68.231
C.I  Gastos de personal;Cataluña;2018;65.640
C.I  Gastos de personal;Cataluña;2017;64.343
C.I  Gastos de personal;Cataluña;2016;63.656
C.I  Gastos de personal;Cataluña;2015;61.110
C.I  Gastos de personal;Cataluña;2014;57.605
C.I  Gastos de personal;Cataluña;2013;57.739
C.I  Gastos de personal;Cataluña;2012;55.279
C.I  Gastos de personal;Cataluña;2011;62.744
C.I  Gastos de personal;Cataluña;2010;62.738
C.I  Gastos de personal;Comunitat Valenciana;2023;70.468
C.I  Gastos de personal;Comunitat Valenciana;2022;66.090
C.I  Gastos de personal;Comunitat Valenciana;2021;63.951
C.I  Gastos de personal;Comunitat Valenciana;2020;61.750
C.I  Gastos de personal;Comunitat Valenciana;2019;60.192
C.I  Gastos de personal;Comunitat Valenciana;2018;60.144
C.I  Gastos de personal;Comunitat Valenciana;2017;57.146
C.I  Gastos de personal;Comunitat Valenciana;2016;55.862
C.I  Gastos de personal;Comunitat Valenciana;2015;53.587
C.I  Gastos de personal;Comunitat Valenciana;2014;51.063
C.I  Gastos de personal;Comunitat Valenciana;2013;49.647
C.I  Gastos de personal;Comunitat Valenciana;2012;47.748
C.I  Gastos de personal;Comunitat Valenciana;2011;55.666
C.I  Gastos de personal;Comunitat Valenciana;2010;52.238
C.I  Gastos de personal;Extremadura;2023;14.948
C.I  Gastos de personal;Extremadura;2022;14.767
C.I  Gastos de personal;Extremadura;2021;13.806
C.I  Gastos de personal;Extremadura;2020;12.280
C.I  Gastos de personal;Extremadura;2019;14.667
C.I  Gastos de personal;Extremadura;2018;12.881
C.I  Gastos de personal;Extremadura;2017;12.683
C.I  Gastos de personal;Extremadura;2016;12.153
C.I  Gastos de personal;Extremadura;2015;11.675
C.I  Gastos de personal;Extremadura;2014;10.247
C.I  Gastos de personal;Extremadura;2013;9.980
C.I  Gastos de personal;Extremadura;2012;11.099
C.I  Gastos de personal;Extremadura;2011;10.035
C.I  Gastos de personal;Extremadura;2010;9.501
C.I  Gastos de personal;Galicia;2023;22.328
C.I  Gastos de personal;Galicia;2022;21.487
C.I  Gastos de personal;Galicia;2021;20.576
C.I  Gastos de personal;Galicia;2020;20.508
C.I  Gastos de personal;Galicia;2019;20.244
C.I  Gastos de personal;Galicia;2018;19.258
C.I  Gastos de personal;Galicia;2017;18.699
C.I  Gastos de personal;Galicia;2016;19.231
C.I  Gastos de personal;Galicia;2015;19.094
C.I  Gastos de personal;Galicia;2014;17.598
C.I  Gastos de personal;Galicia;2013;17.244
C.I  Gastos de personal;Galicia;2012;17.128
C.I  Gastos de personal;Galicia;2011;18.527
C.I  Gastos de personal;Galicia;2010;18.370
C.I  Gastos de personal;Madrid, Comunidad de;2023;216.739
C.I  Gastos de personal;Madrid, Comunidad de;2022;206.192
C.I  Gastos de personal;Madrid, Comunidad de;2021;199.419
C.I  Gastos de personal;Madrid, Comunidad de;2020;184.678
C.I  Gastos de personal;Madrid, Comunidad de;2019;175.961
C.I  Gastos de personal;Madrid, Comunidad de;2018;171.792
C.I  Gastos de personal;Madrid, Comunidad de;2017;171.510
C.I  Gastos de personal;Madrid, Comunidad de;2016;167.358
C.I  Gastos de personal;Madrid, Comunidad de;2015;157.739
C.I  Gastos de personal;Madrid, Comunidad de;2014;151.880
C.I  Gastos de personal;Madrid, Comunidad de;2013;151.188
C.I  Gastos de personal;Madrid, Comunidad de;2012;148.926
C.I  Gastos de personal;Madrid, Comunidad de;2011;167.397
C.I  Gastos de personal;Madrid, Comunidad de;2010;174.117
C.I  Gastos de personal;Murcia, Región de;2023;22.608
C.I  Gastos de personal;Murcia, Región de;2022;20.933
C.I  Gastos de personal;Murcia, Región de;2021;18.848
C.I  Gastos de personal;Murcia, Región de;2020;18.783
C.I  Gastos de personal;Murcia, Región de;2019;18.756
C.I  Gastos de personal;Murcia, Región de;2018;17.773
C.I  Gastos de personal;Murcia, Región de;2017;16.466
C.I  Gastos de personal;Murcia, Región de;2016;16.243
C.I  Gastos de personal;Murcia, Región de;2015;15.275
C.I  Gastos de personal;Murcia, Región de;2014;14.481
C.I  Gastos de personal;Murcia, Región de;2013;14.338
C.I  Gastos de personal;Murcia, Región de;2012;13.769
C.I  Gastos de personal;Murcia, Región de;2011;15.975
C.I  Gastos de personal;Murcia, Región de;2010;16.224
C.I  Gastos de personal;Navarra, Comunidad Foral de;2023;6.233
C.I  Gastos de personal;Navarra, Comunidad Foral de;2022;7.255
C.I  Gastos de personal;Navarra, Comunidad Foral de;2021;6.260
C.I  Gastos de personal;Navarra, Comunidad Foral de;2020;6.078
C.I  Gastos de personal;Navarra, Comunidad Foral de;2019;7.524
C.I  Gastos de personal;Navarra, Comunidad Foral de;2018;6.003
C.I  Gastos de personal;Navarra, Comunidad Foral de;2017;5.691
C.I  Gastos de personal;Navarra, Comunidad Foral de;2016;5.403
C.I  Gastos de personal;Navarra, Comunidad Foral de;2015;4.318
C.I  Gastos de personal;Navarra, Comunidad Foral de;2014;..
C.I  Gastos de personal;Navarra, Comunidad Foral de;2013;..
C.I  Gastos de personal;Navarra, Comunidad Foral de;2012;4.886
C.I  Gastos de personal;Navarra, Comunidad Foral de;2011;4.727
C.I  Gastos de personal;Navarra, Comunidad Foral de;2010;4.725
C.I  Gastos de personal;País Vasco;2023;29.840
C.I  Gastos de personal;País Vasco;2022;26.974
C.I  Gastos de personal;País Vasco;2021;26.257
C.I  Gastos de personal;País Vasco;2020;25.431
C.I  Gastos de personal;País Vasco;2019;25.931
C.I  Gastos de personal;País Vasco;2018;23.791
C.I  Gastos de personal;País Vasco;2017;24.338
C.I  Gastos de personal;País Vasco;2016;28.350
C.I  Gastos de personal;País Vasco;2015;27.675
C.I  Gastos de personal;País Vasco;2014;..
C.I  Gastos de personal;País Vasco;2013;..
C.I  Gastos de personal;País Vasco;2012;24.573
C.I  Gastos de personal;País Vasco;2011;27.006
C.I  Gastos de personal;País Vasco;2010;27.307
C.I  Gastos de personal;Rioja, La;2023;548
C.I  Gastos de personal;Rioja, La;2022;542
C.I  Gastos de personal;Rioja, La;2021;640
C.I  Gastos de personal;Rioja, La;2020;584
C.I  Gastos de personal;Rioja, La;2019;665
C.I  Gastos de personal;Rioja, La;2018;626
C.I  Gastos de personal;Rioja, La;2017;632
C.I  Gastos de personal;Rioja, La;2016;662
C.I  Gastos de personal;Rioja, La;2015;647
C.I  Gastos de personal;Rioja, La;2014;607
C.I  Gastos de personal;Rioja, La;2013;625
C.I  Gastos de personal;Rioja, La;2012;706
C.I  Gastos de personal;Rioja, La;2011;814
C.I  Gastos de personal;Rioja, La;2010;821
C.II Gastos corrientes en bienes y servicios;TOTAL;2023;1.136.650
C.II Gastos corrientes en bienes y servicios;TOTAL;2022;1.004.809
C.II Gastos corrientes en bienes y servicios;TOTAL;2021;818.293
C.II Gastos corrientes en bienes y servicios;TOTAL;2020;724.920
C.II Gastos corrientes en bienes y servicios;TOTAL;2019;859.768
C.II Gastos corrientes en bienes y servicios;TOTAL;2018;816.918
C.II Gastos corrientes en bienes y servicios;TOTAL;2017;779.202
C.II Gastos corrientes en bienes y servicios;TOTAL;2016;753.242
C.II Gastos corrientes en bienes y servicios;TOTAL;2015;734.067
C.II Gastos corrientes en bienes y servicios;TOTAL;2014;..
C.II Gastos corrientes en bienes y servicios;TOTAL;2013;..
C.II Gastos corrientes en bienes y servicios;TOTAL;2012;727.586
C.II Gastos corrientes en bienes y servicios;TOTAL;2011;754.534
C.II Gastos corrientes en bienes y servicios;TOTAL;2010;769.175
C.II Gastos corrientes en bienes y servicios;SUBTOTAL (Sin País Vasco y Navarra);2023;..
C.II Gastos corrientes en bienes y servicios;SUBTOTAL (Sin País Vasco y Navarra);2022;..
C.II Gastos corrientes en bienes y servicios;SUBTOTAL (Sin País Vasco y Navarra);2021;..
C.II Gastos corrientes en bienes y servicios;SUBTOTAL (Sin País Vasco y Navarra);2020;..
C.II Gastos corrientes en bienes y servicios;SUBTOTAL (Sin País Vasco y Navarra);2019;..
C.II Gastos corrientes en bienes y servicios;SUBTOTAL (Sin País Vasco y Navarra);2018;..
