Comunidad autónoma y tamaño del municipio;Indicador;Abonados;periodo;Total
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;21,4
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;8,1
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;14,1
Castilla-La Mancha;En % de la población total de cada colectivo;Total;2022;100
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios: Total;2022;20,4
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;7,3
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;14,6
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;13,6
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;3,8
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;10,4
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;8,7
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;3,9
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;5,0
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;33,1
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;12,3
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;23,4
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;22,2
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;6,2
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;17,0
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;14,3
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;6,7
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;7,9
Cataluña;En % de la población total de cada colectivo;Total;2022;100
Cataluña;En % de la población total de cada colectivo;Abonados o socios: Total;2022;34,7
Cataluña;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;14,7
Cataluña;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;22,2
Cataluña;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;22,9
Cataluña;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;8,9
Cataluña;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;14,6
Cataluña;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;15,3
Cataluña;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;6,6
Cataluña;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;9,8
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;52,4
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;22,6
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;33,5
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;34,2
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;13,4
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;21,8
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;24,1
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;10,6
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;15,3
Comunitat Valenciana;En % de la población total de cada colectivo;Total;2022;100
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios: Total;2022;28,4
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;8,8
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;21,5
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;19,6
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;4,5
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;15,5
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;11,8
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;4,6
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;8,0
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;45,1
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;2022;14,6
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;2022;33,4
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;2022;32,0
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;7,5
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;2022;25,3
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;18,2
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;7,7
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;11,5
Extremadura;En % de la población total de cada colectivo;Total;2022;100
Extremadura;En % de la población total de cada colectivo;Abonados o socios: Total;2022;25,5
Extremadura;En % de la población total de cada colectivo;Abonados o socios: Públicos;2022;11,3
Extremadura;En % de la población total de cada colectivo;Abonados o socios: Privados;2022;16,0
Extremadura;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;2022;15,4
Extremadura;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;2022;5,5
Extremadura;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;2022;10,1
Extremadura;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;2022;13,1
Extremadura;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;2022;6,1
Extremadura;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;2022;7,8
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Total;2022;100
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;2022;43,0
