Comunidad autónoma y tamaño del municipio;Indicador;Disponen de licencia deportiva;periodo;Total
Navarra (Comunidad Foral de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;23,6
Navarra (Comunidad Foral de);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;19,2
País Vasco;En % de la población total de cada colectivo;TOTAL;2022;100
País Vasco;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;13,9
País Vasco;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;12,0
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;20,1
País Vasco;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;17,5
Rioja (La);En % de la población total de cada colectivo;TOTAL;2022;100
Rioja (La);En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;10,2
Rioja (La);En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;9,5
Rioja (La);En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Rioja (La);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;16,4
Rioja (La);En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;15,2
Ceuta y Melilla;En % de la población total de cada colectivo;TOTAL;2022;100
Ceuta y Melilla;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;9,8
Ceuta y Melilla;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,2
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;17,3
Ceuta y Melilla;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;14,7
Capitales de provincia;En % de la población total de cada colectivo;TOTAL;2022;100
Capitales de provincia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;10,0
Capitales de provincia;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;9,1
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;15,6
Capitales de provincia;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;14,2
De más de 50.000 habitantes;En % de la población total de cada colectivo;TOTAL;2022;100
De más de 50.000 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;8,8
De más de 50.000 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,0
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;14,2
De más de 50.000 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;12,8
De menos de 50.001 habitantes;En % de la población total de cada colectivo;TOTAL;2022;100
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Total;2022;9,7
De menos de 50.001 habitantes;En % de la población total de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;8,2
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;TOTAL;2022;100
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Total;2022;15,0
De menos de 50.001 habitantes;En % de la población que practicó deporte en el último año de cada colectivo;Disponen de licencia deportiva: Una sola licencia;2022;12,6
