Comunidad autónoma-tamaño del municipio;Indicador;Tipo de pertenencia;Total
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios: Privados;37,5
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;36,2
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;13,3
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;25,2
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;24,7
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;18,1
Balears, Illes;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;10,1
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;65,3
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;27,8
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;50,7
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;49,1
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;18,2
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;34,3
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;33,5
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;13,8
Balears, Illes;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;24,7
Canarias;En % de la población total de cada colectivo;Total;100
Canarias;En % de la población total de cada colectivo;Abonados o socios: Total;37,6
Canarias;En % de la población total de cada colectivo;Abonados o socios: Públicos;12,5
Canarias;En % de la población total de cada colectivo;Abonados o socios: Privados;28,8
Canarias;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;28,9
Canarias;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;10,2
Canarias;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;21,1
Canarias;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;15,0
Canarias;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;12,9
Canarias;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;4,2
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;59,9
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;20,0
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;45,8
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;46,5
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;16,2
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;33,9
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;23,6
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;6,7
Canarias;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;20,0
Cantabria;En % de la población total de cada colectivo;Total;100
Cantabria;En % de la población total de cada colectivo;Abonados o socios: Total;39,4
Cantabria;En % de la población total de cada colectivo;Abonados o socios: Públicos;14,7
Cantabria;En % de la población total de cada colectivo;Abonados o socios: Privados;29,0
Cantabria;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;26,4
Cantabria;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;9,3
Cantabria;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;18,1
Cantabria;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;21,1
Cantabria;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;15,0
Cantabria;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;7,3
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;63,7
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;23,4
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;47,4
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;44,4
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;15,5
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;30,7
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;33,3
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;10,9
Cantabria;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;24,0
Castilla y León;En % de la población total de cada colectivo;Total;100
Castilla y León;En % de la población total de cada colectivo;Abonados o socios: Total;38,5
Castilla y León;En % de la población total de cada colectivo;Abonados o socios: Públicos;15,0
Castilla y León;En % de la población total de cada colectivo;Abonados o socios: Privados;29,8
Castilla y León;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;25,9
Castilla y León;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;8,4
Castilla y León;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;20,2
Castilla y León;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;18,6
Castilla y León;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;13,7
Castilla y León;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;7,5
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;58,1
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;22,3
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;45,7
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;40,4
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;12,8
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;31,9
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;27,4
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;10,9
Castilla y León;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;20,3
Castilla-La Mancha;En % de la población total de cada colectivo;Total;100
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios: Total;37,0
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios: Públicos;12,2
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios: Privados;29,7
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;31,4
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;8,2
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;24,7
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;12,5
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;9,9
Castilla-La Mancha;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;4,5
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;58,4
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;19,8
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;46,3
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;50,2
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;13,3
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;38,8
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;20,0
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;7,4
Castilla-La Mancha;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;15,9
Cataluña;En % de la población total de cada colectivo;Total;100
Cataluña;En % de la población total de cada colectivo;Abonados o socios: Total;43,6
Cataluña;En % de la población total de cada colectivo;Abonados o socios: Públicos;15,5
Cataluña;En % de la población total de cada colectivo;Abonados o socios: Privados;32,7
Cataluña;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;31,7
Cataluña;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;10,8
Cataluña;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;22,4
Cataluña;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;19,8
Cataluña;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;15,3
Cataluña;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;5,7
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;61,9
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;22,4
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;46,4
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;46,5
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;15,8
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;32,9
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;27,2
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;8,0
Cataluña;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;20,9
Comunitat Valenciana;En % de la población total de cada colectivo;Total;100
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios: Total;45,4
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios: Públicos;18,7
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios: Privados;32,1
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;33,9
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;11,4
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;24,0
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;20,7
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;13,2
Comunitat Valenciana;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;9,7
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;65,6
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;27,3
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;46,8
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;51,5
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;17,3
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;36,2
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;28,4
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;13,6
Comunitat Valenciana;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;18,4
Extremadura;En % de la población total de cada colectivo;Total;100
Extremadura;En % de la población total de cada colectivo;Abonados o socios: Total;37,6
Extremadura;En % de la población total de cada colectivo;Abonados o socios: Públicos;16,0
Extremadura;En % de la población total de cada colectivo;Abonados o socios: Privados;26,0
Extremadura;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;24,1
Extremadura;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;8,7
Extremadura;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;16,7
Extremadura;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;23,0
Extremadura;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;15,6
Extremadura;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;9,6
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;58,0
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;25,0
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;40,4
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;38,8
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;13,8
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;27,3
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;35,0
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;14,9
Extremadura;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;23,5
Galicia;En % de la población total de cada colectivo;Total;100
Galicia;En % de la población total de cada colectivo;Abonados o socios: Total;36,9
Galicia;En % de la población total de cada colectivo;Abonados o socios: Públicos;15,7
Galicia;En % de la población total de cada colectivo;Abonados o socios: Privados;25,9
Galicia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;25,4
Galicia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;10,8
Galicia;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;16,3
Galicia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;18,9
Galicia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;14,0
Galicia;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;6,3
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;61,6
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;26,7
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;43,4
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;43,7
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Públicos;18,8
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Privados;28,2
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;30,9
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;10,6
Galicia;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;22,8
Madrid, Comunidad de;En % de la población total de cada colectivo;Total;100
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios: Total;44,1
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios: Públicos;14,2
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios: Privados;33,9
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Total;32,8
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Públicos;9,8
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios de gimnasios: Privados;24,5
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Total;20,4
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Públicos;14,9
Madrid, Comunidad de;En % de la población total de cada colectivo;Abonados o socios a otras asociaciones o clubs: Privados;6,4
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Total;100
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Total;60,2
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Públicos;18,7
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios: Privados;46,7
Madrid, Comunidad de;En % de la población que practicó deporte en el último año de cada colectivo;Abonados o socios de gimnasios: Total;46,1
