Federación;Deportistas;Sexo;periodo;Total
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2023;38
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2022;38
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2021;25
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2020;26
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2019;21
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2018;16
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2017;15
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2016;18
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2015;16
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2014;16
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2013;18
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2012;14
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2011;16
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2010;13
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2009;11
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2008;17
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2007;14
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2006;0
Deporte Discapacidad Intelectual;Valores absolutos;TOTAL;2005;6
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2024;39
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2023;29
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2022;29
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2021;18
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2020;19
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2019;17
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2018;13
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2017;13
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2016;15
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2015;13
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2014;12
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2013;14
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2012;10
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2011;12
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2010;10
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2009;8
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2008;12
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2007;11
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2006;0
Deporte Discapacidad Intelectual;Valores absolutos;Hombres;2005;5
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2024;10
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2023;9
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2022;9
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2021;7
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2020;7
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2019;4
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2018;3
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2017;2
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2016;3
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2015;3
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2014;4
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2013;4
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2012;4
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2011;4
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2010;3
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2009;3
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2008;5
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2007;3
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2006;0
Deporte Discapacidad Intelectual;Valores absolutos;Mujeres;2005;1
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2024;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2023;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2022;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2021;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2020;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2019;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2018;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2017;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2016;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2015;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2014;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2013;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2012;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2011;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2010;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2009;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2008;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2007;100,0
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2006;..
Deporte Discapacidad Intelectual;Porcentaje;TOTAL;2005;100,0
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2024;79,6
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2023;76,3
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2022;76,3
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2021;72,0
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2020;73,1
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2019;81,0
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2018;81,3
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2017;86,7
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2016;83,3
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2015;81,3
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2014;75,0
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2013;77,8
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2012;71,4
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2011;75,0
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2010;76,9
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2009;72,7
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2008;70,6
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2007;78,6
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2006;..
Deporte Discapacidad Intelectual;Porcentaje;Hombres;2005;83,3
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2024;20,4
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2023;23,7
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2022;23,7
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2021;28,0
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2020;26,9
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2019;19,0
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2018;18,8
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2017;13,3
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2016;16,7
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2015;18,8
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2014;25,0
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2013;22,2
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2012;28,6
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2011;25,0
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2010;23,1
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2009;27,3
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2008;29,4
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2007;21,4
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2006;..
Deporte Discapacidad Intelectual;Porcentaje;Mujeres;2005;16,7
Deporte para Ciegos;Valores absolutos;TOTAL;2024;54
Deporte para Ciegos;Valores absolutos;TOTAL;2023;60
Deporte para Ciegos;Valores absolutos;TOTAL;2022;69
Deporte para Ciegos;Valores absolutos;TOTAL;2021;71
Deporte para Ciegos;Valores absolutos;TOTAL;2020;77
Deporte para Ciegos;Valores absolutos;TOTAL;2019;92
Deporte para Ciegos;Valores absolutos;TOTAL;2018;82
Deporte para Ciegos;Valores absolutos;TOTAL;2017;79
Deporte para Ciegos;Valores absolutos;TOTAL;2016;83
Deporte para Ciegos;Valores absolutos;TOTAL;2015;81
Deporte para Ciegos;Valores absolutos;TOTAL;2014;84
Deporte para Ciegos;Valores absolutos;TOTAL;2013;101
Deporte para Ciegos;Valores absolutos;TOTAL;2012;96
Deporte para Ciegos;Valores absolutos;TOTAL;2011;100
Deporte para Ciegos;Valores absolutos;TOTAL;2010;86
Deporte para Ciegos;Valores absolutos;TOTAL;2009;92
Deporte para Ciegos;Valores absolutos;TOTAL;2008;80
Deporte para Ciegos;Valores absolutos;TOTAL;2007;73
Deporte para Ciegos;Valores absolutos;TOTAL;2006;22
Deporte para Ciegos;Valores absolutos;TOTAL;2005;0
Deporte para Ciegos;Valores absolutos;Hombres;2024;41
Deporte para Ciegos;Valores absolutos;Hombres;2023;46
Deporte para Ciegos;Valores absolutos;Hombres;2022;53
Deporte para Ciegos;Valores absolutos;Hombres;2021;55
Deporte para Ciegos;Valores absolutos;Hombres;2020;57
Deporte para Ciegos;Valores absolutos;Hombres;2019;70
Deporte para Ciegos;Valores absolutos;Hombres;2018;63
Deporte para Ciegos;Valores absolutos;Hombres;2017;61
Deporte para Ciegos;Valores absolutos;Hombres;2016;65
Deporte para Ciegos;Valores absolutos;Hombres;2015;64
Deporte para Ciegos;Valores absolutos;Hombres;2014;65
Deporte para Ciegos;Valores absolutos;Hombres;2013;77
Deporte para Ciegos;Valores absolutos;Hombres;2012;72
Deporte para Ciegos;Valores absolutos;Hombres;2011;76
Deporte para Ciegos;Valores absolutos;Hombres;2010;63
Deporte para Ciegos;Valores absolutos;Hombres;2009;71
Deporte para Ciegos;Valores absolutos;Hombres;2008;58
Deporte para Ciegos;Valores absolutos;Hombres;2007;55
Deporte para Ciegos;Valores absolutos;Hombres;2006;19
Deporte para Ciegos;Valores absolutos;Hombres;2005;0
Deporte para Ciegos;Valores absolutos;Mujeres;2024;13
Deporte para Ciegos;Valores absolutos;Mujeres;2023;14
Deporte para Ciegos;Valores absolutos;Mujeres;2022;16
Deporte para Ciegos;Valores absolutos;Mujeres;2021;16
Deporte para Ciegos;Valores absolutos;Mujeres;2020;20
Deporte para Ciegos;Valores absolutos;Mujeres;2019;22
Deporte para Ciegos;Valores absolutos;Mujeres;2018;19
Deporte para Ciegos;Valores absolutos;Mujeres;2017;18
Deporte para Ciegos;Valores absolutos;Mujeres;2016;18
Deporte para Ciegos;Valores absolutos;Mujeres;2015;17
Deporte para Ciegos;Valores absolutos;Mujeres;2014;19
Deporte para Ciegos;Valores absolutos;Mujeres;2013;24
Deporte para Ciegos;Valores absolutos;Mujeres;2012;24
Deporte para Ciegos;Valores absolutos;Mujeres;2011;24
Deporte para Ciegos;Valores absolutos;Mujeres;2010;23
Deporte para Ciegos;Valores absolutos;Mujeres;2009;21
Deporte para Ciegos;Valores absolutos;Mujeres;2008;22
Deporte para Ciegos;Valores absolutos;Mujeres;2007;18
Deporte para Ciegos;Valores absolutos;Mujeres;2006;3
Deporte para Ciegos;Valores absolutos;Mujeres;2005;0
Deporte para Ciegos;Porcentaje;TOTAL;2024;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2023;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2022;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2021;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2020;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2019;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2018;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2017;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2016;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2015;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2014;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2013;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2012;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2011;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2010;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2009;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2008;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2007;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2006;100,0
Deporte para Ciegos;Porcentaje;TOTAL;2005;..
Deporte para Ciegos;Porcentaje;Hombres;2024;75,9
Deporte para Ciegos;Porcentaje;Hombres;2023;76,7
Deporte para Ciegos;Porcentaje;Hombres;2022;76,8
Deporte para Ciegos;Porcentaje;Hombres;2021;77,5
Deporte para Ciegos;Porcentaje;Hombres;2020;74,0
Deporte para Ciegos;Porcentaje;Hombres;2019;76,1
Deporte para Ciegos;Porcentaje;Hombres;2018;76,8
Deporte para Ciegos;Porcentaje;Hombres;2017;77,2
Deporte para Ciegos;Porcentaje;Hombres;2016;78,3
Deporte para Ciegos;Porcentaje;Hombres;2015;79,0
Deporte para Ciegos;Porcentaje;Hombres;2014;77,4
Deporte para Ciegos;Porcentaje;Hombres;2013;76,2
Deporte para Ciegos;Porcentaje;Hombres;2012;75,0
Deporte para Ciegos;Porcentaje;Hombres;2011;76,0
Deporte para Ciegos;Porcentaje;Hombres;2010;73,3
Deporte para Ciegos;Porcentaje;Hombres;2009;77,2
Deporte para Ciegos;Porcentaje;Hombres;2008;72,5
Deporte para Ciegos;Porcentaje;Hombres;2007;75,3
Deporte para Ciegos;Porcentaje;Hombres;2006;86,4
Deporte para Ciegos;Porcentaje;Hombres;2005;..
Deporte para Ciegos;Porcentaje;Mujeres;2024;24,1
Deporte para Ciegos;Porcentaje;Mujeres;2023;23,3
Deporte para Ciegos;Porcentaje;Mujeres;2022;23,2
Deporte para Ciegos;Porcentaje;Mujeres;2021;22,5
Deporte para Ciegos;Porcentaje;Mujeres;2020;26,0
Deporte para Ciegos;Porcentaje;Mujeres;2019;23,9
Deporte para Ciegos;Porcentaje;Mujeres;2018;23,2
Deporte para Ciegos;Porcentaje;Mujeres;2017;22,8
Deporte para Ciegos;Porcentaje;Mujeres;2016;21,7
Deporte para Ciegos;Porcentaje;Mujeres;2015;21,0
Deporte para Ciegos;Porcentaje;Mujeres;2014;22,6
Deporte para Ciegos;Porcentaje;Mujeres;2013;23,8
Deporte para Ciegos;Porcentaje;Mujeres;2012;25,0
Deporte para Ciegos;Porcentaje;Mujeres;2011;24,0
Deporte para Ciegos;Porcentaje;Mujeres;2010;26,7
Deporte para Ciegos;Porcentaje;Mujeres;2009;22,8
Deporte para Ciegos;Porcentaje;Mujeres;2008;27,5
Deporte para Ciegos;Porcentaje;Mujeres;2007;24,7
Deporte para Ciegos;Porcentaje;Mujeres;2006;13,6
Deporte para Ciegos;Porcentaje;Mujeres;2005;..
Deporte para Sordos;Valores absolutos;TOTAL;2024;53
Deporte para Sordos;Valores absolutos;TOTAL;2023;60
Deporte para Sordos;Valores absolutos;TOTAL;2022;53
Deporte para Sordos;Valores absolutos;TOTAL;2021;52
Deporte para Sordos;Valores absolutos;TOTAL;2020;51
Deporte para Sordos;Valores absolutos;TOTAL;2019;44
Deporte para Sordos;Valores absolutos;TOTAL;2018;19
Deporte para Sordos;Valores absolutos;TOTAL;2017;14
Deporte para Sordos;Valores absolutos;TOTAL;2016;6
Deporte para Sordos;Valores absolutos;TOTAL;2015;3
Deporte para Sordos;Valores absolutos;TOTAL;2014;2
Deporte para Sordos;Valores absolutos;TOTAL;2013;4
Deporte para Sordos;Valores absolutos;TOTAL;2012;4
Deporte para Sordos;Valores absolutos;TOTAL;2011;4
Deporte para Sordos;Valores absolutos;TOTAL;2010;4
Deporte para Sordos;Valores absolutos;TOTAL;2009;4
Deporte para Sordos;Valores absolutos;TOTAL;2008;4
Deporte para Sordos;Valores absolutos;TOTAL;2007;1
Deporte para Sordos;Valores absolutos;TOTAL;2006;0
Deporte para Sordos;Valores absolutos;TOTAL;2005;1
Deporte para Sordos;Valores absolutos;Hombres;2024;32
Deporte para Sordos;Valores absolutos;Hombres;2023;43
Deporte para Sordos;Valores absolutos;Hombres;2022;41
Deporte para Sordos;Valores absolutos;Hombres;2021;37
Deporte para Sordos;Valores absolutos;Hombres;2020;36
Deporte para Sordos;Valores absolutos;Hombres;2019;30
Deporte para Sordos;Valores absolutos;Hombres;2018;16
Deporte para Sordos;Valores absolutos;Hombres;2017;11
Deporte para Sordos;Valores absolutos;Hombres;2016;3
Deporte para Sordos;Valores absolutos;Hombres;2015;1
Deporte para Sordos;Valores absolutos;Hombres;2014;0
Deporte para Sordos;Valores absolutos;Hombres;2013;1
Deporte para Sordos;Valores absolutos;Hombres;2012;1
Deporte para Sordos;Valores absolutos;Hombres;2011;1
Deporte para Sordos;Valores absolutos;Hombres;2010;1
Deporte para Sordos;Valores absolutos;Hombres;2009;1
Deporte para Sordos;Valores absolutos;Hombres;2008;1
Deporte para Sordos;Valores absolutos;Hombres;2007;1
Deporte para Sordos;Valores absolutos;Hombres;2006;0
Deporte para Sordos;Valores absolutos;Hombres;2005;1
Deporte para Sordos;Valores absolutos;Mujeres;2024;21
Deporte para Sordos;Valores absolutos;Mujeres;2023;17
Deporte para Sordos;Valores absolutos;Mujeres;2022;12
Deporte para Sordos;Valores absolutos;Mujeres;2021;15
Deporte para Sordos;Valores absolutos;Mujeres;2020;15
Deporte para Sordos;Valores absolutos;Mujeres;2019;14
Deporte para Sordos;Valores absolutos;Mujeres;2018;3
Deporte para Sordos;Valores absolutos;Mujeres;2017;3
Deporte para Sordos;Valores absolutos;Mujeres;2016;3
Deporte para Sordos;Valores absolutos;Mujeres;2015;2
Deporte para Sordos;Valores absolutos;Mujeres;2014;2
Deporte para Sordos;Valores absolutos;Mujeres;2013;3
Deporte para Sordos;Valores absolutos;Mujeres;2012;3
Deporte para Sordos;Valores absolutos;Mujeres;2011;3
Deporte para Sordos;Valores absolutos;Mujeres;2010;3
Deporte para Sordos;Valores absolutos;Mujeres;2009;3
Deporte para Sordos;Valores absolutos;Mujeres;2008;3
Deporte para Sordos;Valores absolutos;Mujeres;2007;0
Deporte para Sordos;Valores absolutos;Mujeres;2006;0
Deporte para Sordos;Valores absolutos;Mujeres;2005;0
Deporte para Sordos;Porcentaje;TOTAL;2024;100,0
Deporte para Sordos;Porcentaje;TOTAL;2023;100,0
Deporte para Sordos;Porcentaje;TOTAL;2022;100,0
Deporte para Sordos;Porcentaje;TOTAL;2021;100,0
Deporte para Sordos;Porcentaje;TOTAL;2020;100,0
Deporte para Sordos;Porcentaje;TOTAL;2019;100,0
Deporte para Sordos;Porcentaje;TOTAL;2018;100,0
Deporte para Sordos;Porcentaje;TOTAL;2017;100,0
Deporte para Sordos;Porcentaje;TOTAL;2016;100,0
Deporte para Sordos;Porcentaje;TOTAL;2015;100,0
Deporte para Sordos;Porcentaje;TOTAL;2014;100,0
Deporte para Sordos;Porcentaje;TOTAL;2013;100,0
Deporte para Sordos;Porcentaje;TOTAL;2012;100,0
Deporte para Sordos;Porcentaje;TOTAL;2011;100,0
Deporte para Sordos;Porcentaje;TOTAL;2010;100,0
Deporte para Sordos;Porcentaje;TOTAL;2009;100,0
Deporte para Sordos;Porcentaje;TOTAL;2008;100,0
Deporte para Sordos;Porcentaje;TOTAL;2007;100,0
Deporte para Sordos;Porcentaje;TOTAL;2006;..
Deporte para Sordos;Porcentaje;TOTAL;2005;100,0
Deporte para Sordos;Porcentaje;Hombres;2024;60,4
Deporte para Sordos;Porcentaje;Hombres;2023;71,7
Deporte para Sordos;Porcentaje;Hombres;2022;77,4
Deporte para Sordos;Porcentaje;Hombres;2021;71,2
Deporte para Sordos;Porcentaje;Hombres;2020;70,6
Deporte para Sordos;Porcentaje;Hombres;2019;68,2
Deporte para Sordos;Porcentaje;Hombres;2018;84,2
Deporte para Sordos;Porcentaje;Hombres;2017;78,6
Deporte para Sordos;Porcentaje;Hombres;2016;50,0
Deporte para Sordos;Porcentaje;Hombres;2015;33,3
Deporte para Sordos;Porcentaje;Hombres;2014;0,0
Deporte para Sordos;Porcentaje;Hombres;2013;25,0
Deporte para Sordos;Porcentaje;Hombres;2012;25,0
Deporte para Sordos;Porcentaje;Hombres;2011;25,0
Deporte para Sordos;Porcentaje;Hombres;2010;25,0
Deporte para Sordos;Porcentaje;Hombres;2009;25,0
Deporte para Sordos;Porcentaje;Hombres;2008;25,0
Deporte para Sordos;Porcentaje;Hombres;2007;100,0
Deporte para Sordos;Porcentaje;Hombres;2006;..
Deporte para Sordos;Porcentaje;Hombres;2005;100,0
Deporte para Sordos;Porcentaje;Mujeres;2024;39,6
Deporte para Sordos;Porcentaje;Mujeres;2023;28,3
Deporte para Sordos;Porcentaje;Mujeres;2022;22,6
Deporte para Sordos;Porcentaje;Mujeres;2021;28,8
Deporte para Sordos;Porcentaje;Mujeres;2020;29,4
Deporte para Sordos;Porcentaje;Mujeres;2019;31,8
Deporte para Sordos;Porcentaje;Mujeres;2018;15,8
Deporte para Sordos;Porcentaje;Mujeres;2017;21,4
Deporte para Sordos;Porcentaje;Mujeres;2016;50,0
Deporte para Sordos;Porcentaje;Mujeres;2015;66,7
Deporte para Sordos;Porcentaje;Mujeres;2014;100,0
Deporte para Sordos;Porcentaje;Mujeres;2013;75,0
Deporte para Sordos;Porcentaje;Mujeres;2012;75,0
Deporte para Sordos;Porcentaje;Mujeres;2011;75,0
Deporte para Sordos;Porcentaje;Mujeres;2010;75,0
Deporte para Sordos;Porcentaje;Mujeres;2009;75,0
Deporte para Sordos;Porcentaje;Mujeres;2008;75,0
Deporte para Sordos;Porcentaje;Mujeres;2007;0,0
Deporte para Sordos;Porcentaje;Mujeres;2006;..
Deporte para Sordos;Porcentaje;Mujeres;2005;0,0
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2024;23
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2023;9
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2022;9
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2021;7
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2020;7
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2019;8
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2018;10
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2017;10
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2016;11
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2015;10
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2014;17
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2013;24
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2012;18
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2011;22
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2010;20
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2009;20
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2008;19
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2007;18
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2006;14
Deporte Parálisis Cerebral y DCA;Valores absolutos;TOTAL;2005;0
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2024;17
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2023;5
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2022;5
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2021;5
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2020;7
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2019;8
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2018;10
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2017;10
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2016;10
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2015;9
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2014;14
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2013;18
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2012;12
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2011;16
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2010;15
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2009;15
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2008;16
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2007;15
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2006;12
Deporte Parálisis Cerebral y DCA;Valores absolutos;Hombres;2005;0
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2024;6
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2023;4
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2022;4
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2021;2
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2020;0
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2019;0
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2018;0
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2017;0
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2016;1
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2015;1
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2014;3
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2013;6
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2012;6
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2011;6
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2010;5
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2009;5
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2008;3
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2007;3
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2006;2
Deporte Parálisis Cerebral y DCA;Valores absolutos;Mujeres;2005;0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2024;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2023;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2022;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2021;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2020;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2019;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2018;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2017;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2016;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2015;100,0
Deporte Parálisis Cerebral y DCA;Porcentaje;TOTAL;2014;100,0
