Federación;Comunidad autónoma;periodo;Total
Actividades Subacuáticas;Asturias, Principado de;2010;1.321
Actividades Subacuáticas;Asturias, Principado de;2009;1.466
Actividades Subacuáticas;Asturias, Principado de;2008;1.225
Actividades Subacuáticas;Asturias, Principado de;2007;1.541
Actividades Subacuáticas;Asturias, Principado de;2006;1.512
Actividades Subacuáticas;Asturias, Principado de;2005;1.420
Actividades Subacuáticas;Balears, Illes;2024;1.891
Actividades Subacuáticas;Balears, Illes;2023;1.758
Actividades Subacuáticas;Balears, Illes;2022;1.642
Actividades Subacuáticas;Balears, Illes;2021;1.718
Actividades Subacuáticas;Balears, Illes;2020;1.814
Actividades Subacuáticas;Balears, Illes;2019;1.408
Actividades Subacuáticas;Balears, Illes;2018;1.350
Actividades Subacuáticas;Balears, Illes;2017;1.134
Actividades Subacuáticas;Balears, Illes;2016;1.103
Actividades Subacuáticas;Balears, Illes;2015;1.194
Actividades Subacuáticas;Balears, Illes;2014;1.438
Actividades Subacuáticas;Balears, Illes;2013;1.540
Actividades Subacuáticas;Balears, Illes;2012;1.742
Actividades Subacuáticas;Balears, Illes;2011;1.953
Actividades Subacuáticas;Balears, Illes;2010;1.892
Actividades Subacuáticas;Balears, Illes;2009;2.046
Actividades Subacuáticas;Balears, Illes;2008;1.637
Actividades Subacuáticas;Balears, Illes;2007;1.888
Actividades Subacuáticas;Balears, Illes;2006;1.793
Actividades Subacuáticas;Balears, Illes;2005;1.966
Actividades Subacuáticas;Canarias;2024;2.193
Actividades Subacuáticas;Canarias;2023;2.102
Actividades Subacuáticas;Canarias;2022;1.943
Actividades Subacuáticas;Canarias;2021;1.866
Actividades Subacuáticas;Canarias;2020;2.023
Actividades Subacuáticas;Canarias;2019;1.432
Actividades Subacuáticas;Canarias;2018;1.740
Actividades Subacuáticas;Canarias;2017;1.754
Actividades Subacuáticas;Canarias;2016;1.643
Actividades Subacuáticas;Canarias;2015;1.818
Actividades Subacuáticas;Canarias;2014;1.747
Actividades Subacuáticas;Canarias;2013;1.838
Actividades Subacuáticas;Canarias;2012;1.749
Actividades Subacuáticas;Canarias;2011;2.098
Actividades Subacuáticas;Canarias;2010;2.192
Actividades Subacuáticas;Canarias;2009;1.953
Actividades Subacuáticas;Canarias;2008;2.307
Actividades Subacuáticas;Canarias;2007;2.642
Actividades Subacuáticas;Canarias;2006;2.678
Actividades Subacuáticas;Canarias;2005;2.840
Actividades Subacuáticas;Cantabria;2024;1.012
Actividades Subacuáticas;Cantabria;2023;1.007
Actividades Subacuáticas;Cantabria;2022;778
Actividades Subacuáticas;Cantabria;2021;748
Actividades Subacuáticas;Cantabria;2020;762
Actividades Subacuáticas;Cantabria;2019;723
Actividades Subacuáticas;Cantabria;2018;755
Actividades Subacuáticas;Cantabria;2017;694
Actividades Subacuáticas;Cantabria;2016;704
Actividades Subacuáticas;Cantabria;2015;683
Actividades Subacuáticas;Cantabria;2014;897
Actividades Subacuáticas;Cantabria;2013;897
Actividades Subacuáticas;Cantabria;2012;897
Actividades Subacuáticas;Cantabria;2011;1.304
Actividades Subacuáticas;Cantabria;2010;1.465
Actividades Subacuáticas;Cantabria;2009;1.505
Actividades Subacuáticas;Cantabria;2008;1.410
Actividades Subacuáticas;Cantabria;2007;1.429
Actividades Subacuáticas;Cantabria;2006;1.412
Actividades Subacuáticas;Cantabria;2005;1.570
Actividades Subacuáticas;Castilla y León;2024;488
Actividades Subacuáticas;Castilla y León;2023;472
Actividades Subacuáticas;Castilla y León;2022;548
Actividades Subacuáticas;Castilla y León;2021;532
Actividades Subacuáticas;Castilla y León;2020;438
Actividades Subacuáticas;Castilla y León;2019;570
Actividades Subacuáticas;Castilla y León;2018;584
Actividades Subacuáticas;Castilla y León;2017;675
Actividades Subacuáticas;Castilla y León;2016;575
Actividades Subacuáticas;Castilla y León;2015;636
Actividades Subacuáticas;Castilla y León;2014;644
Actividades Subacuáticas;Castilla y León;2013;736
Actividades Subacuáticas;Castilla y León;2012;891
Actividades Subacuáticas;Castilla y León;2011;863
Actividades Subacuáticas;Castilla y León;2010;749
Actividades Subacuáticas;Castilla y León;2009;664
Actividades Subacuáticas;Castilla y León;2008;663
Actividades Subacuáticas;Castilla y León;2007;536
Actividades Subacuáticas;Castilla y León;2006;446
Actividades Subacuáticas;Castilla y León;2005;431
Actividades Subacuáticas;Castilla-La Mancha;2024;847
Actividades Subacuáticas;Castilla-La Mancha;2023;932
Actividades Subacuáticas;Castilla-La Mancha;2022;941
Actividades Subacuáticas;Castilla-La Mancha;2021;813
Actividades Subacuáticas;Castilla-La Mancha;2020;743
Actividades Subacuáticas;Castilla-La Mancha;2019;871
Actividades Subacuáticas;Castilla-La Mancha;2018;1.136
Actividades Subacuáticas;Castilla-La Mancha;2017;507
Actividades Subacuáticas;Castilla-La Mancha;2016;581
Actividades Subacuáticas;Castilla-La Mancha;2015;864
Actividades Subacuáticas;Castilla-La Mancha;2014;830
Actividades Subacuáticas;Castilla-La Mancha;2013;810
