Federación;Comunidad autónoma;periodo;Total
Galgos;Balears, Illes;2008;0
Galgos;Balears, Illes;2007;0
Galgos;Balears, Illes;2006;0
Galgos;Balears, Illes;2005;0
Galgos;Canarias;2024;0
Galgos;Canarias;2023;0
Galgos;Canarias;2022;0
Galgos;Canarias;2021;0
Galgos;Canarias;2020;0
Galgos;Canarias;2019;0
Galgos;Canarias;2018;0
Galgos;Canarias;2017;0
Galgos;Canarias;2016;0
Galgos;Canarias;2015;0
Galgos;Canarias;2014;0
Galgos;Canarias;2013;0
Galgos;Canarias;2012;0
Galgos;Canarias;2011;1
Galgos;Canarias;2010;2
Galgos;Canarias;2009;2
Galgos;Canarias;2008;0
Galgos;Canarias;2007;0
Galgos;Canarias;2006;0
Galgos;Canarias;2005;0
Galgos;Cantabria;2024;0
Galgos;Cantabria;2023;0
Galgos;Cantabria;2022;0
Galgos;Cantabria;2021;0
Galgos;Cantabria;2020;0
Galgos;Cantabria;2019;0
Galgos;Cantabria;2018;0
Galgos;Cantabria;2017;0
Galgos;Cantabria;2016;0
Galgos;Cantabria;2015;0
Galgos;Cantabria;2014;0
Galgos;Cantabria;2013;0
Galgos;Cantabria;2012;0
Galgos;Cantabria;2011;2
Galgos;Cantabria;2010;2
Galgos;Cantabria;2009;2
Galgos;Cantabria;2008;0
Galgos;Cantabria;2007;0
Galgos;Cantabria;2006;0
Galgos;Cantabria;2005;0
Galgos;Castilla y León;2024;3.265
Galgos;Castilla y León;2023;3.301
Galgos;Castilla y León;2022;3.356
Galgos;Castilla y León;2021;3.384
Galgos;Castilla y León;2020;3.449
Galgos;Castilla y León;2019;3.404
Galgos;Castilla y León;2018;3.288
Galgos;Castilla y León;2017;3.277
Galgos;Castilla y León;2016;3.173
Galgos;Castilla y León;2015;2.923
Galgos;Castilla y León;2014;2.568
Galgos;Castilla y León;2013;2.555
Galgos;Castilla y León;2012;2.744
Galgos;Castilla y León;2011;3.062
Galgos;Castilla y León;2010;2.493
Galgos;Castilla y León;2009;2.653
Galgos;Castilla y León;2008;2.482
Galgos;Castilla y León;2007;2.401
Galgos;Castilla y León;2006;2.238
Galgos;Castilla y León;2005;2.160
Galgos;Castilla-La Mancha;2024;2.715
Galgos;Castilla-La Mancha;2023;2.721
Galgos;Castilla-La Mancha;2022;2.792
Galgos;Castilla-La Mancha;2021;2.745
Galgos;Castilla-La Mancha;2020;2.460
Galgos;Castilla-La Mancha;2019;2.619
Galgos;Castilla-La Mancha;2018;2.500
Galgos;Castilla-La Mancha;2017;2.352
Galgos;Castilla-La Mancha;2016;2.334
Galgos;Castilla-La Mancha;2015;2.146
Galgos;Castilla-La Mancha;2014;2.121
Galgos;Castilla-La Mancha;2013;2.008
Galgos;Castilla-La Mancha;2012;2.644
Galgos;Castilla-La Mancha;2011;3.102
Galgos;Castilla-La Mancha;2010;3.217
Galgos;Castilla-La Mancha;2009;3.352
Galgos;Castilla-La Mancha;2008;3.274
Galgos;Castilla-La Mancha;2007;3.125
Galgos;Castilla-La Mancha;2006;2.843
Galgos;Castilla-La Mancha;2005;2.627
Galgos;Cataluña;2024;0
Galgos;Cataluña;2023;0
Galgos;Cataluña;2022;0
Galgos;Cataluña;2021;0
Galgos;Cataluña;2020;4
Galgos;Cataluña;2019;5
Galgos;Cataluña;2018;5
Galgos;Cataluña;2017;2
Galgos;Cataluña;2016;2
Galgos;Cataluña;2015;3
Galgos;Cataluña;2014;0
Galgos;Cataluña;2013;32
Galgos;Cataluña;2012;4
Galgos;Cataluña;2011;8
Galgos;Cataluña;2010;10
Galgos;Cataluña;2009;11
Galgos;Cataluña;2008;0
Galgos;Cataluña;2007;0
Galgos;Cataluña;2006;19
Galgos;Cataluña;2005;15
Galgos;Comunitat Valenciana;2024;0
Galgos;Comunitat Valenciana;2023;0
Galgos;Comunitat Valenciana;2022;0
Galgos;Comunitat Valenciana;2021;0
Galgos;Comunitat Valenciana;2020;22
Galgos;Comunitat Valenciana;2019;42
Galgos;Comunitat Valenciana;2018;38
Galgos;Comunitat Valenciana;2017;36
Galgos;Comunitat Valenciana;2016;36
Galgos;Comunitat Valenciana;2015;37
Galgos;Comunitat Valenciana;2014;20
Galgos;Comunitat Valenciana;2013;28
Galgos;Comunitat Valenciana;2012;30
Galgos;Comunitat Valenciana;2011;69
Galgos;Comunitat Valenciana;2010;68
Galgos;Comunitat Valenciana;2009;67
Galgos;Comunitat Valenciana;2008;51
Galgos;Comunitat Valenciana;2007;32
Galgos;Comunitat Valenciana;2006;32
Galgos;Comunitat Valenciana;2005;21
Galgos;Extremadura;2024;1.031
Galgos;Extremadura;2023;1.037
Galgos;Extremadura;2022;992
Galgos;Extremadura;2021;956
Galgos;Extremadura;2020;958
Galgos;Extremadura;2019;983
Galgos;Extremadura;2018;945
Galgos;Extremadura;2017;865
Galgos;Extremadura;2016;792
Galgos;Extremadura;2015;778
Galgos;Extremadura;2014;603
Galgos;Extremadura;2013;462
Galgos;Extremadura;2012;1.092
Galgos;Extremadura;2011;1.326
Galgos;Extremadura;2010;1.237
Galgos;Extremadura;2009;1.351
Galgos;Extremadura;2008;1.187
Galgos;Extremadura;2007;1.062
Galgos;Extremadura;2006;976
Galgos;Extremadura;2005;1.050
Galgos;Galicia;2024;0
Galgos;Galicia;2023;0
Galgos;Galicia;2022;0
Galgos;Galicia;2021;0
Galgos;Galicia;2020;0
Galgos;Galicia;2019;0
Galgos;Galicia;2018;0
Galgos;Galicia;2017;0
Galgos;Galicia;2016;0
Galgos;Galicia;2015;0
Galgos;Galicia;2014;0
Galgos;Galicia;2013;0
Galgos;Galicia;2012;0
Galgos;Galicia;2011;1
Galgos;Galicia;2010;2
Galgos;Galicia;2009;3
Galgos;Galicia;2008;0
Galgos;Galicia;2007;0
Galgos;Galicia;2006;0
Galgos;Galicia;2005;0
Galgos;Madrid, Comunidad de;2024;1.209
Galgos;Madrid, Comunidad de;2023;1.221
Galgos;Madrid, Comunidad de;2022;1.177
Galgos;Madrid, Comunidad de;2021;1.062
Galgos;Madrid, Comunidad de;2020;1.135
Galgos;Madrid, Comunidad de;2019;1.173
Galgos;Madrid, Comunidad de;2018;1.150
Galgos;Madrid, Comunidad de;2017;1.067
Galgos;Madrid, Comunidad de;2016;1.047
Galgos;Madrid, Comunidad de;2015;980
Galgos;Madrid, Comunidad de;2014;929
Galgos;Madrid, Comunidad de;2013;999
Galgos;Madrid, Comunidad de;2012;1.372
Galgos;Madrid, Comunidad de;2011;1.987
Galgos;Madrid, Comunidad de;2010;1.726
Galgos;Madrid, Comunidad de;2009;1.773
Galgos;Madrid, Comunidad de;2008;1.643
Galgos;Madrid, Comunidad de;2007;1.441
Galgos;Madrid, Comunidad de;2006;1.268
Galgos;Madrid, Comunidad de;2005;1.094
Galgos;Murcia, Región de;2024;377
Galgos;Murcia, Región de;2023;204
Galgos;Murcia, Región de;2022;205
Galgos;Murcia, Región de;2021;213
Galgos;Murcia, Región de;2020;188
Galgos;Murcia, Región de;2019;116
Galgos;Murcia, Región de;2018;109
Galgos;Murcia, Región de;2017;92
Galgos;Murcia, Región de;2016;61
Galgos;Murcia, Región de;2015;11
Galgos;Murcia, Región de;2014;148
Galgos;Murcia, Región de;2013;182
Galgos;Murcia, Región de;2012;339
Galgos;Murcia, Región de;2011;391
Galgos;Murcia, Región de;2010;261
Galgos;Murcia, Región de;2009;197
Galgos;Murcia, Región de;2008;128
Galgos;Murcia, Región de;2007;123
Galgos;Murcia, Región de;2006;57
Galgos;Murcia, Región de;2005;28
Galgos;Navarra, Comunidad Foral de;2024;0
Galgos;Navarra, Comunidad Foral de;2023;0
Galgos;Navarra, Comunidad Foral de;2022;0
Galgos;Navarra, Comunidad Foral de;2021;0
Galgos;Navarra, Comunidad Foral de;2020;26
Galgos;Navarra, Comunidad Foral de;2019;28
Galgos;Navarra, Comunidad Foral de;2018;28
Galgos;Navarra, Comunidad Foral de;2017;29
Galgos;Navarra, Comunidad Foral de;2016;27
Galgos;Navarra, Comunidad Foral de;2015;24
Galgos;Navarra, Comunidad Foral de;2014;20
Galgos;Navarra, Comunidad Foral de;2013;23
Galgos;Navarra, Comunidad Foral de;2012;25
Galgos;Navarra, Comunidad Foral de;2011;30
Galgos;Navarra, Comunidad Foral de;2010;27
Galgos;Navarra, Comunidad Foral de;2009;31
Galgos;Navarra, Comunidad Foral de;2008;44
Galgos;Navarra, Comunidad Foral de;2007;43
Galgos;Navarra, Comunidad Foral de;2006;42
Galgos;Navarra, Comunidad Foral de;2005;41
Galgos;País Vasco;2024;0
Galgos;País Vasco;2023;0
Galgos;País Vasco;2022;0
Galgos;País Vasco;2021;0
Galgos;País Vasco;2020;0
Galgos;País Vasco;2019;0
Galgos;País Vasco;2018;0
Galgos;País Vasco;2017;0
Galgos;País Vasco;2016;0
Galgos;País Vasco;2015;0
Galgos;País Vasco;2014;0
Galgos;País Vasco;2013;0
Galgos;País Vasco;2012;0
Galgos;País Vasco;2011;8
Galgos;País Vasco;2010;13
Galgos;País Vasco;2009;12
Galgos;País Vasco;2008;0
Galgos;País Vasco;2007;0
Galgos;País Vasco;2006;0
Galgos;País Vasco;2005;0
Galgos;Rioja, La;2024;0
Galgos;Rioja, La;2023;0
Galgos;Rioja, La;2022;0
Galgos;Rioja, La;2021;0
Galgos;Rioja, La;2020;22
Galgos;Rioja, La;2019;23
Galgos;Rioja, La;2018;23
Galgos;Rioja, La;2017;22
Galgos;Rioja, La;2016;21
Galgos;Rioja, La;2015;21
Galgos;Rioja, La;2014;20
Galgos;Rioja, La;2013;21
Galgos;Rioja, La;2012;23
Galgos;Rioja, La;2011;40
Galgos;Rioja, La;2010;25
Galgos;Rioja, La;2009;26
Galgos;Rioja, La;2008;24
Galgos;Rioja, La;2007;25
Galgos;Rioja, La;2006;22
Galgos;Rioja, La;2005;22
Galgos;Ceuta;2024;0
Galgos;Ceuta;2023;0
Galgos;Ceuta;2022;0
Galgos;Ceuta;2021;0
Galgos;Ceuta;2020;0
Galgos;Ceuta;2019;0
Galgos;Ceuta;2018;0
Galgos;Ceuta;2017;0
Galgos;Ceuta;2016;0
Galgos;Ceuta;2015;0
Galgos;Ceuta;2014;0
Galgos;Ceuta;2013;0
Galgos;Ceuta;2012;0
Galgos;Ceuta;2011;0
Galgos;Ceuta;2010;0
Galgos;Ceuta;2009;0
Galgos;Ceuta;2008;0
Galgos;Ceuta;2007;0
Galgos;Ceuta;2006;0
Galgos;Ceuta;2005;0
Galgos;Melilla;2024;0
Galgos;Melilla;2023;0
Galgos;Melilla;2022;0
Galgos;Melilla;2021;0
Galgos;Melilla;2020;0
Galgos;Melilla;2019;0
Galgos;Melilla;2018;0
Galgos;Melilla;2017;0
Galgos;Melilla;2016;0
Galgos;Melilla;2015;0
Galgos;Melilla;2014;0
Galgos;Melilla;2013;0
Galgos;Melilla;2012;0
Galgos;Melilla;2011;0
Galgos;Melilla;2010;0
Galgos;Melilla;2009;0
Galgos;Melilla;2008;0
Galgos;Melilla;2007;0
Galgos;Melilla;2006;0
Galgos;Melilla;2005;0
Galgos;Sin territorializar;2024;137
Galgos;Sin territorializar;2023;153
Galgos;Sin territorializar;2022;152
Galgos;Sin territorializar;2021;155
Galgos;Sin territorializar;2020;0
Galgos;Sin territorializar;2019;0
Galgos;Sin territorializar;2018;135
Galgos;Sin territorializar;2017;0
Galgos;Sin territorializar;2016;0
Galgos;Sin territorializar;2015;0
Galgos;Sin territorializar;2014;889
Galgos;Sin territorializar;2013;878
Galgos;Sin territorializar;2012;0
Galgos;Sin territorializar;2011;0
Galgos;Sin territorializar;2010;0
Galgos;Sin territorializar;2009;0
Galgos;Sin territorializar;2008;0
Galgos;Sin territorializar;2007;0
Galgos;Sin territorializar;2006;0
Galgos;Sin territorializar;2005;0
Gimnasia;TOTAL;2024;50.282
Gimnasia;TOTAL;2023;47.579
Gimnasia;TOTAL;2022;46.881
Gimnasia;TOTAL;2021;47.320
Gimnasia;TOTAL;2020;49.811
Gimnasia;TOTAL;2019;45.884
Gimnasia;TOTAL;2018;49.719
Gimnasia;TOTAL;2017;45.863
Gimnasia;TOTAL;2016;40.066
Gimnasia;TOTAL;2015;38.842
Gimnasia;TOTAL;2014;24.032
Gimnasia;TOTAL;2013;30.822
Gimnasia;TOTAL;2012;29.639
Gimnasia;TOTAL;2011;23.917
Gimnasia;TOTAL;2010;25.219
Gimnasia;TOTAL;2009;18.593
Gimnasia;TOTAL;2008;9.777
Gimnasia;TOTAL;2007;9.276
Gimnasia;TOTAL;2006;11.404
Gimnasia;TOTAL;2005;12.149
Gimnasia;Andalucía;2024;8.268
Gimnasia;Andalucía;2023;8.139
Gimnasia;Andalucía;2022;8.130
Gimnasia;Andalucía;2021;7.700
Gimnasia;Andalucía;2020;8.316
Gimnasia;Andalucía;2019;1.303
Gimnasia;Andalucía;2018;6.619
Gimnasia;Andalucía;2017;4.974
Gimnasia;Andalucía;2016;4.624
Gimnasia;Andalucía;2015;4.036
Gimnasia;Andalucía;2014;3.621
Gimnasia;Andalucía;2013;5.035
Gimnasia;Andalucía;2012;3.761
Gimnasia;Andalucía;2011;3.973
Gimnasia;Andalucía;2010;3.465
Gimnasia;Andalucía;2009;2.388
Gimnasia;Andalucía;2008;1.044
Gimnasia;Andalucía;2007;873
Gimnasia;Andalucía;2006;2.086
Gimnasia;Andalucía;2005;2.136
Gimnasia;Aragón;2024;1.350
Gimnasia;Aragón;2023;1.319
Gimnasia;Aragón;2022;1.408
Gimnasia;Aragón;2021;1.134
Gimnasia;Aragón;2020;1.652
Gimnasia;Aragón;2019;1.614
Gimnasia;Aragón;2018;1.594
Gimnasia;Aragón;2017;1.451
Gimnasia;Aragón;2016;1.145
Gimnasia;Aragón;2015;995
Gimnasia;Aragón;2014;1.991
Gimnasia;Aragón;2013;2.072
Gimnasia;Aragón;2012;947
Gimnasia;Aragón;2011;873
Gimnasia;Aragón;2010;868
Gimnasia;Aragón;2009;941
Gimnasia;Aragón;2008;775
Gimnasia;Aragón;2007;742
Gimnasia;Aragón;2006;609
Gimnasia;Aragón;2005;602
Gimnasia;Asturias, Principado de;2024;480
Gimnasia;Asturias, Principado de;2023;475
Gimnasia;Asturias, Principado de;2022;492
Gimnasia;Asturias, Principado de;2021;498
Gimnasia;Asturias, Principado de;2020;562
Gimnasia;Asturias, Principado de;2019;614
Gimnasia;Asturias, Principado de;2018;584
Gimnasia;Asturias, Principado de;2017;499
Gimnasia;Asturias, Principado de;2016;398
Gimnasia;Asturias, Principado de;2015;499
Gimnasia;Asturias, Principado de;2014;434
Gimnasia;Asturias, Principado de;2013;415
Gimnasia;Asturias, Principado de;2012;377
Gimnasia;Asturias, Principado de;2011;428
Gimnasia;Asturias, Principado de;2010;445
Gimnasia;Asturias, Principado de;2009;877
Gimnasia;Asturias, Principado de;2008;393
Gimnasia;Asturias, Principado de;2007;397
Gimnasia;Asturias, Principado de;2006;424
Gimnasia;Asturias, Principado de;2005;438
Gimnasia;Balears, Illes;2024;3.253
Gimnasia;Balears, Illes;2023;2.817
Gimnasia;Balears, Illes;2022;2.908
Gimnasia;Balears, Illes;2021;2.992
Gimnasia;Balears, Illes;2020;2.439
Gimnasia;Balears, Illes;2019;3.384
Gimnasia;Balears, Illes;2018;2.595
Gimnasia;Balears, Illes;2017;2.536
Gimnasia;Balears, Illes;2016;2.353
Gimnasia;Balears, Illes;2015;2.321
Gimnasia;Balears, Illes;2014;687
Gimnasia;Balears, Illes;2013;1.572
Gimnasia;Balears, Illes;2012;1.677
Gimnasia;Balears, Illes;2011;457
Gimnasia;Balears, Illes;2010;500
Gimnasia;Balears, Illes;2009;454
Gimnasia;Balears, Illes;2008;362
Gimnasia;Balears, Illes;2007;284
Gimnasia;Balears, Illes;2006;285
Gimnasia;Balears, Illes;2005;376
Gimnasia;Canarias;2024;2.022
Gimnasia;Canarias;2023;1.820
Gimnasia;Canarias;2022;1.816
Gimnasia;Canarias;2021;1.472
Gimnasia;Canarias;2020;2.070
Gimnasia;Canarias;2019;4.025
Gimnasia;Canarias;2018;3.560
Gimnasia;Canarias;2017;3.514
Gimnasia;Canarias;2016;3.148
Gimnasia;Canarias;2015;2.894
Gimnasia;Canarias;2014;2.419
Gimnasia;Canarias;2013;1.826
Gimnasia;Canarias;2012;2.606
Gimnasia;Canarias;2011;858
Gimnasia;Canarias;2010;870
Gimnasia;Canarias;2009;725
Gimnasia;Canarias;2008;670
Gimnasia;Canarias;2007;637
Gimnasia;Canarias;2006;597
Gimnasia;Canarias;2005;562
Gimnasia;Cantabria;2024;210
Gimnasia;Cantabria;2023;209
Gimnasia;Cantabria;2022;180
Gimnasia;Cantabria;2021;174
Gimnasia;Cantabria;2020;357
Gimnasia;Cantabria;2019;518
Gimnasia;Cantabria;2018;218
Gimnasia;Cantabria;2017;396
Gimnasia;Cantabria;2016;112
Gimnasia;Cantabria;2015;597
Gimnasia;Cantabria;2014;86
Gimnasia;Cantabria;2013;670
Gimnasia;Cantabria;2012;896
Gimnasia;Cantabria;2011;88
Gimnasia;Cantabria;2010;880
Gimnasia;Cantabria;2009;214
Gimnasia;Cantabria;2008;65
Gimnasia;Cantabria;2007;50
Gimnasia;Cantabria;2006;57
Gimnasia;Cantabria;2005;50
Gimnasia;Castilla y León;2024;1.953
Gimnasia;Castilla y León;2023;1.855
Gimnasia;Castilla y León;2022;1.852
Gimnasia;Castilla y León;2021;2.036
Gimnasia;Castilla y León;2020;1.678
Gimnasia;Castilla y León;2019;3.608
Gimnasia;Castilla y León;2018;1.805
Gimnasia;Castilla y León;2017;1.712
Gimnasia;Castilla y León;2016;1.481
Gimnasia;Castilla y León;2015;1.491
Gimnasia;Castilla y León;2014;1.328
Gimnasia;Castilla y León;2013;1.458
Gimnasia;Castilla y León;2012;1.567
Gimnasia;Castilla y León;2011;1.579
Gimnasia;Castilla y León;2010;1.543
Gimnasia;Castilla y León;2009;1.338
Gimnasia;Castilla y León;2008;330
Gimnasia;Castilla y León;2007;289
Gimnasia;Castilla y León;2006;348
Gimnasia;Castilla y León;2005;372
Gimnasia;Castilla-La Mancha;2024;1.788
Gimnasia;Castilla-La Mancha;2023;1.770
Gimnasia;Castilla-La Mancha;2022;1.690
Gimnasia;Castilla-La Mancha;2021;2.188
Gimnasia;Castilla-La Mancha;2020;1.994
Gimnasia;Castilla-La Mancha;2019;605
Gimnasia;Castilla-La Mancha;2018;1.792
Gimnasia;Castilla-La Mancha;2017;2.411
Gimnasia;Castilla-La Mancha;2016;1.367
Gimnasia;Castilla-La Mancha;2015;1.752
Gimnasia;Castilla-La Mancha;2014;721
Gimnasia;Castilla-La Mancha;2013;983
Gimnasia;Castilla-La Mancha;2012;1.045
Gimnasia;Castilla-La Mancha;2011;662
Gimnasia;Castilla-La Mancha;2010;628
Gimnasia;Castilla-La Mancha;2009;784
Gimnasia;Castilla-La Mancha;2008;471
Gimnasia;Castilla-La Mancha;2007;362
Gimnasia;Castilla-La Mancha;2006;349
Gimnasia;Castilla-La Mancha;2005;384
Gimnasia;Cataluña;2024;7.610
Gimnasia;Cataluña;2023;7.251
Gimnasia;Cataluña;2022;7.244
Gimnasia;Cataluña;2021;6.556
Gimnasia;Cataluña;2020;7.253
Gimnasia;Cataluña;2019;8.496
Gimnasia;Cataluña;2018;8.984
Gimnasia;Cataluña;2017;8.836
Gimnasia;Cataluña;2016;8.214
Gimnasia;Cataluña;2015;7.531
Gimnasia;Cataluña;2014;1.090
Gimnasia;Cataluña;2013;5.422
Gimnasia;Cataluña;2012;5.869
Gimnasia;Cataluña;2011;5.450
Gimnasia;Cataluña;2010;5.644
Gimnasia;Cataluña;2009;612
Gimnasia;Cataluña;2008;563
Gimnasia;Cataluña;2007;553
Gimnasia;Cataluña;2006;497
Gimnasia;Cataluña;2005;1.902
Gimnasia;Comunitat Valenciana;2024;4.914
Gimnasia;Comunitat Valenciana;2023;4.744
Gimnasia;Comunitat Valenciana;2022;4.191
Gimnasia;Comunitat Valenciana;2021;3.887
Gimnasia;Comunitat Valenciana;2020;3.251
Gimnasia;Comunitat Valenciana;2019;3.625
Gimnasia;Comunitat Valenciana;2018;3.486
Gimnasia;Comunitat Valenciana;2017;2.820
Gimnasia;Comunitat Valenciana;2016;2.395
Gimnasia;Comunitat Valenciana;2015;2.545
Gimnasia;Comunitat Valenciana;2014;1.224
Gimnasia;Comunitat Valenciana;2013;2.182
Gimnasia;Comunitat Valenciana;2012;1.867
Gimnasia;Comunitat Valenciana;2011;1.103
Gimnasia;Comunitat Valenciana;2010;1.794
Gimnasia;Comunitat Valenciana;2009;1.658
Gimnasia;Comunitat Valenciana;2008;1.268
Gimnasia;Comunitat Valenciana;2007;1.186
Gimnasia;Comunitat Valenciana;2006;1.530
Gimnasia;Comunitat Valenciana;2005;1.435
Gimnasia;Extremadura;2024;588
Gimnasia;Extremadura;2023;580
Gimnasia;Extremadura;2022;411
Gimnasia;Extremadura;2021;403
Gimnasia;Extremadura;2020;1.296
Gimnasia;Extremadura;2019;1.276
Gimnasia;Extremadura;2018;1.008
Gimnasia;Extremadura;2017;1.001
Gimnasia;Extremadura;2016;631
Gimnasia;Extremadura;2015;859
Gimnasia;Extremadura;2014;878
Gimnasia;Extremadura;2013;785
Gimnasia;Extremadura;2012;862
Gimnasia;Extremadura;2011;760
Gimnasia;Extremadura;2010;1.085
Gimnasia;Extremadura;2009;1.218
Gimnasia;Extremadura;2008;125
Gimnasia;Extremadura;2007;170
Gimnasia;Extremadura;2006;139
Gimnasia;Extremadura;2005;139
Gimnasia;Galicia;2024;2.575
Gimnasia;Galicia;2023;2.588
Gimnasia;Galicia;2022;2.425
Gimnasia;Galicia;2021;5.109
Gimnasia;Galicia;2020;5.644
Gimnasia;Galicia;2019;5.257
Gimnasia;Galicia;2018;4.972
Gimnasia;Galicia;2017;4.561
Gimnasia;Galicia;2016;3.978
Gimnasia;Galicia;2015;3.783
Gimnasia;Galicia;2014;625
Gimnasia;Galicia;2013;554
Gimnasia;Galicia;2012;1.042
Gimnasia;Galicia;2011;907
Gimnasia;Galicia;2010;522
Gimnasia;Galicia;2009;913
Gimnasia;Galicia;2008;447
Gimnasia;Galicia;2007;463
Gimnasia;Galicia;2006;1.261
Gimnasia;Galicia;2005;734
Gimnasia;Madrid, Comunidad de;2024;9.312
Gimnasia;Madrid, Comunidad de;2023;8.255
Gimnasia;Madrid, Comunidad de;2022;8.587
Gimnasia;Madrid, Comunidad de;2021;7.654
Gimnasia;Madrid, Comunidad de;2020;8.356
Gimnasia;Madrid, Comunidad de;2019;6.394
Gimnasia;Madrid, Comunidad de;2018;7.609
Gimnasia;Madrid, Comunidad de;2017;6.638
Gimnasia;Madrid, Comunidad de;2016;6.224
Gimnasia;Madrid, Comunidad de;2015;5.691
Gimnasia;Madrid, Comunidad de;2014;4.843
Gimnasia;Madrid, Comunidad de;2013;4.132
Gimnasia;Madrid, Comunidad de;2012;3.425
Gimnasia;Madrid, Comunidad de;2011;3.852
Gimnasia;Madrid, Comunidad de;2010;3.895
Gimnasia;Madrid, Comunidad de;2009;3.412
Gimnasia;Madrid, Comunidad de;2008;2.416
Gimnasia;Madrid, Comunidad de;2007;2.559
Gimnasia;Madrid, Comunidad de;2006;2.227
Gimnasia;Madrid, Comunidad de;2005;1.539
Gimnasia;Murcia, Región de;2024;1.519
Gimnasia;Murcia, Región de;2023;1.531
Gimnasia;Murcia, Región de;2022;1.529
Gimnasia;Murcia, Región de;2021;1.359
Gimnasia;Murcia, Región de;2020;1.593
Gimnasia;Murcia, Región de;2019;1.303
Gimnasia;Murcia, Región de;2018;1.225
Gimnasia;Murcia, Región de;2017;1.352
Gimnasia;Murcia, Región de;2016;1.232
Gimnasia;Murcia, Región de;2015;961
Gimnasia;Murcia, Región de;2014;877
Gimnasia;Murcia, Región de;2013;599
Gimnasia;Murcia, Región de;2012;677
Gimnasia;Murcia, Región de;2011;684
Gimnasia;Murcia, Región de;2010;629
Gimnasia;Murcia, Región de;2009;771
Gimnasia;Murcia, Región de;2008;268
Gimnasia;Murcia, Región de;2007;227
Gimnasia;Murcia, Región de;2006;565
Gimnasia;Murcia, Región de;2005;490
Gimnasia;Navarra, Comunidad Foral de;2024;1.933
Gimnasia;Navarra, Comunidad Foral de;2023;1.914
Gimnasia;Navarra, Comunidad Foral de;2022;1.802
Gimnasia;Navarra, Comunidad Foral de;2021;1.712
Gimnasia;Navarra, Comunidad Foral de;2020;1.550
Gimnasia;Navarra, Comunidad Foral de;2019;1.609
Gimnasia;Navarra, Comunidad Foral de;2018;1.606
Gimnasia;Navarra, Comunidad Foral de;2017;1.396
Gimnasia;Navarra, Comunidad Foral de;2016;1.428
Gimnasia;Navarra, Comunidad Foral de;2015;1.255
Gimnasia;Navarra, Comunidad Foral de;2014;1.243
Gimnasia;Navarra, Comunidad Foral de;2013;1.283
Gimnasia;Navarra, Comunidad Foral de;2012;1.187
Gimnasia;Navarra, Comunidad Foral de;2011;1.162
Gimnasia;Navarra, Comunidad Foral de;2010;1.001
Gimnasia;Navarra, Comunidad Foral de;2009;933
Gimnasia;Navarra, Comunidad Foral de;2008;187
Gimnasia;Navarra, Comunidad Foral de;2007;168
Gimnasia;Navarra, Comunidad Foral de;2006;108
Gimnasia;Navarra, Comunidad Foral de;2005;504
Gimnasia;País Vasco;2024;1.379
Gimnasia;País Vasco;2023;1.207
Gimnasia;País Vasco;2022;1.143
Gimnasia;País Vasco;2021;1.451
Gimnasia;País Vasco;2020;1.327
Gimnasia;País Vasco;2019;1.734
Gimnasia;País Vasco;2018;1.650
Gimnasia;País Vasco;2017;1.398
Gimnasia;País Vasco;2016;1.019
Gimnasia;País Vasco;2015;1.333
Gimnasia;País Vasco;2014;1.188
Gimnasia;País Vasco;2013;905
Gimnasia;País Vasco;2012;952
Gimnasia;País Vasco;2011;948
Gimnasia;País Vasco;2010;1.180
Gimnasia;País Vasco;2009;1.106
Gimnasia;País Vasco;2008;290
Gimnasia;País Vasco;2007;244
Gimnasia;País Vasco;2006;224
Gimnasia;País Vasco;2005;305
Gimnasia;Rioja, La;2024;745
Gimnasia;Rioja, La;2023;732
Gimnasia;Rioja, La;2022;734
Gimnasia;Rioja, La;2021;738
Gimnasia;Rioja, La;2020;105
Gimnasia;Rioja, La;2019;102
Gimnasia;Rioja, La;2018;90
Gimnasia;Rioja, La;2017;85
Gimnasia;Rioja, La;2016;85
Gimnasia;Rioja, La;2015;86
Gimnasia;Rioja, La;2014;576
Gimnasia;Rioja, La;2013;727
Gimnasia;Rioja, La;2012;722
Gimnasia;Rioja, La;2011;92
Gimnasia;Rioja, La;2010;88
Gimnasia;Rioja, La;2009;68
Gimnasia;Rioja, La;2008;70
Gimnasia;Rioja, La;2007;51
Gimnasia;Rioja, La;2006;50
Gimnasia;Rioja, La;2005;159
Gimnasia;Ceuta;2024;61
Gimnasia;Ceuta;2023;57
Gimnasia;Ceuta;2022;57
Gimnasia;Ceuta;2021;12
Gimnasia;Ceuta;2020;90
Gimnasia;Ceuta;2019;0
Gimnasia;Ceuta;2018;0
Gimnasia;Ceuta;2017;0
Gimnasia;Ceuta;2016;0
Gimnasia;Ceuta;2015;0
Gimnasia;Ceuta;2014;0
Gimnasia;Ceuta;2013;0
Gimnasia;Ceuta;2012;0
Gimnasia;Ceuta;2011;6
Gimnasia;Ceuta;2010;15
Gimnasia;Ceuta;2009;19
Gimnasia;Ceuta;2008;19
Gimnasia;Ceuta;2007;5
Gimnasia;Ceuta;2006;23
Gimnasia;Ceuta;2005;3
Gimnasia;Melilla;2024;288
Gimnasia;Melilla;2023;281
Gimnasia;Melilla;2022;282
Gimnasia;Melilla;2021;245
Gimnasia;Melilla;2020;278
Gimnasia;Melilla;2019;417
Gimnasia;Melilla;2018;322
Gimnasia;Melilla;2017;283
