Federación;Categoría;Sexo;periodo;Total
TOTAL;Categoría Absoluta;Mujeres;2009;141
TOTAL;Categoría Absoluta;Mujeres;2008;131
TOTAL;Categoría Absoluta;Mujeres;2007;110
TOTAL;Categoría Absoluta;Mujeres;2006;71
TOTAL;Categoría Absoluta;Mujeres;2005;77
TOTAL;Otras categorías;TOTAL;2024;298
TOTAL;Otras categorías;TOTAL;2023;189
TOTAL;Otras categorías;TOTAL;2022;228
TOTAL;Otras categorías;TOTAL;2021;161
TOTAL;Otras categorías;TOTAL;2020;174
TOTAL;Otras categorías;TOTAL;2019;229
TOTAL;Otras categorías;TOTAL;2018;155
TOTAL;Otras categorías;TOTAL;2017;162
TOTAL;Otras categorías;TOTAL;2016;255
TOTAL;Otras categorías;TOTAL;2015;287
TOTAL;Otras categorías;TOTAL;2014;199
TOTAL;Otras categorías;TOTAL;2013;171
TOTAL;Otras categorías;TOTAL;2012;167
TOTAL;Otras categorías;TOTAL;2011;234
TOTAL;Otras categorías;TOTAL;2010;236
TOTAL;Otras categorías;TOTAL;2009;412
TOTAL;Otras categorías;TOTAL;2008;356
TOTAL;Otras categorías;TOTAL;2007;226
TOTAL;Otras categorías;TOTAL;2006;187
TOTAL;Otras categorías;TOTAL;2005;227
TOTAL;Otras categorías;Hombres;2024;167
TOTAL;Otras categorías;Hombres;2023;82
TOTAL;Otras categorías;Hombres;2022;97
TOTAL;Otras categorías;Hombres;2021;67
TOTAL;Otras categorías;Hombres;2020;88
TOTAL;Otras categorías;Hombres;2019;119
TOTAL;Otras categorías;Hombres;2018;68
TOTAL;Otras categorías;Hombres;2017;67
TOTAL;Otras categorías;Hombres;2016;142
TOTAL;Otras categorías;Hombres;2015;154
TOTAL;Otras categorías;Hombres;2014;112
TOTAL;Otras categorías;Hombres;2013;104
TOTAL;Otras categorías;Hombres;2012;109
TOTAL;Otras categorías;Hombres;2011;116
TOTAL;Otras categorías;Hombres;2010;139
TOTAL;Otras categorías;Hombres;2009;212
TOTAL;Otras categorías;Hombres;2008;131
TOTAL;Otras categorías;Hombres;2007;113
TOTAL;Otras categorías;Hombres;2006;112
TOTAL;Otras categorías;Hombres;2005;134
TOTAL;Otras categorías;Mujeres;2024;131
TOTAL;Otras categorías;Mujeres;2023;107
TOTAL;Otras categorías;Mujeres;2022;131
TOTAL;Otras categorías;Mujeres;2021;94
TOTAL;Otras categorías;Mujeres;2020;86
TOTAL;Otras categorías;Mujeres;2019;110
TOTAL;Otras categorías;Mujeres;2018;87
TOTAL;Otras categorías;Mujeres;2017;95
TOTAL;Otras categorías;Mujeres;2016;113
TOTAL;Otras categorías;Mujeres;2015;133
TOTAL;Otras categorías;Mujeres;2014;87
TOTAL;Otras categorías;Mujeres;2013;67
TOTAL;Otras categorías;Mujeres;2012;58
TOTAL;Otras categorías;Mujeres;2011;118
TOTAL;Otras categorías;Mujeres;2010;97
TOTAL;Otras categorías;Mujeres;2009;200
TOTAL;Otras categorías;Mujeres;2008;225
TOTAL;Otras categorías;Mujeres;2007;113
TOTAL;Otras categorías;Mujeres;2006;75
TOTAL;Otras categorías;Mujeres;2005;93
Actividades Subacuáticas;TOTAL;TOTAL;2024;47
Actividades Subacuáticas;TOTAL;TOTAL;2023;32
Actividades Subacuáticas;TOTAL;TOTAL;2022;25
Actividades Subacuáticas;TOTAL;TOTAL;2021;36
Actividades Subacuáticas;TOTAL;TOTAL;2020;0
Actividades Subacuáticas;TOTAL;TOTAL;2019;36
Actividades Subacuáticas;TOTAL;TOTAL;2018;34
Actividades Subacuáticas;TOTAL;TOTAL;2017;47
Actividades Subacuáticas;TOTAL;TOTAL;2016;75
Actividades Subacuáticas;TOTAL;TOTAL;2015;73
Actividades Subacuáticas;TOTAL;TOTAL;2014;46
Actividades Subacuáticas;TOTAL;TOTAL;2013;60
Actividades Subacuáticas;TOTAL;TOTAL;2012;70
Actividades Subacuáticas;TOTAL;TOTAL;2011;37
Actividades Subacuáticas;TOTAL;TOTAL;2010;38
Actividades Subacuáticas;TOTAL;TOTAL;2009;18
Actividades Subacuáticas;TOTAL;TOTAL;2008;45
Actividades Subacuáticas;TOTAL;TOTAL;2007;32
Actividades Subacuáticas;TOTAL;TOTAL;2006;10
Actividades Subacuáticas;TOTAL;TOTAL;2005;15
Actividades Subacuáticas;TOTAL;Hombres;2024;23
Actividades Subacuáticas;TOTAL;Hombres;2023;20
Actividades Subacuáticas;TOTAL;Hombres;2022;9
Actividades Subacuáticas;TOTAL;Hombres;2021;14
Actividades Subacuáticas;TOTAL;Hombres;2020;0
Actividades Subacuáticas;TOTAL;Hombres;2019;11
Actividades Subacuáticas;TOTAL;Hombres;2018;11
Actividades Subacuáticas;TOTAL;Hombres;2017;20
Actividades Subacuáticas;TOTAL;Hombres;2016;35
Actividades Subacuáticas;TOTAL;Hombres;2015;45
Actividades Subacuáticas;TOTAL;Hombres;2014;28
Actividades Subacuáticas;TOTAL;Hombres;2013;41
Actividades Subacuáticas;TOTAL;Hombres;2012;38
Actividades Subacuáticas;TOTAL;Hombres;2011;18
Actividades Subacuáticas;TOTAL;Hombres;2010;21
Actividades Subacuáticas;TOTAL;Hombres;2009;8
Actividades Subacuáticas;TOTAL;Hombres;2008;7
Actividades Subacuáticas;TOTAL;Hombres;2007;17
Actividades Subacuáticas;TOTAL;Hombres;2006;6
Actividades Subacuáticas;TOTAL;Hombres;2005;6
Actividades Subacuáticas;TOTAL;Mujeres;2024;24
Actividades Subacuáticas;TOTAL;Mujeres;2023;12
Actividades Subacuáticas;TOTAL;Mujeres;2022;16
Actividades Subacuáticas;TOTAL;Mujeres;2021;22
Actividades Subacuáticas;TOTAL;Mujeres;2020;0
Actividades Subacuáticas;TOTAL;Mujeres;2019;25
Actividades Subacuáticas;TOTAL;Mujeres;2018;23
Actividades Subacuáticas;TOTAL;Mujeres;2017;27
Actividades Subacuáticas;TOTAL;Mujeres;2016;40
Actividades Subacuáticas;TOTAL;Mujeres;2015;28
Actividades Subacuáticas;TOTAL;Mujeres;2014;18
Actividades Subacuáticas;TOTAL;Mujeres;2013;19
Actividades Subacuáticas;TOTAL;Mujeres;2012;32
Actividades Subacuáticas;TOTAL;Mujeres;2011;19
Actividades Subacuáticas;TOTAL;Mujeres;2010;17
Actividades Subacuáticas;TOTAL;Mujeres;2009;10
Actividades Subacuáticas;TOTAL;Mujeres;2008;38
Actividades Subacuáticas;TOTAL;Mujeres;2007;15
Actividades Subacuáticas;TOTAL;Mujeres;2006;4
Actividades Subacuáticas;TOTAL;Mujeres;2005;9
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2024;24
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2023;22
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2022;20
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2021;30
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2020;0
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2019;36
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2018;34
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2017;29
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2016;34
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2015;39
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2014;26
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2013;25
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2012;48
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2011;15
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2010;29
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2009;3
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2008;7
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2007;15
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2006;3
Actividades Subacuáticas;Categoría Absoluta;TOTAL;2005;3
Actividades Subacuáticas;Categoría Absoluta;Hombres;2024;10
Actividades Subacuáticas;Categoría Absoluta;Hombres;2023;15
Actividades Subacuáticas;Categoría Absoluta;Hombres;2022;7
Actividades Subacuáticas;Categoría Absoluta;Hombres;2021;14
Actividades Subacuáticas;Categoría Absoluta;Hombres;2020;0
Actividades Subacuáticas;Categoría Absoluta;Hombres;2019;11
Actividades Subacuáticas;Categoría Absoluta;Hombres;2018;11
Actividades Subacuáticas;Categoría Absoluta;Hombres;2017;13
Actividades Subacuáticas;Categoría Absoluta;Hombres;2016;19
Actividades Subacuáticas;Categoría Absoluta;Hombres;2015;22
Actividades Subacuáticas;Categoría Absoluta;Hombres;2014;14
Actividades Subacuáticas;Categoría Absoluta;Hombres;2013;18
Actividades Subacuáticas;Categoría Absoluta;Hombres;2012;24
Actividades Subacuáticas;Categoría Absoluta;Hombres;2011;10
Actividades Subacuáticas;Categoría Absoluta;Hombres;2010;16
Actividades Subacuáticas;Categoría Absoluta;Hombres;2009;1
Actividades Subacuáticas;Categoría Absoluta;Hombres;2008;5
Actividades Subacuáticas;Categoría Absoluta;Hombres;2007;7
Actividades Subacuáticas;Categoría Absoluta;Hombres;2006;2
Actividades Subacuáticas;Categoría Absoluta;Hombres;2005;2
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2024;14
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2023;7
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2022;13
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2021;16
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2020;0
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2019;25
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2018;23
Actividades Subacuáticas;Categoría Absoluta;Mujeres;2017;16
