Federación;Categoría;Sexo;periodo;Total
Deporte Discapacidad Física;TOTAL;TOTAL;2023;0
Deporte Discapacidad Física;TOTAL;TOTAL;2022;0
Deporte Discapacidad Física;TOTAL;TOTAL;2021;0
Deporte Discapacidad Física;TOTAL;TOTAL;2020;0
Deporte Discapacidad Física;TOTAL;TOTAL;2019;0
Deporte Discapacidad Física;TOTAL;TOTAL;2018;0
Deporte Discapacidad Física;TOTAL;TOTAL;2017;0
Deporte Discapacidad Física;TOTAL;TOTAL;2016;0
Deporte Discapacidad Física;TOTAL;TOTAL;2015;0
Deporte Discapacidad Física;TOTAL;TOTAL;2014;0
Deporte Discapacidad Física;TOTAL;TOTAL;2013;0
Deporte Discapacidad Física;TOTAL;TOTAL;2012;0
Deporte Discapacidad Física;TOTAL;TOTAL;2011;0
Deporte Discapacidad Física;TOTAL;TOTAL;2010;0
Deporte Discapacidad Física;TOTAL;TOTAL;2009;19
Deporte Discapacidad Física;TOTAL;TOTAL;2008;25
Deporte Discapacidad Física;TOTAL;TOTAL;2007;0
Deporte Discapacidad Física;TOTAL;TOTAL;2006;3
Deporte Discapacidad Física;TOTAL;TOTAL;2005;0
Deporte Discapacidad Física;TOTAL;Hombres;2024;0
Deporte Discapacidad Física;TOTAL;Hombres;2023;0
Deporte Discapacidad Física;TOTAL;Hombres;2022;0
Deporte Discapacidad Física;TOTAL;Hombres;2021;0
Deporte Discapacidad Física;TOTAL;Hombres;2020;0
Deporte Discapacidad Física;TOTAL;Hombres;2019;0
Deporte Discapacidad Física;TOTAL;Hombres;2018;0
Deporte Discapacidad Física;TOTAL;Hombres;2017;0
Deporte Discapacidad Física;TOTAL;Hombres;2016;0
Deporte Discapacidad Física;TOTAL;Hombres;2015;0
Deporte Discapacidad Física;TOTAL;Hombres;2014;0
Deporte Discapacidad Física;TOTAL;Hombres;2013;0
Deporte Discapacidad Física;TOTAL;Hombres;2012;0
Deporte Discapacidad Física;TOTAL;Hombres;2011;0
Deporte Discapacidad Física;TOTAL;Hombres;2010;0
Deporte Discapacidad Física;TOTAL;Hombres;2009;15
Deporte Discapacidad Física;TOTAL;Hombres;2008;15
Deporte Discapacidad Física;TOTAL;Hombres;2007;0
Deporte Discapacidad Física;TOTAL;Hombres;2006;2
Deporte Discapacidad Física;TOTAL;Hombres;2005;0
Deporte Discapacidad Física;TOTAL;Mujeres;2024;0
Deporte Discapacidad Física;TOTAL;Mujeres;2023;0
Deporte Discapacidad Física;TOTAL;Mujeres;2022;0
Deporte Discapacidad Física;TOTAL;Mujeres;2021;0
Deporte Discapacidad Física;TOTAL;Mujeres;2020;0
Deporte Discapacidad Física;TOTAL;Mujeres;2019;0
Deporte Discapacidad Física;TOTAL;Mujeres;2018;0
Deporte Discapacidad Física;TOTAL;Mujeres;2017;0
Deporte Discapacidad Física;TOTAL;Mujeres;2016;0
Deporte Discapacidad Física;TOTAL;Mujeres;2015;0
Deporte Discapacidad Física;TOTAL;Mujeres;2014;0
Deporte Discapacidad Física;TOTAL;Mujeres;2013;0
Deporte Discapacidad Física;TOTAL;Mujeres;2012;0
Deporte Discapacidad Física;TOTAL;Mujeres;2011;0
Deporte Discapacidad Física;TOTAL;Mujeres;2010;0
Deporte Discapacidad Física;TOTAL;Mujeres;2009;4
Deporte Discapacidad Física;TOTAL;Mujeres;2008;10
Deporte Discapacidad Física;TOTAL;Mujeres;2007;0
Deporte Discapacidad Física;TOTAL;Mujeres;2006;1
Deporte Discapacidad Física;TOTAL;Mujeres;2005;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2024;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2023;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2022;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2021;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2020;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2019;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2018;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2017;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2016;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2015;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2014;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2013;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2012;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2011;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2010;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2009;19
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2008;25
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2007;0
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2006;3
Deporte Discapacidad Física;Categoría Absoluta;TOTAL;2005;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2024;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2023;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2022;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2021;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2020;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2019;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2018;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2017;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2016;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2015;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2014;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2013;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2012;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2011;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2010;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2009;15
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2008;15
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2007;0
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2006;2
Deporte Discapacidad Física;Categoría Absoluta;Hombres;2005;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2024;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2023;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2022;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2021;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2020;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2019;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2018;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2017;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2016;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2015;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2014;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2013;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2012;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2011;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2010;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2009;4
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2008;10
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2007;0
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2006;1
Deporte Discapacidad Física;Categoría Absoluta;Mujeres;2005;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2024;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2023;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2022;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2021;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2020;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2019;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2018;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2017;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2016;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2015;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2014;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2013;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2012;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2011;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2010;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2009;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2008;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2007;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2006;0
Deporte Discapacidad Física;Otras categorías;TOTAL;2005;0
Deporte Discapacidad Física;Otras categorías;Hombres;2024;0
Deporte Discapacidad Física;Otras categorías;Hombres;2023;0
Deporte Discapacidad Física;Otras categorías;Hombres;2022;0
Deporte Discapacidad Física;Otras categorías;Hombres;2021;0
Deporte Discapacidad Física;Otras categorías;Hombres;2020;0
Deporte Discapacidad Física;Otras categorías;Hombres;2019;0
Deporte Discapacidad Física;Otras categorías;Hombres;2018;0
Deporte Discapacidad Física;Otras categorías;Hombres;2017;0
Deporte Discapacidad Física;Otras categorías;Hombres;2016;0
Deporte Discapacidad Física;Otras categorías;Hombres;2015;0
Deporte Discapacidad Física;Otras categorías;Hombres;2014;0
Deporte Discapacidad Física;Otras categorías;Hombres;2013;0
Deporte Discapacidad Física;Otras categorías;Hombres;2012;0
Deporte Discapacidad Física;Otras categorías;Hombres;2011;0
Deporte Discapacidad Física;Otras categorías;Hombres;2010;0
Deporte Discapacidad Física;Otras categorías;Hombres;2009;0
Deporte Discapacidad Física;Otras categorías;Hombres;2008;0
Deporte Discapacidad Física;Otras categorías;Hombres;2007;0
Deporte Discapacidad Física;Otras categorías;Hombres;2006;0
Deporte Discapacidad Física;Otras categorías;Hombres;2005;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2024;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2023;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2022;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2021;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2020;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2019;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2018;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2017;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2016;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2015;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2014;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2013;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2012;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2011;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2010;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2009;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2008;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2007;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2006;0
Deporte Discapacidad Física;Otras categorías;Mujeres;2005;0
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2024;36
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2023;43
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2022;83
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2021;73
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2020;36
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2019;118
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2018;91
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2017;90
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2016;63
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2015;45
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2014;58
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2013;16
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2012;14
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2011;14
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2010;5
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2009;17
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2008;13
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2007;20
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2006;11
Deporte Discapacidad Intelectual;TOTAL;TOTAL;2005;5
Deporte Discapacidad Intelectual;TOTAL;Hombres;2024;31
Deporte Discapacidad Intelectual;TOTAL;Hombres;2023;28
Deporte Discapacidad Intelectual;TOTAL;Hombres;2022;50
Deporte Discapacidad Intelectual;TOTAL;Hombres;2021;44
Deporte Discapacidad Intelectual;TOTAL;Hombres;2020;19
Deporte Discapacidad Intelectual;TOTAL;Hombres;2019;85
Deporte Discapacidad Intelectual;TOTAL;Hombres;2018;64
Deporte Discapacidad Intelectual;TOTAL;Hombres;2017;55
Deporte Discapacidad Intelectual;TOTAL;Hombres;2016;40
Deporte Discapacidad Intelectual;TOTAL;Hombres;2015;23
Deporte Discapacidad Intelectual;TOTAL;Hombres;2014;35
Deporte Discapacidad Intelectual;TOTAL;Hombres;2013;10
Deporte Discapacidad Intelectual;TOTAL;Hombres;2012;9
Deporte Discapacidad Intelectual;TOTAL;Hombres;2011;8
Deporte Discapacidad Intelectual;TOTAL;Hombres;2010;1
Deporte Discapacidad Intelectual;TOTAL;Hombres;2009;10
Deporte Discapacidad Intelectual;TOTAL;Hombres;2008;8
Deporte Discapacidad Intelectual;TOTAL;Hombres;2007;9
Deporte Discapacidad Intelectual;TOTAL;Hombres;2006;6
Deporte Discapacidad Intelectual;TOTAL;Hombres;2005;1
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2024;5
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2023;15
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2022;33
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2021;29
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2020;17
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2019;33
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2018;27
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2017;35
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2016;23
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2015;22
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2014;23
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2013;6
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2012;5
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2011;6
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2010;4
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2009;7
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2008;5
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2007;11
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2006;5
Deporte Discapacidad Intelectual;TOTAL;Mujeres;2005;4
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2024;29
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2023;43
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2022;78
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2021;66
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2020;21
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2019;107
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2018;70
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2017;90
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2016;35
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2015;45
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2014;58
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2013;16
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2012;14
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2011;14
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2010;5
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2009;17
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2008;13
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2007;20
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2006;11
Deporte Discapacidad Intelectual;Categoría Absoluta;TOTAL;2005;5
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2024;25
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2023;28
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2022;48
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2021;42
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2020;13
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2019;75
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2018;45
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2017;55
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2016;25
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2015;23
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2014;35
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2013;10
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2012;9
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2011;8
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2010;1
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2009;10
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2008;8
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2007;9
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2006;6
Deporte Discapacidad Intelectual;Categoría Absoluta;Hombres;2005;1
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2024;4
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2023;15
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2022;30
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2021;24
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2020;8
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2019;32
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2018;25
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2017;35
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2016;10
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2015;22
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2014;23
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2013;6
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2012;5
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2011;6
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2010;4
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2009;7
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2008;5
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2007;11
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2006;5
Deporte Discapacidad Intelectual;Categoría Absoluta;Mujeres;2005;4
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2024;7
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2023;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2022;5
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2021;7
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2020;15
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2019;11
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2018;21
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2017;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2016;28
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2015;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2014;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2013;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2012;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2011;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2010;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2009;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2008;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2007;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2006;0
Deporte Discapacidad Intelectual;Otras categorías;TOTAL;2005;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2024;6
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2023;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2022;2
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2021;2
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2020;6
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2019;10
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2018;19
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2017;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2016;15
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2015;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2014;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2013;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2012;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2011;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2010;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2009;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2008;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2007;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2006;0
Deporte Discapacidad Intelectual;Otras categorías;Hombres;2005;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2024;1
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2023;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2022;3
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2021;5
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2020;9
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2019;1
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2018;2
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2017;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2016;13
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2015;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2014;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2013;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2012;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2011;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2010;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2009;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2008;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2007;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2006;0
Deporte Discapacidad Intelectual;Otras categorías;Mujeres;2005;0
Deporte para Ciegos;TOTAL;TOTAL;2024;74
Deporte para Ciegos;TOTAL;TOTAL;2023;66
Deporte para Ciegos;TOTAL;TOTAL;2022;81
Deporte para Ciegos;TOTAL;TOTAL;2021;87
Deporte para Ciegos;TOTAL;TOTAL;2020;34
Deporte para Ciegos;TOTAL;TOTAL;2019;36
Deporte para Ciegos;TOTAL;TOTAL;2018;79
Deporte para Ciegos;TOTAL;TOTAL;2017;48
Deporte para Ciegos;TOTAL;TOTAL;2016;74
Deporte para Ciegos;TOTAL;TOTAL;2015;97
Deporte para Ciegos;TOTAL;TOTAL;2014;52
Deporte para Ciegos;TOTAL;TOTAL;2013;36
Deporte para Ciegos;TOTAL;TOTAL;2012;47
Deporte para Ciegos;TOTAL;TOTAL;2011;21
Deporte para Ciegos;TOTAL;TOTAL;2010;25
Deporte para Ciegos;TOTAL;TOTAL;2009;77
Deporte para Ciegos;TOTAL;TOTAL;2008;107
Deporte para Ciegos;TOTAL;TOTAL;2007;118
Deporte para Ciegos;TOTAL;TOTAL;2006;38
Deporte para Ciegos;TOTAL;TOTAL;2005;28
Deporte para Ciegos;TOTAL;Hombres;2024;38
Deporte para Ciegos;TOTAL;Hombres;2023;48
Deporte para Ciegos;TOTAL;Hombres;2022;49
Deporte para Ciegos;TOTAL;Hombres;2021;42
Deporte para Ciegos;TOTAL;Hombres;2020;20
Deporte para Ciegos;TOTAL;Hombres;2019;22
Deporte para Ciegos;TOTAL;Hombres;2018;25
Deporte para Ciegos;TOTAL;Hombres;2017;17
Deporte para Ciegos;TOTAL;Hombres;2016;40
Deporte para Ciegos;TOTAL;Hombres;2015;41
Deporte para Ciegos;TOTAL;Hombres;2014;21
Deporte para Ciegos;TOTAL;Hombres;2013;18
Deporte para Ciegos;TOTAL;Hombres;2012;33
Deporte para Ciegos;TOTAL;Hombres;2011;13
Deporte para Ciegos;TOTAL;Hombres;2010;21
Deporte para Ciegos;TOTAL;Hombres;2009;55
Deporte para Ciegos;TOTAL;Hombres;2008;72
Deporte para Ciegos;TOTAL;Hombres;2007;94
Deporte para Ciegos;TOTAL;Hombres;2006;22
Deporte para Ciegos;TOTAL;Hombres;2005;25
Deporte para Ciegos;TOTAL;Mujeres;2024;36
Deporte para Ciegos;TOTAL;Mujeres;2023;18
Deporte para Ciegos;TOTAL;Mujeres;2022;32
Deporte para Ciegos;TOTAL;Mujeres;2021;45
Deporte para Ciegos;TOTAL;Mujeres;2020;14
Deporte para Ciegos;TOTAL;Mujeres;2019;14
Deporte para Ciegos;TOTAL;Mujeres;2018;54
Deporte para Ciegos;TOTAL;Mujeres;2017;31
Deporte para Ciegos;TOTAL;Mujeres;2016;34
Deporte para Ciegos;TOTAL;Mujeres;2015;56
Deporte para Ciegos;TOTAL;Mujeres;2014;31
Deporte para Ciegos;TOTAL;Mujeres;2013;18
Deporte para Ciegos;TOTAL;Mujeres;2012;14
Deporte para Ciegos;TOTAL;Mujeres;2011;8
Deporte para Ciegos;TOTAL;Mujeres;2010;4
Deporte para Ciegos;TOTAL;Mujeres;2009;22
Deporte para Ciegos;TOTAL;Mujeres;2008;35
Deporte para Ciegos;TOTAL;Mujeres;2007;24
Deporte para Ciegos;TOTAL;Mujeres;2006;16
Deporte para Ciegos;TOTAL;Mujeres;2005;3
Deporte para Ciegos;Categoría Absoluta;TOTAL;2024;60
Deporte para Ciegos;Categoría Absoluta;TOTAL;2023;55
Deporte para Ciegos;Categoría Absoluta;TOTAL;2022;55
Deporte para Ciegos;Categoría Absoluta;TOTAL;2021;45
Deporte para Ciegos;Categoría Absoluta;TOTAL;2020;19
Deporte para Ciegos;Categoría Absoluta;TOTAL;2019;27
Deporte para Ciegos;Categoría Absoluta;TOTAL;2018;59
Deporte para Ciegos;Categoría Absoluta;TOTAL;2017;20
Deporte para Ciegos;Categoría Absoluta;TOTAL;2016;39
Deporte para Ciegos;Categoría Absoluta;TOTAL;2015;54
Deporte para Ciegos;Categoría Absoluta;TOTAL;2014;32
Deporte para Ciegos;Categoría Absoluta;TOTAL;2013;21
Deporte para Ciegos;Categoría Absoluta;TOTAL;2012;37
Deporte para Ciegos;Categoría Absoluta;TOTAL;2011;20
Deporte para Ciegos;Categoría Absoluta;TOTAL;2010;20
Deporte para Ciegos;Categoría Absoluta;TOTAL;2009;76
