Federación;Competiciones;periodo;Total
TOTAL;Competiciones internacionales: Otros;2021;1.652
TOTAL;Competiciones internacionales: Otros;2020;787
TOTAL;Competiciones internacionales: Otros;2019;2.534
TOTAL;Competiciones internacionales: Otros;2018;2.349
TOTAL;Competiciones internacionales: Otros;2017;2.174
TOTAL;Competiciones internacionales: Otros;2016;1.722
TOTAL;Competiciones internacionales: Otros;2015;1.505
TOTAL;Competiciones internacionales: Otros;2014;1.319
TOTAL;Competiciones internacionales: Otros;2013;1.328
TOTAL;Competiciones internacionales: Otros;2012;1.275
TOTAL;Competiciones internacionales: Otros;2011;1.419
TOTAL;Competiciones internacionales: Otros;2010;1.265
TOTAL;Competiciones internacionales: Otros;2009;1.203
TOTAL;Competiciones internacionales: Otros;2008;1.207
TOTAL;Competiciones internacionales: Otros;2007;1.770
TOTAL;Competiciones internacionales: Otros;2006;1.594
TOTAL;Competiciones internacionales: Otros;2005;1.572
Actividades Subacuáticas;TOTAL;2024;29
Actividades Subacuáticas;TOTAL;2023;35
Actividades Subacuáticas;TOTAL;2022;36
Actividades Subacuáticas;TOTAL;2021;30
Actividades Subacuáticas;TOTAL;2020;3
Actividades Subacuáticas;TOTAL;2019;27
Actividades Subacuáticas;TOTAL;2018;32
Actividades Subacuáticas;TOTAL;2017;32
Actividades Subacuáticas;TOTAL;2016;26
Actividades Subacuáticas;TOTAL;2015;26
Actividades Subacuáticas;TOTAL;2014;24
Actividades Subacuáticas;TOTAL;2013;21
Actividades Subacuáticas;TOTAL;2012;38
Actividades Subacuáticas;TOTAL;2011;46
Actividades Subacuáticas;TOTAL;2010;51
Actividades Subacuáticas;TOTAL;2009;34
Actividades Subacuáticas;TOTAL;2008;38
Actividades Subacuáticas;TOTAL;2007;29
Actividades Subacuáticas;TOTAL;2006;29
Actividades Subacuáticas;TOTAL;2005;30
Actividades Subacuáticas;Competiciones estatales: Total;2024;17
Actividades Subacuáticas;Competiciones estatales: Total;2023;22
Actividades Subacuáticas;Competiciones estatales: Total;2022;25
Actividades Subacuáticas;Competiciones estatales: Total;2021;19
Actividades Subacuáticas;Competiciones estatales: Total;2020;2
Actividades Subacuáticas;Competiciones estatales: Total;2019;17
Actividades Subacuáticas;Competiciones estatales: Total;2018;21
Actividades Subacuáticas;Competiciones estatales: Total;2017;21
Actividades Subacuáticas;Competiciones estatales: Total;2016;15
Actividades Subacuáticas;Competiciones estatales: Total;2015;15
Actividades Subacuáticas;Competiciones estatales: Total;2014;13
Actividades Subacuáticas;Competiciones estatales: Total;2013;13
Actividades Subacuáticas;Competiciones estatales: Total;2012;15
Actividades Subacuáticas;Competiciones estatales: Total;2011;20
Actividades Subacuáticas;Competiciones estatales: Total;2010;24
Actividades Subacuáticas;Competiciones estatales: Total;2009;16
Actividades Subacuáticas;Competiciones estatales: Total;2008;16
Actividades Subacuáticas;Competiciones estatales: Total;2007;16
Actividades Subacuáticas;Competiciones estatales: Total;2006;16
Actividades Subacuáticas;Competiciones estatales: Total;2005;16
Actividades Subacuáticas;Competiciones estatales: Ligas;2024;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2023;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2022;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2021;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2020;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2019;2
Actividades Subacuáticas;Competiciones estatales: Ligas;2018;2
Actividades Subacuáticas;Competiciones estatales: Ligas;2017;2
Actividades Subacuáticas;Competiciones estatales: Ligas;2016;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2015;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2014;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2013;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2012;0
Actividades Subacuáticas;Competiciones estatales: Ligas;2011;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2010;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2009;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2008;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2007;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2006;1
Actividades Subacuáticas;Competiciones estatales: Ligas;2005;1
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2024;15
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2023;16
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2022;17
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2021;14
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2020;2
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2019;14
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2018;18
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2017;18
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2016;13
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2015;13
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2014;12
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2013;12
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2012;11
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2011;15
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2010;17
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2009;11
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2008;11
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2007;11
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2006;11
Actividades Subacuáticas;Competiciones estatales: Campeonatos de España;2005;11
Actividades Subacuáticas;Competiciones estatales: Otros;2024;2
