Federación;Competiciones;periodo;Total
Fútbol;Competiciones estatales: Ligas;2008;13
Fútbol;Competiciones estatales: Ligas;2007;13
Fútbol;Competiciones estatales: Ligas;2006;13
Fútbol;Competiciones estatales: Ligas;2005;13
Fútbol;Competiciones estatales: Campeonatos de España;2024;41
Fútbol;Competiciones estatales: Campeonatos de España;2023;39
Fútbol;Competiciones estatales: Campeonatos de España;2022;30
Fútbol;Competiciones estatales: Campeonatos de España;2021;4
Fútbol;Competiciones estatales: Campeonatos de España;2020;11
Fútbol;Competiciones estatales: Campeonatos de España;2019;0
Fútbol;Competiciones estatales: Campeonatos de España;2018;11
Fútbol;Competiciones estatales: Campeonatos de España;2017;11
Fútbol;Competiciones estatales: Campeonatos de España;2016;11
Fútbol;Competiciones estatales: Campeonatos de España;2015;11
Fútbol;Competiciones estatales: Campeonatos de España;2014;11
Fútbol;Competiciones estatales: Campeonatos de España;2013;11
Fútbol;Competiciones estatales: Campeonatos de España;2012;11
Fútbol;Competiciones estatales: Campeonatos de España;2011;11
Fútbol;Competiciones estatales: Campeonatos de España;2010;12
Fútbol;Competiciones estatales: Campeonatos de España;2009;12
Fútbol;Competiciones estatales: Campeonatos de España;2008;12
Fútbol;Competiciones estatales: Campeonatos de España;2007;12
Fútbol;Competiciones estatales: Campeonatos de España;2006;12
Fútbol;Competiciones estatales: Campeonatos de España;2005;12
Fútbol;Competiciones estatales: Otros;2024;17
Fútbol;Competiciones estatales: Otros;2023;17
Fútbol;Competiciones estatales: Otros;2022;17
Fútbol;Competiciones estatales: Otros;2021;16
Fútbol;Competiciones estatales: Otros;2020;11
Fútbol;Competiciones estatales: Otros;2019;26
Fútbol;Competiciones estatales: Otros;2018;11
Fútbol;Competiciones estatales: Otros;2017;11
Fútbol;Competiciones estatales: Otros;2016;11
Fútbol;Competiciones estatales: Otros;2015;11
Fútbol;Competiciones estatales: Otros;2014;11
Fútbol;Competiciones estatales: Otros;2013;11
Fútbol;Competiciones estatales: Otros;2012;11
Fútbol;Competiciones estatales: Otros;2011;11
Fútbol;Competiciones estatales: Otros;2010;10
Fútbol;Competiciones estatales: Otros;2009;10
Fútbol;Competiciones estatales: Otros;2008;10
Fútbol;Competiciones estatales: Otros;2007;10
Fútbol;Competiciones estatales: Otros;2006;10
Fútbol;Competiciones estatales: Otros;2005;10
Fútbol;Competiciones internacionales: Total;2024;62
Fútbol;Competiciones internacionales: Total;2023;73
Fútbol;Competiciones internacionales: Total;2022;39
Fútbol;Competiciones internacionales: Total;2021;89
Fútbol;Competiciones internacionales: Total;2020;21
Fútbol;Competiciones internacionales: Total;2019;21
Fútbol;Competiciones internacionales: Total;2018;77
Fútbol;Competiciones internacionales: Total;2017;66
Fútbol;Competiciones internacionales: Total;2016;53
Fútbol;Competiciones internacionales: Total;2015;34
Fútbol;Competiciones internacionales: Total;2014;38
Fútbol;Competiciones internacionales: Total;2013;42
Fútbol;Competiciones internacionales: Total;2012;35
Fútbol;Competiciones internacionales: Total;2011;23
Fútbol;Competiciones internacionales: Total;2010;20
Fútbol;Competiciones internacionales: Total;2009;17
Fútbol;Competiciones internacionales: Total;2008;15
Fútbol;Competiciones internacionales: Total;2007;9
Fútbol;Competiciones internacionales: Total;2006;11
Fútbol;Competiciones internacionales: Total;2005;13
Fútbol;Competiciones internacionales: Campeonatos del mundo;2024;4
Fútbol;Competiciones internacionales: Campeonatos del mundo;2023;2
Fútbol;Competiciones internacionales: Campeonatos del mundo;2022;3
Fútbol;Competiciones internacionales: Campeonatos del mundo;2021;2
Fútbol;Competiciones internacionales: Campeonatos del mundo;2020;0
Fútbol;Competiciones internacionales: Campeonatos del mundo;2019;0
Fútbol;Competiciones internacionales: Campeonatos del mundo;2018;3
Fútbol;Competiciones internacionales: Campeonatos del mundo;2017;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2016;3
Fútbol;Competiciones internacionales: Campeonatos del mundo;2015;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2014;2
Fútbol;Competiciones internacionales: Campeonatos del mundo;2013;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2012;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2011;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2010;2
Fútbol;Competiciones internacionales: Campeonatos del mundo;2009;2
Fútbol;Competiciones internacionales: Campeonatos del mundo;2008;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2007;2
Fútbol;Competiciones internacionales: Campeonatos del mundo;2006;1
Fútbol;Competiciones internacionales: Campeonatos del mundo;2005;1
Fútbol;Competiciones internacionales: Campeonatos de Europa;2024;7
Fútbol;Competiciones internacionales: Campeonatos de Europa;2023;7
Fútbol;Competiciones internacionales: Campeonatos de Europa;2022;9
Fútbol;Competiciones internacionales: Campeonatos de Europa;2021;5
Fútbol;Competiciones internacionales: Campeonatos de Europa;2020;1
Fútbol;Competiciones internacionales: Campeonatos de Europa;2019;0
Fútbol;Competiciones internacionales: Campeonatos de Europa;2018;4
Fútbol;Competiciones internacionales: Campeonatos de Europa;2017;4
Fútbol;Competiciones internacionales: Campeonatos de Europa;2016;4
Fútbol;Competiciones internacionales: Campeonatos de Europa;2015;4
Fútbol;Competiciones internacionales: Campeonatos de Europa;2014;2
Fútbol;Competiciones internacionales: Campeonatos de Europa;2013;3
Fútbol;Competiciones internacionales: Campeonatos de Europa;2012;3
Fútbol;Competiciones internacionales: Campeonatos de Europa;2011;2
Fútbol;Competiciones internacionales: Campeonatos de Europa;2010;6
Fútbol;Competiciones internacionales: Campeonatos de Europa;2009;5
Fútbol;Competiciones internacionales: Campeonatos de Europa;2008;5
Fútbol;Competiciones internacionales: Campeonatos de Europa;2007;3
Fútbol;Competiciones internacionales: Campeonatos de Europa;2006;2
Fútbol;Competiciones internacionales: Campeonatos de Europa;2005;1
Fútbol;Competiciones internacionales: Otros;2024;51
Fútbol;Competiciones internacionales: Otros;2023;64
Fútbol;Competiciones internacionales: Otros;2022;27
Fútbol;Competiciones internacionales: Otros;2021;82
Fútbol;Competiciones internacionales: Otros;2020;20
Fútbol;Competiciones internacionales: Otros;2019;21
Fútbol;Competiciones internacionales: Otros;2018;70
Fútbol;Competiciones internacionales: Otros;2017;61
Fútbol;Competiciones internacionales: Otros;2016;46
Fútbol;Competiciones internacionales: Otros;2015;29
Fútbol;Competiciones internacionales: Otros;2014;34
Fútbol;Competiciones internacionales: Otros;2013;38
Fútbol;Competiciones internacionales: Otros;2012;31
Fútbol;Competiciones internacionales: Otros;2011;20
Fútbol;Competiciones internacionales: Otros;2010;12
Fútbol;Competiciones internacionales: Otros;2009;10
Fútbol;Competiciones internacionales: Otros;2008;9
Fútbol;Competiciones internacionales: Otros;2007;4
Fútbol;Competiciones internacionales: Otros;2006;8
Fútbol;Competiciones internacionales: Otros;2005;11
Fútbol Americano;TOTAL;2024;24
Fútbol Americano;TOTAL;2023;19
Fútbol Americano;TOTAL;2022;15
Fútbol Americano;TOTAL;2021;14
Fútbol Americano;TOTAL;2020;9
Fútbol Americano;TOTAL;2019;18
Fútbol Americano;TOTAL;2018;14
Fútbol Americano;TOTAL;2017;12
Fútbol Americano;TOTAL;2016;14
Fútbol Americano;TOTAL;2015;16
Fútbol Americano;TOTAL;2014;14
Fútbol Americano;TOTAL;2013;13
Fútbol Americano;TOTAL;2012;7
Fútbol Americano;TOTAL;2011;8
Fútbol Americano;TOTAL;2010;7
Fútbol Americano;TOTAL;2009;8
Fútbol Americano;TOTAL;2008;9
Fútbol Americano;TOTAL;2007;12
Fútbol Americano;TOTAL;2006;13
Fútbol Americano;TOTAL;2005;13
Fútbol Americano;Competiciones estatales: Total;2024;16
Fútbol Americano;Competiciones estatales: Total;2023;14
Fútbol Americano;Competiciones estatales: Total;2022;13
Fútbol Americano;Competiciones estatales: Total;2021;12
Fútbol Americano;Competiciones estatales: Total;2020;8
Fútbol Americano;Competiciones estatales: Total;2019;11
Fútbol Americano;Competiciones estatales: Total;2018;12
Fútbol Americano;Competiciones estatales: Total;2017;12
Fútbol Americano;Competiciones estatales: Total;2016;12
Fútbol Americano;Competiciones estatales: Total;2015;12
Fútbol Americano;Competiciones estatales: Total;2014;13
Fútbol Americano;Competiciones estatales: Total;2013;10
Fútbol Americano;Competiciones estatales: Total;2012;6
Fútbol Americano;Competiciones estatales: Total;2011;6
Fútbol Americano;Competiciones estatales: Total;2010;6
Fútbol Americano;Competiciones estatales: Total;2009;5
Fútbol Americano;Competiciones estatales: Total;2008;4
Fútbol Americano;Competiciones estatales: Total;2007;4
Fútbol Americano;Competiciones estatales: Total;2006;6
Fútbol Americano;Competiciones estatales: Total;2005;6
Fútbol Americano;Competiciones estatales: Ligas;2024;5
Fútbol Americano;Competiciones estatales: Ligas;2023;5
Fútbol Americano;Competiciones estatales: Ligas;2022;5
Fútbol Americano;Competiciones estatales: Ligas;2021;5
Fútbol Americano;Competiciones estatales: Ligas;2020;5
Fútbol Americano;Competiciones estatales: Ligas;2019;5
Fútbol Americano;Competiciones estatales: Ligas;2018;5
Fútbol Americano;Competiciones estatales: Ligas;2017;5
Fútbol Americano;Competiciones estatales: Ligas;2016;4
Fútbol Americano;Competiciones estatales: Ligas;2015;4
Fútbol Americano;Competiciones estatales: Ligas;2014;4
Fútbol Americano;Competiciones estatales: Ligas;2013;4
Fútbol Americano;Competiciones estatales: Ligas;2012;2
Fútbol Americano;Competiciones estatales: Ligas;2011;2
Fútbol Americano;Competiciones estatales: Ligas;2010;4
Fútbol Americano;Competiciones estatales: Ligas;2009;3
Fútbol Americano;Competiciones estatales: Ligas;2008;2
Fútbol Americano;Competiciones estatales: Ligas;2007;2
Fútbol Americano;Competiciones estatales: Ligas;2006;3
Fútbol Americano;Competiciones estatales: Ligas;2005;3
Fútbol Americano;Competiciones estatales: Campeonatos de España;2024;7
Fútbol Americano;Competiciones estatales: Campeonatos de España;2023;6
Fútbol Americano;Competiciones estatales: Campeonatos de España;2022;4
Fútbol Americano;Competiciones estatales: Campeonatos de España;2021;3
Fútbol Americano;Competiciones estatales: Campeonatos de España;2020;1
Fútbol Americano;Competiciones estatales: Campeonatos de España;2019;5
Fútbol Americano;Competiciones estatales: Campeonatos de España;2018;6
Fútbol Americano;Competiciones estatales: Campeonatos de España;2017;6
Fútbol Americano;Competiciones estatales: Campeonatos de España;2016;3
Fútbol Americano;Competiciones estatales: Campeonatos de España;2015;3
Fútbol Americano;Competiciones estatales: Campeonatos de España;2014;4
Fútbol Americano;Competiciones estatales: Campeonatos de España;2013;4
Fútbol Americano;Competiciones estatales: Campeonatos de España;2012;0
Fútbol Americano;Competiciones estatales: Campeonatos de España;2011;0
Fútbol Americano;Competiciones estatales: Campeonatos de España;2010;2
Fútbol Americano;Competiciones estatales: Campeonatos de España;2009;2
Fútbol Americano;Competiciones estatales: Campeonatos de España;2008;2
Fútbol Americano;Competiciones estatales: Campeonatos de España;2007;2
Fútbol Americano;Competiciones estatales: Campeonatos de España;2006;3
Fútbol Americano;Competiciones estatales: Campeonatos de España;2005;2
Fútbol Americano;Competiciones estatales: Otros;2024;4
Fútbol Americano;Competiciones estatales: Otros;2023;3
Fútbol Americano;Competiciones estatales: Otros;2022;4
Fútbol Americano;Competiciones estatales: Otros;2021;4
Fútbol Americano;Competiciones estatales: Otros;2020;2
Fútbol Americano;Competiciones estatales: Otros;2019;1
Fútbol Americano;Competiciones estatales: Otros;2018;1
Fútbol Americano;Competiciones estatales: Otros;2017;1
Fútbol Americano;Competiciones estatales: Otros;2016;5
Fútbol Americano;Competiciones estatales: Otros;2015;5
Fútbol Americano;Competiciones estatales: Otros;2014;5
Fútbol Americano;Competiciones estatales: Otros;2013;2
Fútbol Americano;Competiciones estatales: Otros;2012;4
Fútbol Americano;Competiciones estatales: Otros;2011;4
Fútbol Americano;Competiciones estatales: Otros;2010;0
Fútbol Americano;Competiciones estatales: Otros;2009;0
Fútbol Americano;Competiciones estatales: Otros;2008;0
Fútbol Americano;Competiciones estatales: Otros;2007;0
Fútbol Americano;Competiciones estatales: Otros;2006;0
Fútbol Americano;Competiciones estatales: Otros;2005;1
Fútbol Americano;Competiciones internacionales: Total;2024;8
Fútbol Americano;Competiciones internacionales: Total;2023;5
Fútbol Americano;Competiciones internacionales: Total;2022;2
Fútbol Americano;Competiciones internacionales: Total;2021;2
Fútbol Americano;Competiciones internacionales: Total;2020;1
Fútbol Americano;Competiciones internacionales: Total;2019;7
Fútbol Americano;Competiciones internacionales: Total;2018;2
Fútbol Americano;Competiciones internacionales: Total;2017;0
Fútbol Americano;Competiciones internacionales: Total;2016;2
Fútbol Americano;Competiciones internacionales: Total;2015;4
Fútbol Americano;Competiciones internacionales: Total;2014;1
Fútbol Americano;Competiciones internacionales: Total;2013;3
Fútbol Americano;Competiciones internacionales: Total;2012;1
Fútbol Americano;Competiciones internacionales: Total;2011;2
Fútbol Americano;Competiciones internacionales: Total;2010;1
Fútbol Americano;Competiciones internacionales: Total;2009;3
Fútbol Americano;Competiciones internacionales: Total;2008;5
Fútbol Americano;Competiciones internacionales: Total;2007;8
Fútbol Americano;Competiciones internacionales: Total;2006;7
Fútbol Americano;Competiciones internacionales: Total;2005;7
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2024;2
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2023;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2022;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2021;2
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2020;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2019;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2018;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2017;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2016;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2015;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2014;1
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2013;1
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2012;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2011;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2010;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2009;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2008;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2007;2
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2006;0
Fútbol Americano;Competiciones internacionales: Campeonatos del mundo;2005;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2024;6
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2023;5
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2022;2
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2021;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2020;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2019;1
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2018;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2017;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2016;2
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2015;2
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2014;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2013;1
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2012;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2011;1
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2010;0
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2009;3
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2008;3
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2007;4
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2006;4
Fútbol Americano;Competiciones internacionales: Campeonatos de Europa;2005;4
Fútbol Americano;Competiciones internacionales: Otros;2024;0
Fútbol Americano;Competiciones internacionales: Otros;2023;0
Fútbol Americano;Competiciones internacionales: Otros;2022;0
Fútbol Americano;Competiciones internacionales: Otros;2021;0
Fútbol Americano;Competiciones internacionales: Otros;2020;1
Fútbol Americano;Competiciones internacionales: Otros;2019;6
Fútbol Americano;Competiciones internacionales: Otros;2018;2
Fútbol Americano;Competiciones internacionales: Otros;2017;0
Fútbol Americano;Competiciones internacionales: Otros;2016;0
Fútbol Americano;Competiciones internacionales: Otros;2015;2
Fútbol Americano;Competiciones internacionales: Otros;2014;0
Fútbol Americano;Competiciones internacionales: Otros;2013;1
Fútbol Americano;Competiciones internacionales: Otros;2012;1
Fútbol Americano;Competiciones internacionales: Otros;2011;1
Fútbol Americano;Competiciones internacionales: Otros;2010;1
Fútbol Americano;Competiciones internacionales: Otros;2009;0
Fútbol Americano;Competiciones internacionales: Otros;2008;2
Fútbol Americano;Competiciones internacionales: Otros;2007;2
Fútbol Americano;Competiciones internacionales: Otros;2006;3
Fútbol Americano;Competiciones internacionales: Otros;2005;3
Galgos;TOTAL;2024;12
Galgos;TOTAL;2023;12
Galgos;TOTAL;2022;12
Galgos;TOTAL;2021;4
Galgos;TOTAL;2020;3
Galgos;TOTAL;2019;5
Galgos;TOTAL;2018;4
Galgos;TOTAL;2017;4
Galgos;TOTAL;2016;4
Galgos;TOTAL;2015;4
Galgos;TOTAL;2014;4
Galgos;TOTAL;2013;4
Galgos;TOTAL;2012;4
Galgos;TOTAL;2011;4
Galgos;TOTAL;2010;4
Galgos;TOTAL;2009;4
Galgos;TOTAL;2008;4
Galgos;TOTAL;2007;2
Galgos;TOTAL;2006;3
Galgos;TOTAL;2005;4
Galgos;Competiciones estatales: Total;2024;12
Galgos;Competiciones estatales: Total;2023;12
Galgos;Competiciones estatales: Total;2022;12
Galgos;Competiciones estatales: Total;2021;4
Galgos;Competiciones estatales: Total;2020;3
Galgos;Competiciones estatales: Total;2019;5
Galgos;Competiciones estatales: Total;2018;4
Galgos;Competiciones estatales: Total;2017;4
Galgos;Competiciones estatales: Total;2016;4
Galgos;Competiciones estatales: Total;2015;4
Galgos;Competiciones estatales: Total;2014;4
Galgos;Competiciones estatales: Total;2013;4
Galgos;Competiciones estatales: Total;2012;4
Galgos;Competiciones estatales: Total;2011;4
Galgos;Competiciones estatales: Total;2010;4
Galgos;Competiciones estatales: Total;2009;4
Galgos;Competiciones estatales: Total;2008;4
Galgos;Competiciones estatales: Total;2007;2
Galgos;Competiciones estatales: Total;2006;3
Galgos;Competiciones estatales: Total;2005;4
Galgos;Competiciones estatales: Ligas;2024;4
Galgos;Competiciones estatales: Ligas;2023;0
Galgos;Competiciones estatales: Ligas;2022;0
Galgos;Competiciones estatales: Ligas;2021;0
Galgos;Competiciones estatales: Ligas;2020;0
Galgos;Competiciones estatales: Ligas;2019;0
Galgos;Competiciones estatales: Ligas;2018;0
Galgos;Competiciones estatales: Ligas;2017;0
Galgos;Competiciones estatales: Ligas;2016;0
Galgos;Competiciones estatales: Ligas;2015;0
Galgos;Competiciones estatales: Ligas;2014;0
Galgos;Competiciones estatales: Ligas;2013;0
Galgos;Competiciones estatales: Ligas;2012;0
Galgos;Competiciones estatales: Ligas;2011;0
Galgos;Competiciones estatales: Ligas;2010;0
Galgos;Competiciones estatales: Ligas;2009;0
Galgos;Competiciones estatales: Ligas;2008;0
Galgos;Competiciones estatales: Ligas;2007;0
Galgos;Competiciones estatales: Ligas;2006;0
Galgos;Competiciones estatales: Ligas;2005;0
Galgos;Competiciones estatales: Campeonatos de España;2024;6
Galgos;Competiciones estatales: Campeonatos de España;2023;6
Galgos;Competiciones estatales: Campeonatos de España;2022;6
Galgos;Competiciones estatales: Campeonatos de España;2021;2
Galgos;Competiciones estatales: Campeonatos de España;2020;1
Galgos;Competiciones estatales: Campeonatos de España;2019;2
Galgos;Competiciones estatales: Campeonatos de España;2018;1
Galgos;Competiciones estatales: Campeonatos de España;2017;1
Galgos;Competiciones estatales: Campeonatos de España;2016;1
Galgos;Competiciones estatales: Campeonatos de España;2015;1
Galgos;Competiciones estatales: Campeonatos de España;2014;1
Galgos;Competiciones estatales: Campeonatos de España;2013;1
Galgos;Competiciones estatales: Campeonatos de España;2012;1
Galgos;Competiciones estatales: Campeonatos de España;2011;1
Galgos;Competiciones estatales: Campeonatos de España;2010;1
Galgos;Competiciones estatales: Campeonatos de España;2009;1
Galgos;Competiciones estatales: Campeonatos de España;2008;1
Galgos;Competiciones estatales: Campeonatos de España;2007;1
Galgos;Competiciones estatales: Campeonatos de España;2006;1
Galgos;Competiciones estatales: Campeonatos de España;2005;1
Galgos;Competiciones estatales: Otros;2024;2
Galgos;Competiciones estatales: Otros;2023;6
Galgos;Competiciones estatales: Otros;2022;6
Galgos;Competiciones estatales: Otros;2021;2
Galgos;Competiciones estatales: Otros;2020;2
Galgos;Competiciones estatales: Otros;2019;3
Galgos;Competiciones estatales: Otros;2018;3
Galgos;Competiciones estatales: Otros;2017;3
Galgos;Competiciones estatales: Otros;2016;3
Galgos;Competiciones estatales: Otros;2015;3
Galgos;Competiciones estatales: Otros;2014;3
Galgos;Competiciones estatales: Otros;2013;3
Galgos;Competiciones estatales: Otros;2012;3
Galgos;Competiciones estatales: Otros;2011;3
Galgos;Competiciones estatales: Otros;2010;3
Galgos;Competiciones estatales: Otros;2009;3
Galgos;Competiciones estatales: Otros;2008;3
Galgos;Competiciones estatales: Otros;2007;1
Galgos;Competiciones estatales: Otros;2006;2
Galgos;Competiciones estatales: Otros;2005;3
Galgos;Competiciones internacionales: Total;2024;0
Galgos;Competiciones internacionales: Total;2023;0
Galgos;Competiciones internacionales: Total;2022;0
Galgos;Competiciones internacionales: Total;2021;0
Galgos;Competiciones internacionales: Total;2020;0
Galgos;Competiciones internacionales: Total;2019;0
Galgos;Competiciones internacionales: Total;2018;0
Galgos;Competiciones internacionales: Total;2017;0
Galgos;Competiciones internacionales: Total;2016;0
Galgos;Competiciones internacionales: Total;2015;0
Galgos;Competiciones internacionales: Total;2014;0
Galgos;Competiciones internacionales: Total;2013;0
Galgos;Competiciones internacionales: Total;2012;0
Galgos;Competiciones internacionales: Total;2011;0
Galgos;Competiciones internacionales: Total;2010;0
Galgos;Competiciones internacionales: Total;2009;0
Galgos;Competiciones internacionales: Total;2008;0
Galgos;Competiciones internacionales: Total;2007;0
Galgos;Competiciones internacionales: Total;2006;0
Galgos;Competiciones internacionales: Total;2005;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2024;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2023;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2022;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2021;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2020;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2019;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2018;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2017;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2016;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2015;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2014;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2013;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2012;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2011;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2010;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2009;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2008;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2007;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2006;0
Galgos;Competiciones internacionales: Campeonatos del mundo;2005;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2024;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2023;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2022;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2021;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2020;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2019;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2018;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2017;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2016;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2015;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2014;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2013;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2012;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2011;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2010;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2009;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2008;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2007;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2006;0
Galgos;Competiciones internacionales: Campeonatos de Europa;2005;0
Galgos;Competiciones internacionales: Otros;2024;0
Galgos;Competiciones internacionales: Otros;2023;0
Galgos;Competiciones internacionales: Otros;2022;0
Galgos;Competiciones internacionales: Otros;2021;0
Galgos;Competiciones internacionales: Otros;2020;0
Galgos;Competiciones internacionales: Otros;2019;0
Galgos;Competiciones internacionales: Otros;2018;0
Galgos;Competiciones internacionales: Otros;2017;0
Galgos;Competiciones internacionales: Otros;2016;0
Galgos;Competiciones internacionales: Otros;2015;0
Galgos;Competiciones internacionales: Otros;2014;0
Galgos;Competiciones internacionales: Otros;2013;0
Galgos;Competiciones internacionales: Otros;2012;0
Galgos;Competiciones internacionales: Otros;2011;0
Galgos;Competiciones internacionales: Otros;2010;0
Galgos;Competiciones internacionales: Otros;2009;0
Galgos;Competiciones internacionales: Otros;2008;0
Galgos;Competiciones internacionales: Otros;2007;0
Galgos;Competiciones internacionales: Otros;2006;0
Galgos;Competiciones internacionales: Otros;2005;0
Gimnasia;TOTAL;2024;69
Gimnasia;TOTAL;2023;65
Gimnasia;TOTAL;2022;86
Gimnasia;TOTAL;2021;70
Gimnasia;TOTAL;2020;20
Gimnasia;TOTAL;2019;66
Gimnasia;TOTAL;2018;83
Gimnasia;TOTAL;2017;87
Gimnasia;TOTAL;2016;80
Gimnasia;TOTAL;2015;74
Gimnasia;TOTAL;2014;75
Gimnasia;TOTAL;2013;57
Gimnasia;TOTAL;2012;78
Gimnasia;TOTAL;2011;99
Gimnasia;TOTAL;2010;108
Gimnasia;TOTAL;2009;104
Gimnasia;TOTAL;2008;103
Gimnasia;TOTAL;2007;87
Gimnasia;TOTAL;2006;111
Gimnasia;TOTAL;2005;108
Gimnasia;Competiciones estatales: Total;2024;43
Gimnasia;Competiciones estatales: Total;2023;31
Gimnasia;Competiciones estatales: Total;2022;47
Gimnasia;Competiciones estatales: Total;2021;43
Gimnasia;Competiciones estatales: Total;2020;11
Gimnasia;Competiciones estatales: Total;2019;0
Gimnasia;Competiciones estatales: Total;2018;24
Gimnasia;Competiciones estatales: Total;2017;37
Gimnasia;Competiciones estatales: Total;2016;31
Gimnasia;Competiciones estatales: Total;2015;28
Gimnasia;Competiciones estatales: Total;2014;25
Gimnasia;Competiciones estatales: Total;2013;25
Gimnasia;Competiciones estatales: Total;2012;43
Gimnasia;Competiciones estatales: Total;2011;36
Gimnasia;Competiciones estatales: Total;2010;37
Gimnasia;Competiciones estatales: Total;2009;44
Gimnasia;Competiciones estatales: Total;2008;33
Gimnasia;Competiciones estatales: Total;2007;20
Gimnasia;Competiciones estatales: Total;2006;59
Gimnasia;Competiciones estatales: Total;2005;53
Gimnasia;Competiciones estatales: Ligas;2024;2
Gimnasia;Competiciones estatales: Ligas;2023;2
Gimnasia;Competiciones estatales: Ligas;2022;2
Gimnasia;Competiciones estatales: Ligas;2021;2
