Federación;Indicador;Medallas;periodo;Total
Actividades Subacuáticas;TOTAL;TOTAL;2017;7
Actividades Subacuáticas;TOTAL;TOTAL;2016;4
Actividades Subacuáticas;TOTAL;TOTAL;2015;8
Actividades Subacuáticas;TOTAL;TOTAL;2014;7
Actividades Subacuáticas;TOTAL;TOTAL;2013;10
Actividades Subacuáticas;TOTAL;TOTAL;2012;5
Actividades Subacuáticas;TOTAL;TOTAL;2011;6
Actividades Subacuáticas;TOTAL;TOTAL;2010;5
Actividades Subacuáticas;TOTAL;TOTAL;2009;6
Actividades Subacuáticas;TOTAL;TOTAL;2008;4
Actividades Subacuáticas;TOTAL;TOTAL;2007;4
Actividades Subacuáticas;TOTAL;TOTAL;2006;2
Actividades Subacuáticas;TOTAL;TOTAL;2005;2
Actividades Subacuáticas;TOTAL;Oro;2024;13
Actividades Subacuáticas;TOTAL;Oro;2023;6
Actividades Subacuáticas;TOTAL;Oro;2022;0
Actividades Subacuáticas;TOTAL;Oro;2021;3
Actividades Subacuáticas;TOTAL;Oro;2020;0
Actividades Subacuáticas;TOTAL;Oro;2019;3
Actividades Subacuáticas;TOTAL;Oro;2018;1
Actividades Subacuáticas;TOTAL;Oro;2017;2
Actividades Subacuáticas;TOTAL;Oro;2016;2
Actividades Subacuáticas;TOTAL;Oro;2015;3
Actividades Subacuáticas;TOTAL;Oro;2014;2
Actividades Subacuáticas;TOTAL;Oro;2013;2
Actividades Subacuáticas;TOTAL;Oro;2012;1
Actividades Subacuáticas;TOTAL;Oro;2011;1
Actividades Subacuáticas;TOTAL;Oro;2010;2
Actividades Subacuáticas;TOTAL;Oro;2009;3
Actividades Subacuáticas;TOTAL;Oro;2008;2
Actividades Subacuáticas;TOTAL;Oro;2007;2
Actividades Subacuáticas;TOTAL;Oro;2006;0
Actividades Subacuáticas;TOTAL;Oro;2005;1
Actividades Subacuáticas;TOTAL;Plata;2024;12
Actividades Subacuáticas;TOTAL;Plata;2023;5
Actividades Subacuáticas;TOTAL;Plata;2022;0
Actividades Subacuáticas;TOTAL;Plata;2021;8
Actividades Subacuáticas;TOTAL;Plata;2020;0
Actividades Subacuáticas;TOTAL;Plata;2019;4
Actividades Subacuáticas;TOTAL;Plata;2018;0
Actividades Subacuáticas;TOTAL;Plata;2017;4
Actividades Subacuáticas;TOTAL;Plata;2016;1
Actividades Subacuáticas;TOTAL;Plata;2015;3
Actividades Subacuáticas;TOTAL;Plata;2014;2
Actividades Subacuáticas;TOTAL;Plata;2013;3
Actividades Subacuáticas;TOTAL;Plata;2012;2
Actividades Subacuáticas;TOTAL;Plata;2011;3
Actividades Subacuáticas;TOTAL;Plata;2010;1
Actividades Subacuáticas;TOTAL;Plata;2009;2
Actividades Subacuáticas;TOTAL;Plata;2008;1
Actividades Subacuáticas;TOTAL;Plata;2007;1
Actividades Subacuáticas;TOTAL;Plata;2006;0
Actividades Subacuáticas;TOTAL;Plata;2005;1
Actividades Subacuáticas;TOTAL;Bronce;2024;9
Actividades Subacuáticas;TOTAL;Bronce;2023;3
Actividades Subacuáticas;TOTAL;Bronce;2022;0
