Federación;Indicador;Medallas;periodo;Total
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;2
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;2
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;2
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;2
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;1
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;0
Golf;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;0
Golf;Campeonatos de Europa;TOTAL;2024;1
Golf;Campeonatos de Europa;TOTAL;2023;6
Golf;Campeonatos de Europa;TOTAL;2022;2
Golf;Campeonatos de Europa;TOTAL;2021;5
Golf;Campeonatos de Europa;TOTAL;2020;0
Golf;Campeonatos de Europa;TOTAL;2019;3
Golf;Campeonatos de Europa;TOTAL;2018;5
Golf;Campeonatos de Europa;TOTAL;2017;3
Golf;Campeonatos de Europa;TOTAL;2016;5
Golf;Campeonatos de Europa;TOTAL;2015;3
Golf;Campeonatos de Europa;TOTAL;2014;6
Golf;Campeonatos de Europa;TOTAL;2013;7
Golf;Campeonatos de Europa;TOTAL;2012;3
Golf;Campeonatos de Europa;TOTAL;2011;6
Golf;Campeonatos de Europa;TOTAL;2010;3
Golf;Campeonatos de Europa;TOTAL;2009;8
Golf;Campeonatos de Europa;TOTAL;2008;5
Golf;Campeonatos de Europa;TOTAL;2007;2
Golf;Campeonatos de Europa;TOTAL;2006;8
Golf;Campeonatos de Europa;TOTAL;2005;4
Golf;Campeonatos de Europa;Oro;2024;0
Golf;Campeonatos de Europa;Oro;2023;5
Golf;Campeonatos de Europa;Oro;2022;1
Golf;Campeonatos de Europa;Oro;2021;3
Golf;Campeonatos de Europa;Oro;2020;0
Golf;Campeonatos de Europa;Oro;2019;0
Golf;Campeonatos de Europa;Oro;2018;2
Golf;Campeonatos de Europa;Oro;2017;1
Golf;Campeonatos de Europa;Oro;2016;1
Golf;Campeonatos de Europa;Oro;2015;2
Golf;Campeonatos de Europa;Oro;2014;2
Golf;Campeonatos de Europa;Oro;2013;2
Golf;Campeonatos de Europa;Oro;2012;1
Golf;Campeonatos de Europa;Oro;2011;3
Golf;Campeonatos de Europa;Oro;2010;0
Golf;Campeonatos de Europa;Oro;2009;0
Golf;Campeonatos de Europa;Oro;2008;1
Golf;Campeonatos de Europa;Oro;2007;1
Golf;Campeonatos de Europa;Oro;2006;3
Golf;Campeonatos de Europa;Oro;2005;2
Golf;Campeonatos de Europa;Plata;2024;1
Golf;Campeonatos de Europa;Plata;2023;1
Golf;Campeonatos de Europa;Plata;2022;0
Golf;Campeonatos de Europa;Plata;2021;1
Golf;Campeonatos de Europa;Plata;2020;0
Golf;Campeonatos de Europa;Plata;2019;3
Golf;Campeonatos de Europa;Plata;2018;3
Golf;Campeonatos de Europa;Plata;2017;2
Golf;Campeonatos de Europa;Plata;2016;2
Golf;Campeonatos de Europa;Plata;2015;0
Golf;Campeonatos de Europa;Plata;2014;3
Golf;Campeonatos de Europa;Plata;2013;2
Golf;Campeonatos de Europa;Plata;2012;2
Golf;Campeonatos de Europa;Plata;2011;1
Golf;Campeonatos de Europa;Plata;2010;2
Golf;Campeonatos de Europa;Plata;2009;3
Golf;Campeonatos de Europa;Plata;2008;2
Golf;Campeonatos de Europa;Plata;2007;1
Golf;Campeonatos de Europa;Plata;2006;4
Golf;Campeonatos de Europa;Plata;2005;1
Golf;Campeonatos de Europa;Bronce;2024;0
Golf;Campeonatos de Europa;Bronce;2023;0
Golf;Campeonatos de Europa;Bronce;2022;1
Golf;Campeonatos de Europa;Bronce;2021;1
Golf;Campeonatos de Europa;Bronce;2020;0
Golf;Campeonatos de Europa;Bronce;2019;0
Golf;Campeonatos de Europa;Bronce;2018;0
Golf;Campeonatos de Europa;Bronce;2017;0
Golf;Campeonatos de Europa;Bronce;2016;2
Golf;Campeonatos de Europa;Bronce;2015;1
Golf;Campeonatos de Europa;Bronce;2014;1
Golf;Campeonatos de Europa;Bronce;2013;3
Golf;Campeonatos de Europa;Bronce;2012;0
Golf;Campeonatos de Europa;Bronce;2011;2
Golf;Campeonatos de Europa;Bronce;2010;1
Golf;Campeonatos de Europa;Bronce;2009;5
Golf;Campeonatos de Europa;Bronce;2008;2
Golf;Campeonatos de Europa;Bronce;2007;0
Golf;Campeonatos de Europa;Bronce;2006;1
Golf;Campeonatos de Europa;Bronce;2005;1
Halterofilia;TOTAL;TOTAL;2024;25
Halterofilia;TOTAL;TOTAL;2023;22
Halterofilia;TOTAL;TOTAL;2022;16
Halterofilia;TOTAL;TOTAL;2021;17
Halterofilia;TOTAL;TOTAL;2020;0
Halterofilia;TOTAL;TOTAL;2019;23
Halterofilia;TOTAL;TOTAL;2018;22
Halterofilia;TOTAL;TOTAL;2017;18
Halterofilia;TOTAL;TOTAL;2016;23
Halterofilia;TOTAL;TOTAL;2015;29
Halterofilia;TOTAL;TOTAL;2014;26
Halterofilia;TOTAL;TOTAL;2013;33
Halterofilia;TOTAL;TOTAL;2012;21
Halterofilia;TOTAL;TOTAL;2011;8
Halterofilia;TOTAL;TOTAL;2010;0
Halterofilia;TOTAL;TOTAL;2009;5
Halterofilia;TOTAL;TOTAL;2008;9
Halterofilia;TOTAL;TOTAL;2007;11
Halterofilia;TOTAL;TOTAL;2006;10
Halterofilia;TOTAL;TOTAL;2005;17
Halterofilia;TOTAL;Oro;2024;4
Halterofilia;TOTAL;Oro;2023;1
Halterofilia;TOTAL;Oro;2022;2
Halterofilia;TOTAL;Oro;2021;3
Halterofilia;TOTAL;Oro;2020;0
Halterofilia;TOTAL;Oro;2019;5
Halterofilia;TOTAL;Oro;2018;8
Halterofilia;TOTAL;Oro;2017;8
Halterofilia;TOTAL;Oro;2016;12
Halterofilia;TOTAL;Oro;2015;9
Halterofilia;TOTAL;Oro;2014;12
Halterofilia;TOTAL;Oro;2013;8
Halterofilia;TOTAL;Oro;2012;9
Halterofilia;TOTAL;Oro;2011;0
Halterofilia;TOTAL;Oro;2010;0
Halterofilia;TOTAL;Oro;2009;0
Halterofilia;TOTAL;Oro;2008;0
Halterofilia;TOTAL;Oro;2007;6
Halterofilia;TOTAL;Oro;2006;5
Halterofilia;TOTAL;Oro;2005;2
Halterofilia;TOTAL;Plata;2024;5
Halterofilia;TOTAL;Plata;2023;10
Halterofilia;TOTAL;Plata;2022;7
Halterofilia;TOTAL;Plata;2021;4
Halterofilia;TOTAL;Plata;2020;0
Halterofilia;TOTAL;Plata;2019;13
Halterofilia;TOTAL;Plata;2018;5
Halterofilia;TOTAL;Plata;2017;6
Halterofilia;TOTAL;Plata;2016;8
Halterofilia;TOTAL;Plata;2015;8
Halterofilia;TOTAL;Plata;2014;9
Halterofilia;TOTAL;Plata;2013;10
Halterofilia;TOTAL;Plata;2012;6
Halterofilia;TOTAL;Plata;2011;2
Halterofilia;TOTAL;Plata;2010;0
Halterofilia;TOTAL;Plata;2009;1
Halterofilia;TOTAL;Plata;2008;4
Halterofilia;TOTAL;Plata;2007;1
Halterofilia;TOTAL;Plata;2006;2
Halterofilia;TOTAL;Plata;2005;7
Halterofilia;TOTAL;Bronce;2024;16
Halterofilia;TOTAL;Bronce;2023;11
Halterofilia;TOTAL;Bronce;2022;7
Halterofilia;TOTAL;Bronce;2021;10
Halterofilia;TOTAL;Bronce;2020;0
Halterofilia;TOTAL;Bronce;2019;5
Halterofilia;TOTAL;Bronce;2018;9
Halterofilia;TOTAL;Bronce;2017;4
Halterofilia;TOTAL;Bronce;2016;3
Halterofilia;TOTAL;Bronce;2015;12
Halterofilia;TOTAL;Bronce;2014;5
Halterofilia;TOTAL;Bronce;2013;15
Halterofilia;TOTAL;Bronce;2012;6
Halterofilia;TOTAL;Bronce;2011;6
Halterofilia;TOTAL;Bronce;2010;0
Halterofilia;TOTAL;Bronce;2009;4
Halterofilia;TOTAL;Bronce;2008;5
Halterofilia;TOTAL;Bronce;2007;4
Halterofilia;TOTAL;Bronce;2006;3
Halterofilia;TOTAL;Bronce;2005;8
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;5
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;5
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;5
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;4
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2017;4
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2016;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2015;3
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2014;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2013;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2012;5
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2011;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2010;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2009;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2008;3
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2007;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2006;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2005;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2024;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2023;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2022;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2021;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2020;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2019;3
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2018;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2017;3
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2016;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2015;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2014;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2013;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2012;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2011;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2010;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2009;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2008;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2007;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2006;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Oro;2005;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2024;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2023;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2022;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2021;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2020;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2019;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2018;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2017;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2016;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2015;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2014;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2013;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2012;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2011;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2010;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2009;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2008;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2007;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2006;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Plata;2005;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2024;4
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2023;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2022;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2021;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2020;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2019;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2018;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2017;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2016;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2015;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2014;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2013;2
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2012;3
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2011;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2010;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2009;0
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2008;3
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2007;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2006;1
Halterofilia;Campeonatos y Copas del Mundo, JJOO y JJPP;Bronce;2005;0
Halterofilia;Campeonatos de Europa;TOTAL;2024;20
Halterofilia;Campeonatos de Europa;TOTAL;2023;17
Halterofilia;Campeonatos de Europa;TOTAL;2022;14
Halterofilia;Campeonatos de Europa;TOTAL;2021;15
Halterofilia;Campeonatos de Europa;TOTAL;2020;0
Halterofilia;Campeonatos de Europa;TOTAL;2019;18
Halterofilia;Campeonatos de Europa;TOTAL;2018;18
Halterofilia;Campeonatos de Europa;TOTAL;2017;14
Halterofilia;Campeonatos de Europa;TOTAL;2016;21
Halterofilia;Campeonatos de Europa;TOTAL;2015;26
Halterofilia;Campeonatos de Europa;TOTAL;2014;26
Halterofilia;Campeonatos de Europa;TOTAL;2013;31
Halterofilia;Campeonatos de Europa;TOTAL;2012;16
Halterofilia;Campeonatos de Europa;TOTAL;2011;8
Halterofilia;Campeonatos de Europa;TOTAL;2010;0
Halterofilia;Campeonatos de Europa;TOTAL;2009;5
Halterofilia;Campeonatos de Europa;TOTAL;2008;6
Halterofilia;Campeonatos de Europa;TOTAL;2007;10
Halterofilia;Campeonatos de Europa;TOTAL;2006;9
Halterofilia;Campeonatos de Europa;TOTAL;2005;17
Halterofilia;Campeonatos de Europa;Oro;2024;3
Halterofilia;Campeonatos de Europa;Oro;2023;0
Halterofilia;Campeonatos de Europa;Oro;2022;2
Halterofilia;Campeonatos de Europa;Oro;2021;3
Halterofilia;Campeonatos de Europa;Oro;2020;0
Halterofilia;Campeonatos de Europa;Oro;2019;2
Halterofilia;Campeonatos de Europa;Oro;2018;6
Halterofilia;Campeonatos de Europa;Oro;2017;5
Halterofilia;Campeonatos de Europa;Oro;2016;12
Halterofilia;Campeonatos de Europa;Oro;2015;9
Halterofilia;Campeonatos de Europa;Oro;2014;12
Halterofilia;Campeonatos de Europa;Oro;2013;8
Halterofilia;Campeonatos de Europa;Oro;2012;9
Halterofilia;Campeonatos de Europa;Oro;2011;0
Halterofilia;Campeonatos de Europa;Oro;2010;0
Halterofilia;Campeonatos de Europa;Oro;2009;0
Halterofilia;Campeonatos de Europa;Oro;2008;0
Halterofilia;Campeonatos de Europa;Oro;2007;6
Halterofilia;Campeonatos de Europa;Oro;2006;5
Halterofilia;Campeonatos de Europa;Oro;2005;2
Halterofilia;Campeonatos de Europa;Plata;2024;5
Halterofilia;Campeonatos de Europa;Plata;2023;8
Halterofilia;Campeonatos de Europa;Plata;2022;5
Halterofilia;Campeonatos de Europa;Plata;2021;3
Halterofilia;Campeonatos de Europa;Plata;2020;0
Halterofilia;Campeonatos de Europa;Plata;2019;12
Halterofilia;Campeonatos de Europa;Plata;2018;5
Halterofilia;Campeonatos de Europa;Plata;2017;6
Halterofilia;Campeonatos de Europa;Plata;2016;7
Halterofilia;Campeonatos de Europa;Plata;2015;7
Halterofilia;Campeonatos de Europa;Plata;2014;9
Halterofilia;Campeonatos de Europa;Plata;2013;10
Halterofilia;Campeonatos de Europa;Plata;2012;4
Halterofilia;Campeonatos de Europa;Plata;2011;2
Halterofilia;Campeonatos de Europa;Plata;2010;0
Halterofilia;Campeonatos de Europa;Plata;2009;1
Halterofilia;Campeonatos de Europa;Plata;2008;4
Halterofilia;Campeonatos de Europa;Plata;2007;1
Halterofilia;Campeonatos de Europa;Plata;2006;2
Halterofilia;Campeonatos de Europa;Plata;2005;7
Halterofilia;Campeonatos de Europa;Bronce;2024;12
Halterofilia;Campeonatos de Europa;Bronce;2023;9
Halterofilia;Campeonatos de Europa;Bronce;2022;7
Halterofilia;Campeonatos de Europa;Bronce;2021;9
Halterofilia;Campeonatos de Europa;Bronce;2020;0
Halterofilia;Campeonatos de Europa;Bronce;2019;4
Halterofilia;Campeonatos de Europa;Bronce;2018;7
Halterofilia;Campeonatos de Europa;Bronce;2017;3
Halterofilia;Campeonatos de Europa;Bronce;2016;2
Halterofilia;Campeonatos de Europa;Bronce;2015;10
Halterofilia;Campeonatos de Europa;Bronce;2014;5
Halterofilia;Campeonatos de Europa;Bronce;2013;13
Halterofilia;Campeonatos de Europa;Bronce;2012;3
Halterofilia;Campeonatos de Europa;Bronce;2011;6
Halterofilia;Campeonatos de Europa;Bronce;2010;0
Halterofilia;Campeonatos de Europa;Bronce;2009;4
Halterofilia;Campeonatos de Europa;Bronce;2008;2
Halterofilia;Campeonatos de Europa;Bronce;2007;3
Halterofilia;Campeonatos de Europa;Bronce;2006;2
Halterofilia;Campeonatos de Europa;Bronce;2005;8
Hípica;TOTAL;TOTAL;2024;7
Hípica;TOTAL;TOTAL;2023;10
Hípica;TOTAL;TOTAL;2022;0
Hípica;TOTAL;TOTAL;2021;9
Hípica;TOTAL;TOTAL;2020;0
Hípica;TOTAL;TOTAL;2019;7
Hípica;TOTAL;TOTAL;2018;5
Hípica;TOTAL;TOTAL;2017;11
Hípica;TOTAL;TOTAL;2016;16
Hípica;TOTAL;TOTAL;2015;7
Hípica;TOTAL;TOTAL;2014;5
Hípica;TOTAL;TOTAL;2013;7
Hípica;TOTAL;TOTAL;2012;1
Hípica;TOTAL;TOTAL;2011;8
Hípica;TOTAL;TOTAL;2010;2
Hípica;TOTAL;TOTAL;2009;6
Hípica;TOTAL;TOTAL;2008;5
Hípica;TOTAL;TOTAL;2007;6
Hípica;TOTAL;TOTAL;2006;2
Hípica;TOTAL;TOTAL;2005;2
Hípica;TOTAL;Oro;2024;1
Hípica;TOTAL;Oro;2023;0
Hípica;TOTAL;Oro;2022;0
Hípica;TOTAL;Oro;2021;4
Hípica;TOTAL;Oro;2020;0
Hípica;TOTAL;Oro;2019;4
Hípica;TOTAL;Oro;2018;2
Hípica;TOTAL;Oro;2017;2
Hípica;TOTAL;Oro;2016;6
Hípica;TOTAL;Oro;2015;3
Hípica;TOTAL;Oro;2014;3
Hípica;TOTAL;Oro;2013;2
Hípica;TOTAL;Oro;2012;0
Hípica;TOTAL;Oro;2011;4
Hípica;TOTAL;Oro;2010;1
Hípica;TOTAL;Oro;2009;4
Hípica;TOTAL;Oro;2008;3
Hípica;TOTAL;Oro;2007;0
Hípica;TOTAL;Oro;2006;1
Hípica;TOTAL;Oro;2005;0
Hípica;TOTAL;Plata;2024;4
Hípica;TOTAL;Plata;2023;7
Hípica;TOTAL;Plata;2022;0
Hípica;TOTAL;Plata;2021;3
Hípica;TOTAL;Plata;2020;0
Hípica;TOTAL;Plata;2019;2
Hípica;TOTAL;Plata;2018;0
Hípica;TOTAL;Plata;2017;5
Hípica;TOTAL;Plata;2016;6
Hípica;TOTAL;Plata;2015;3
Hípica;TOTAL;Plata;2014;1
Hípica;TOTAL;Plata;2013;3
Hípica;TOTAL;Plata;2012;1
Hípica;TOTAL;Plata;2011;3
Hípica;TOTAL;Plata;2010;0
Hípica;TOTAL;Plata;2009;1
Hípica;TOTAL;Plata;2008;1
Hípica;TOTAL;Plata;2007;5
Hípica;TOTAL;Plata;2006;1
Hípica;TOTAL;Plata;2005;0
Hípica;TOTAL;Bronce;2024;2
Hípica;TOTAL;Bronce;2023;3
Hípica;TOTAL;Bronce;2022;0
Hípica;TOTAL;Bronce;2021;2
Hípica;TOTAL;Bronce;2020;0
Hípica;TOTAL;Bronce;2019;1
Hípica;TOTAL;Bronce;2018;3
Hípica;TOTAL;Bronce;2017;4
Hípica;TOTAL;Bronce;2016;4
Hípica;TOTAL;Bronce;2015;1
Hípica;TOTAL;Bronce;2014;1
Hípica;TOTAL;Bronce;2013;2
Hípica;TOTAL;Bronce;2012;0
Hípica;TOTAL;Bronce;2011;1
Hípica;TOTAL;Bronce;2010;1
Hípica;TOTAL;Bronce;2009;1
Hípica;TOTAL;Bronce;2008;1
Hípica;TOTAL;Bronce;2007;1
Hípica;TOTAL;Bronce;2006;0
Hípica;TOTAL;Bronce;2005;2
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2024;0
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2023;2
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2022;0
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2021;2
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2020;0
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2019;0
Hípica;Campeonatos y Copas del Mundo, JJOO y JJPP;TOTAL;2018;1
