Federación;Comunidad autónoma;periodo;Total
TOTAL;Asturias, Principado de;2012;1.541
TOTAL;Asturias, Principado de;2011;1.516
TOTAL;Asturias, Principado de;2010;1.476
TOTAL;Asturias, Principado de;2009;1.470
TOTAL;Asturias, Principado de;2008;1.430
TOTAL;Asturias, Principado de;2007;1.557
TOTAL;Balears, Illes;2024;2.010
TOTAL;Balears, Illes;2023;1.977
TOTAL;Balears, Illes;2022;1.950
TOTAL;Balears, Illes;2021;1.920
TOTAL;Balears, Illes;2020;1.932
TOTAL;Balears, Illes;2019;1.963
TOTAL;Balears, Illes;2018;1.883
TOTAL;Balears, Illes;2017;1.534
TOTAL;Balears, Illes;2016;1.502
TOTAL;Balears, Illes;2015;1.476
TOTAL;Balears, Illes;2014;1.466
TOTAL;Balears, Illes;2013;1.358
TOTAL;Balears, Illes;2012;1.379
TOTAL;Balears, Illes;2011;1.396
TOTAL;Balears, Illes;2010;1.322
TOTAL;Balears, Illes;2009;1.230
TOTAL;Balears, Illes;2008;1.362
TOTAL;Balears, Illes;2007;1.272
TOTAL;Canarias;2024;3.748
TOTAL;Canarias;2023;3.664
TOTAL;Canarias;2022;3.678
TOTAL;Canarias;2021;3.522
TOTAL;Canarias;2020;3.556
TOTAL;Canarias;2019;3.624
TOTAL;Canarias;2018;3.126
TOTAL;Canarias;2017;2.470
TOTAL;Canarias;2016;2.423
TOTAL;Canarias;2015;2.772
TOTAL;Canarias;2014;2.407
TOTAL;Canarias;2013;2.166
TOTAL;Canarias;2012;2.343
TOTAL;Canarias;2011;2.266
TOTAL;Canarias;2010;2.403
TOTAL;Canarias;2009;2.304
TOTAL;Canarias;2008;2.262
TOTAL;Canarias;2007;2.328
TOTAL;Cantabria;2024;1.629
TOTAL;Cantabria;2023;1.604
TOTAL;Cantabria;2022;1.545
TOTAL;Cantabria;2021;1.560
TOTAL;Cantabria;2020;1.518
TOTAL;Cantabria;2019;1.567
TOTAL;Cantabria;2018;1.429
TOTAL;Cantabria;2017;1.240
TOTAL;Cantabria;2016;1.205
TOTAL;Cantabria;2015;1.198
TOTAL;Cantabria;2014;1.155
TOTAL;Cantabria;2013;958
TOTAL;Cantabria;2012;962
TOTAL;Cantabria;2011;936
TOTAL;Cantabria;2010;903
TOTAL;Cantabria;2009;1.054
TOTAL;Cantabria;2008;1.064
TOTAL;Cantabria;2007;1.196
TOTAL;Castilla y León;2024;4.048
TOTAL;Castilla y León;2023;3.844
TOTAL;Castilla y León;2022;3.953
TOTAL;Castilla y León;2021;3.928
TOTAL;Castilla y León;2020;3.839
TOTAL;Castilla y León;2019;4.133
TOTAL;Castilla y León;2018;4.494
TOTAL;Castilla y León;2017;4.052
TOTAL;Castilla y León;2016;4.116
TOTAL;Castilla y León;2015;4.156
TOTAL;Castilla y León;2014;4.199
TOTAL;Castilla y León;2013;4.807
TOTAL;Castilla y León;2012;4.775
TOTAL;Castilla y León;2011;4.746
TOTAL;Castilla y León;2010;4.680
TOTAL;Castilla y León;2009;4.628
TOTAL;Castilla y León;2008;4.556
TOTAL;Castilla y León;2007;4.475
TOTAL;Castilla-La Mancha;2024;4.988
TOTAL;Castilla-La Mancha;2023;4.877
TOTAL;Castilla-La Mancha;2022;4.892
TOTAL;Castilla-La Mancha;2021;4.799
TOTAL;Castilla-La Mancha;2020;4.842
TOTAL;Castilla-La Mancha;2019;4.729
TOTAL;Castilla-La Mancha;2018;4.500
TOTAL;Castilla-La Mancha;2017;3.776
TOTAL;Castilla-La Mancha;2016;3.662
TOTAL;Castilla-La Mancha;2015;4.398
TOTAL;Castilla-La Mancha;2014;4.371
TOTAL;Castilla-La Mancha;2013;4.230
TOTAL;Castilla-La Mancha;2012;4.275
TOTAL;Castilla-La Mancha;2011;4.221
TOTAL;Castilla-La Mancha;2010;4.254
TOTAL;Castilla-La Mancha;2009;4.172
TOTAL;Castilla-La Mancha;2008;4.152
TOTAL;Castilla-La Mancha;2007;3.992
TOTAL;Cataluña;2024;11.184
TOTAL;Cataluña;2023;10.984
TOTAL;Cataluña;2022;10.821
TOTAL;Cataluña;2021;10.811
TOTAL;Cataluña;2020;10.600
TOTAL;Cataluña;2019;10.763
TOTAL;Cataluña;2018;9.029
TOTAL;Cataluña;2017;7.856
TOTAL;Cataluña;2016;8.105
TOTAL;Cataluña;2015;8.051
TOTAL;Cataluña;2014;7.898
TOTAL;Cataluña;2013;7.666
TOTAL;Cataluña;2012;8.219
TOTAL;Cataluña;2011;8.160
TOTAL;Cataluña;2010;7.957
TOTAL;Cataluña;2009;7.579
TOTAL;Cataluña;2008;7.464
TOTAL;Cataluña;2007;7.392
TOTAL;Comunitat Valenciana;2024;6.190
TOTAL;Comunitat Valenciana;2023;6.057
TOTAL;Comunitat Valenciana;2022;5.876
TOTAL;Comunitat Valenciana;2021;6.069
TOTAL;Comunitat Valenciana;2020;6.137
TOTAL;Comunitat Valenciana;2019;6.239
TOTAL;Comunitat Valenciana;2018;7.188
TOTAL;Comunitat Valenciana;2017;6.405
TOTAL;Comunitat Valenciana;2016;6.247
TOTAL;Comunitat Valenciana;2015;6.054
TOTAL;Comunitat Valenciana;2014;5.921
TOTAL;Comunitat Valenciana;2013;5.220
TOTAL;Comunitat Valenciana;2012;5.222
TOTAL;Comunitat Valenciana;2011;5.342
TOTAL;Comunitat Valenciana;2010;5.180
TOTAL;Comunitat Valenciana;2009;4.987
TOTAL;Comunitat Valenciana;2008;5.102
TOTAL;Comunitat Valenciana;2007;4.794
TOTAL;Extremadura;2024;2.838
TOTAL;Extremadura;2023;2.854
TOTAL;Extremadura;2022;2.756
TOTAL;Extremadura;2021;2.834
TOTAL;Extremadura;2020;2.805
TOTAL;Extremadura;2019;2.630
TOTAL;Extremadura;2018;3.002
TOTAL;Extremadura;2017;2.751
TOTAL;Extremadura;2016;2.520
TOTAL;Extremadura;2015;2.437
TOTAL;Extremadura;2014;2.392
TOTAL;Extremadura;2013;2.402
TOTAL;Extremadura;2012;2.462
TOTAL;Extremadura;2011;1.555
TOTAL;Extremadura;2010;1.680
TOTAL;Extremadura;2009;1.636
TOTAL;Extremadura;2008;1.586
TOTAL;Extremadura;2007;1.807
TOTAL;Galicia;2024;5.927
TOTAL;Galicia;2023;5.760
TOTAL;Galicia;2022;5.640
TOTAL;Galicia;2021;5.459
TOTAL;Galicia;2020;5.501
TOTAL;Galicia;2019;5.767
TOTAL;Galicia;2018;6.794
TOTAL;Galicia;2017;5.143
TOTAL;Galicia;2016;4.747
TOTAL;Galicia;2015;4.623
TOTAL;Galicia;2014;4.525
TOTAL;Galicia;2013;4.409
TOTAL;Galicia;2012;4.276
TOTAL;Galicia;2011;4.236
TOTAL;Galicia;2010;4.178
TOTAL;Galicia;2009;4.251
TOTAL;Galicia;2008;4.214
TOTAL;Galicia;2007;4.108
TOTAL;Madrid, Comunidad de;2024;6.452
TOTAL;Madrid, Comunidad de;2023;6.312
TOTAL;Madrid, Comunidad de;2022;6.202
TOTAL;Madrid, Comunidad de;2021;5.422
TOTAL;Madrid, Comunidad de;2020;5.909
TOTAL;Madrid, Comunidad de;2019;5.794
TOTAL;Madrid, Comunidad de;2018;5.347
TOTAL;Madrid, Comunidad de;2017;4.315
TOTAL;Madrid, Comunidad de;2016;3.999
TOTAL;Madrid, Comunidad de;2015;3.999
TOTAL;Madrid, Comunidad de;2014;4.037
TOTAL;Madrid, Comunidad de;2013;3.941
TOTAL;Madrid, Comunidad de;2012;3.854
TOTAL;Madrid, Comunidad de;2011;3.780
TOTAL;Madrid, Comunidad de;2010;3.815
TOTAL;Madrid, Comunidad de;2009;3.761
TOTAL;Madrid, Comunidad de;2008;3.775
TOTAL;Madrid, Comunidad de;2007;3.863
TOTAL;Murcia, Región de;2024;3.131
TOTAL;Murcia, Región de;2023;3.066
TOTAL;Murcia, Región de;2022;3.019
TOTAL;Murcia, Región de;2021;3.725
TOTAL;Murcia, Región de;2020;2.945
TOTAL;Murcia, Región de;2019;2.890
TOTAL;Murcia, Región de;2018;3.747
TOTAL;Murcia, Región de;2017;2.730
TOTAL;Murcia, Región de;2016;2.634
TOTAL;Murcia, Región de;2015;2.473
TOTAL;Murcia, Región de;2014;2.851
TOTAL;Murcia, Región de;2013;2.595
TOTAL;Murcia, Región de;2012;2.050
TOTAL;Murcia, Región de;2011;1.578
TOTAL;Murcia, Región de;2010;1.518
TOTAL;Murcia, Región de;2009;1.563
TOTAL;Murcia, Región de;2008;1.603
TOTAL;Murcia, Región de;2007;1.603
TOTAL;Navarra, Comunidad Foral de;2024;1.313
TOTAL;Navarra, Comunidad Foral de;2023;1.318
TOTAL;Navarra, Comunidad Foral de;2022;1.316
TOTAL;Navarra, Comunidad Foral de;2021;1.217
TOTAL;Navarra, Comunidad Foral de;2020;1.328
TOTAL;Navarra, Comunidad Foral de;2019;1.305
TOTAL;Navarra, Comunidad Foral de;2018;1.477
TOTAL;Navarra, Comunidad Foral de;2017;1.338
TOTAL;Navarra, Comunidad Foral de;2016;1.303
TOTAL;Navarra, Comunidad Foral de;2015;1.199
TOTAL;Navarra, Comunidad Foral de;2014;1.146
TOTAL;Navarra, Comunidad Foral de;2013;1.133
TOTAL;Navarra, Comunidad Foral de;2012;1.105
TOTAL;Navarra, Comunidad Foral de;2011;1.094
TOTAL;Navarra, Comunidad Foral de;2010;1.084
TOTAL;Navarra, Comunidad Foral de;2009;1.060
TOTAL;Navarra, Comunidad Foral de;2008;1.044
TOTAL;Navarra, Comunidad Foral de;2007;1.057
TOTAL;País Vasco;2024;4.223
TOTAL;País Vasco;2023;4.238
TOTAL;País Vasco;2022;4.385
TOTAL;País Vasco;2021;4.203
TOTAL;País Vasco;2020;4.282
TOTAL;País Vasco;2019;4.374
TOTAL;País Vasco;2018;3.591
TOTAL;País Vasco;2017;3.242
TOTAL;País Vasco;2016;3.110
TOTAL;País Vasco;2015;3.044
TOTAL;País Vasco;2014;2.929
TOTAL;País Vasco;2013;2.673
TOTAL;País Vasco;2012;2.789
TOTAL;País Vasco;2011;2.717
TOTAL;País Vasco;2010;2.715
TOTAL;País Vasco;2009;2.730
TOTAL;País Vasco;2008;2.810
TOTAL;País Vasco;2007;2.797
TOTAL;Rioja, La;2024;797
TOTAL;Rioja, La;2023;792
TOTAL;Rioja, La;2022;789
TOTAL;Rioja, La;2021;872
TOTAL;Rioja, La;2020;775
TOTAL;Rioja, La;2019;753
TOTAL;Rioja, La;2018;819
TOTAL;Rioja, La;2017;764
TOTAL;Rioja, La;2016;780
TOTAL;Rioja, La;2015;767
TOTAL;Rioja, La;2014;779
TOTAL;Rioja, La;2013;699
TOTAL;Rioja, La;2012;664
TOTAL;Rioja, La;2011;688
TOTAL;Rioja, La;2010;675
TOTAL;Rioja, La;2009;680
TOTAL;Rioja, La;2008;677
TOTAL;Rioja, La;2007;638
TOTAL;Ceuta;2024;213
TOTAL;Ceuta;2023;207
TOTAL;Ceuta;2022;182
TOTAL;Ceuta;2021;154
TOTAL;Ceuta;2020;147
TOTAL;Ceuta;2019;140
TOTAL;Ceuta;2018;175
TOTAL;Ceuta;2017;131
TOTAL;Ceuta;2016;124
TOTAL;Ceuta;2015;279
TOTAL;Ceuta;2014;265
TOTAL;Ceuta;2013;259
TOTAL;Ceuta;2012;255
TOTAL;Ceuta;2011;253
TOTAL;Ceuta;2010;249
TOTAL;Ceuta;2009;246
TOTAL;Ceuta;2008;252
TOTAL;Ceuta;2007;243
TOTAL;Melilla;2024;151
TOTAL;Melilla;2023;143
TOTAL;Melilla;2022;143
TOTAL;Melilla;2021;142
TOTAL;Melilla;2020;147
TOTAL;Melilla;2019;151
TOTAL;Melilla;2018;177
TOTAL;Melilla;2017;133
TOTAL;Melilla;2016;135
TOTAL;Melilla;2015;153
TOTAL;Melilla;2014;142
TOTAL;Melilla;2013;110
TOTAL;Melilla;2012;147
TOTAL;Melilla;2011;156
TOTAL;Melilla;2010;139
TOTAL;Melilla;2009;155
TOTAL;Melilla;2008;134
TOTAL;Melilla;2007;137
TOTAL;Sin territorializar;2024;377
TOTAL;Sin territorializar;2023;397
TOTAL;Sin territorializar;2022;360
TOTAL;Sin territorializar;2021;378
TOTAL;Sin territorializar;2020;55
TOTAL;Sin territorializar;2019;52
TOTAL;Sin territorializar;2018;15
TOTAL;Sin territorializar;2017;22
TOTAL;Sin territorializar;2016;1
TOTAL;Sin territorializar;2015;12
TOTAL;Sin territorializar;2014;7
TOTAL;Sin territorializar;2013;0
TOTAL;Sin territorializar;2012;22
TOTAL;Sin territorializar;2011;0
TOTAL;Sin territorializar;2010;0
TOTAL;Sin territorializar;2009;0
TOTAL;Sin territorializar;2008;0
TOTAL;Sin territorializar;2007;0
Actividades Subacuáticas;TOTAL;2024;945
Actividades Subacuáticas;TOTAL;2023;897
Actividades Subacuáticas;TOTAL;2022;895
Actividades Subacuáticas;TOTAL;2021;908
Actividades Subacuáticas;TOTAL;2020;909
Actividades Subacuáticas;TOTAL;2019;964
Actividades Subacuáticas;TOTAL;2018;988
Actividades Subacuáticas;TOTAL;2017;988
Actividades Subacuáticas;TOTAL;2016;989
Actividades Subacuáticas;TOTAL;2015;990
Actividades Subacuáticas;TOTAL;2014;996
Actividades Subacuáticas;TOTAL;2013;991
Actividades Subacuáticas;TOTAL;2012;1.180
Actividades Subacuáticas;TOTAL;2011;1.101
Actividades Subacuáticas;TOTAL;2010;1.101
Actividades Subacuáticas;TOTAL;2009;1.101
Actividades Subacuáticas;TOTAL;2008;1.101
Actividades Subacuáticas;TOTAL;2007;1.471
Actividades Subacuáticas;Andalucía;2024;83
Actividades Subacuáticas;Andalucía;2023;77
Actividades Subacuáticas;Andalucía;2022;73
Actividades Subacuáticas;Andalucía;2021;78
Actividades Subacuáticas;Andalucía;2020;79
Actividades Subacuáticas;Andalucía;2019;162
Actividades Subacuáticas;Andalucía;2018;154
Actividades Subacuáticas;Andalucía;2017;154
Actividades Subacuáticas;Andalucía;2016;151
Actividades Subacuáticas;Andalucía;2015;137
Actividades Subacuáticas;Andalucía;2014;137
Actividades Subacuáticas;Andalucía;2013;137
Actividades Subacuáticas;Andalucía;2012;144
Actividades Subacuáticas;Andalucía;2011;129
Actividades Subacuáticas;Andalucía;2010;129
Actividades Subacuáticas;Andalucía;2009;129
Actividades Subacuáticas;Andalucía;2008;129
Actividades Subacuáticas;Andalucía;2007;197
Actividades Subacuáticas;Aragón;2024;21
Actividades Subacuáticas;Aragón;2023;21
Actividades Subacuáticas;Aragón;2022;21
Actividades Subacuáticas;Aragón;2021;19
Actividades Subacuáticas;Aragón;2020;19
Actividades Subacuáticas;Aragón;2019;18
Actividades Subacuáticas;Aragón;2018;22
Actividades Subacuáticas;Aragón;2017;22
Actividades Subacuáticas;Aragón;2016;20
Actividades Subacuáticas;Aragón;2015;23
Actividades Subacuáticas;Aragón;2014;23
Actividades Subacuáticas;Aragón;2013;23
Actividades Subacuáticas;Aragón;2012;41
Actividades Subacuáticas;Aragón;2011;22
Actividades Subacuáticas;Aragón;2010;22
Actividades Subacuáticas;Aragón;2009;22
Actividades Subacuáticas;Aragón;2008;22
Actividades Subacuáticas;Aragón;2007;32
Actividades Subacuáticas;Asturias, Principado de;2024;32
Actividades Subacuáticas;Asturias, Principado de;2023;40
Actividades Subacuáticas;Asturias, Principado de;2022;39
Actividades Subacuáticas;Asturias, Principado de;2021;38
Actividades Subacuáticas;Asturias, Principado de;2020;37
Actividades Subacuáticas;Asturias, Principado de;2019;36
Actividades Subacuáticas;Asturias, Principado de;2018;45
Actividades Subacuáticas;Asturias, Principado de;2017;45
Actividades Subacuáticas;Asturias, Principado de;2016;44
Actividades Subacuáticas;Asturias, Principado de;2015;33
Actividades Subacuáticas;Asturias, Principado de;2014;33
Actividades Subacuáticas;Asturias, Principado de;2013;33
Actividades Subacuáticas;Asturias, Principado de;2012;57
Actividades Subacuáticas;Asturias, Principado de;2011;33
Actividades Subacuáticas;Asturias, Principado de;2010;33
Actividades Subacuáticas;Asturias, Principado de;2009;33
Actividades Subacuáticas;Asturias, Principado de;2008;33
Actividades Subacuáticas;Asturias, Principado de;2007;55
Actividades Subacuáticas;Balears, Illes;2024;35
Actividades Subacuáticas;Balears, Illes;2023;36
Actividades Subacuáticas;Balears, Illes;2022;36
Actividades Subacuáticas;Balears, Illes;2021;36
Actividades Subacuáticas;Balears, Illes;2020;39
Actividades Subacuáticas;Balears, Illes;2019;36
Actividades Subacuáticas;Balears, Illes;2018;35
Actividades Subacuáticas;Balears, Illes;2017;35
Actividades Subacuáticas;Balears, Illes;2016;35
Actividades Subacuáticas;Balears, Illes;2015;44
Actividades Subacuáticas;Balears, Illes;2014;44
Actividades Subacuáticas;Balears, Illes;2013;44
Actividades Subacuáticas;Balears, Illes;2012;42
Actividades Subacuáticas;Balears, Illes;2011;40
Actividades Subacuáticas;Balears, Illes;2010;40
Actividades Subacuáticas;Balears, Illes;2009;40
Actividades Subacuáticas;Balears, Illes;2008;40
Actividades Subacuáticas;Balears, Illes;2007;108
Actividades Subacuáticas;Canarias;2024;134
Actividades Subacuáticas;Canarias;2023;131
Actividades Subacuáticas;Canarias;2022;127
Actividades Subacuáticas;Canarias;2021;123
Actividades Subacuáticas;Canarias;2020;113
Actividades Subacuáticas;Canarias;2019;107
Actividades Subacuáticas;Canarias;2018;107
Actividades Subacuáticas;Canarias;2017;107
Actividades Subacuáticas;Canarias;2016;109
Actividades Subacuáticas;Canarias;2015;144
Actividades Subacuáticas;Canarias;2014;144
Actividades Subacuáticas;Canarias;2013;144
Actividades Subacuáticas;Canarias;2012;141
Actividades Subacuáticas;Canarias;2011;121
Actividades Subacuáticas;Canarias;2010;121
Actividades Subacuáticas;Canarias;2009;121
Actividades Subacuáticas;Canarias;2008;121
Actividades Subacuáticas;Canarias;2007;201
Actividades Subacuáticas;Cantabria;2024;23
Actividades Subacuáticas;Cantabria;2023;20
Actividades Subacuáticas;Cantabria;2022;19
Actividades Subacuáticas;Cantabria;2021;22
Actividades Subacuáticas;Cantabria;2020;22
Actividades Subacuáticas;Cantabria;2019;14
Actividades Subacuáticas;Cantabria;2018;22
Actividades Subacuáticas;Cantabria;2017;22
Actividades Subacuáticas;Cantabria;2016;20
Actividades Subacuáticas;Cantabria;2015;20
Actividades Subacuáticas;Cantabria;2014;20
Actividades Subacuáticas;Cantabria;2013;20
Actividades Subacuáticas;Cantabria;2012;36
Actividades Subacuáticas;Cantabria;2011;27
Actividades Subacuáticas;Cantabria;2010;27
Actividades Subacuáticas;Cantabria;2009;27
Actividades Subacuáticas;Cantabria;2008;27
Actividades Subacuáticas;Cantabria;2007;27
Actividades Subacuáticas;Castilla y León;2024;36
Actividades Subacuáticas;Castilla y León;2023;36
Actividades Subacuáticas;Castilla y León;2022;34
Actividades Subacuáticas;Castilla y León;2021;34
Actividades Subacuáticas;Castilla y León;2020;33
Actividades Subacuáticas;Castilla y León;2019;30
Actividades Subacuáticas;Castilla y León;2018;33
Actividades Subacuáticas;Castilla y León;2017;33
Actividades Subacuáticas;Castilla y León;2016;31
Actividades Subacuáticas;Castilla y León;2015;29
Actividades Subacuáticas;Castilla y León;2014;29
Actividades Subacuáticas;Castilla y León;2013;29
Actividades Subacuáticas;Castilla y León;2012;24
Actividades Subacuáticas;Castilla y León;2011;34
Actividades Subacuáticas;Castilla y León;2010;34
Actividades Subacuáticas;Castilla y León;2009;34
Actividades Subacuáticas;Castilla y León;2008;34
Actividades Subacuáticas;Castilla y León;2007;34
Actividades Subacuáticas;Castilla-La Mancha;2024;21
Actividades Subacuáticas;Castilla-La Mancha;2023;20
Actividades Subacuáticas;Castilla-La Mancha;2022;20
Actividades Subacuáticas;Castilla-La Mancha;2021;20
Actividades Subacuáticas;Castilla-La Mancha;2020;19
Actividades Subacuáticas;Castilla-La Mancha;2019;19
Actividades Subacuáticas;Castilla-La Mancha;2018;19
Actividades Subacuáticas;Castilla-La Mancha;2017;19
Actividades Subacuáticas;Castilla-La Mancha;2016;18
Actividades Subacuáticas;Castilla-La Mancha;2015;15
Actividades Subacuáticas;Castilla-La Mancha;2014;15
Actividades Subacuáticas;Castilla-La Mancha;2013;15
Actividades Subacuáticas;Castilla-La Mancha;2012;13
Actividades Subacuáticas;Castilla-La Mancha;2011;29
Actividades Subacuáticas;Castilla-La Mancha;2010;29
Actividades Subacuáticas;Castilla-La Mancha;2009;29
Actividades Subacuáticas;Castilla-La Mancha;2008;29
Actividades Subacuáticas;Castilla-La Mancha;2007;27
Actividades Subacuáticas;Cataluña;2024;182
Actividades Subacuáticas;Cataluña;2023;135
Actividades Subacuáticas;Cataluña;2022;139
Actividades Subacuáticas;Cataluña;2021;118
Actividades Subacuáticas;Cataluña;2020;110
Actividades Subacuáticas;Cataluña;2019;108
Actividades Subacuáticas;Cataluña;2018;124
Actividades Subacuáticas;Cataluña;2017;124
Actividades Subacuáticas;Cataluña;2016;123
Actividades Subacuáticas;Cataluña;2015;136
Actividades Subacuáticas;Cataluña;2014;136
Actividades Subacuáticas;Cataluña;2013;136
Actividades Subacuáticas;Cataluña;2012;250
Actividades Subacuáticas;Cataluña;2011;241
Actividades Subacuáticas;Cataluña;2010;241
Actividades Subacuáticas;Cataluña;2009;241
Actividades Subacuáticas;Cataluña;2008;241
Actividades Subacuáticas;Cataluña;2007;241
Actividades Subacuáticas;Comunitat Valenciana;2024;106
Actividades Subacuáticas;Comunitat Valenciana;2023;100
Actividades Subacuáticas;Comunitat Valenciana;2022;105
Actividades Subacuáticas;Comunitat Valenciana;2021;102
Actividades Subacuáticas;Comunitat Valenciana;2020;106
Actividades Subacuáticas;Comunitat Valenciana;2019;108
Actividades Subacuáticas;Comunitat Valenciana;2018;102
Actividades Subacuáticas;Comunitat Valenciana;2017;102
Actividades Subacuáticas;Comunitat Valenciana;2016;116
Actividades Subacuáticas;Comunitat Valenciana;2015;115
Actividades Subacuáticas;Comunitat Valenciana;2014;115
Actividades Subacuáticas;Comunitat Valenciana;2013;115
Actividades Subacuáticas;Comunitat Valenciana;2012;106
Actividades Subacuáticas;Comunitat Valenciana;2011;64
Actividades Subacuáticas;Comunitat Valenciana;2010;64
Actividades Subacuáticas;Comunitat Valenciana;2009;64
Actividades Subacuáticas;Comunitat Valenciana;2008;64
Actividades Subacuáticas;Comunitat Valenciana;2007;129
Actividades Subacuáticas;Extremadura;2024;15
Actividades Subacuáticas;Extremadura;2023;14
Actividades Subacuáticas;Extremadura;2022;13
Actividades Subacuáticas;Extremadura;2021;12
Actividades Subacuáticas;Extremadura;2020;11
Actividades Subacuáticas;Extremadura;2019;11
Actividades Subacuáticas;Extremadura;2018;9
Actividades Subacuáticas;Extremadura;2017;9
Actividades Subacuáticas;Extremadura;2016;8
Actividades Subacuáticas;Extremadura;2015;11
Actividades Subacuáticas;Extremadura;2014;11
Actividades Subacuáticas;Extremadura;2013;11
Actividades Subacuáticas;Extremadura;2012;11
Actividades Subacuáticas;Extremadura;2011;8
Actividades Subacuáticas;Extremadura;2010;8
Actividades Subacuáticas;Extremadura;2009;8
Actividades Subacuáticas;Extremadura;2008;8
Actividades Subacuáticas;Extremadura;2007;10
Actividades Subacuáticas;Galicia;2024;64
Actividades Subacuáticas;Galicia;2023;63
Actividades Subacuáticas;Galicia;2022;63
Actividades Subacuáticas;Galicia;2021;62
Actividades Subacuáticas;Galicia;2020;61
Actividades Subacuáticas;Galicia;2019;59
Actividades Subacuáticas;Galicia;2018;79
Actividades Subacuáticas;Galicia;2017;79
Actividades Subacuáticas;Galicia;2016;80
Actividades Subacuáticas;Galicia;2015;95
Actividades Subacuáticas;Galicia;2014;95
Actividades Subacuáticas;Galicia;2013;95
Actividades Subacuáticas;Galicia;2012;95
Actividades Subacuáticas;Galicia;2011;117
Actividades Subacuáticas;Galicia;2010;117
Actividades Subacuáticas;Galicia;2009;117
Actividades Subacuáticas;Galicia;2008;117
Actividades Subacuáticas;Galicia;2007;117
Actividades Subacuáticas;Madrid, Comunidad de;2024;41
Actividades Subacuáticas;Madrid, Comunidad de;2023;45
Actividades Subacuáticas;Madrid, Comunidad de;2022;52
Actividades Subacuáticas;Madrid, Comunidad de;2021;49
Actividades Subacuáticas;Madrid, Comunidad de;2020;45
Actividades Subacuáticas;Madrid, Comunidad de;2019;44
Actividades Subacuáticas;Madrid, Comunidad de;2018;38
Actividades Subacuáticas;Madrid, Comunidad de;2017;38
Actividades Subacuáticas;Madrid, Comunidad de;2016;38
Actividades Subacuáticas;Madrid, Comunidad de;2015;36
Actividades Subacuáticas;Madrid, Comunidad de;2014;36
Actividades Subacuáticas;Madrid, Comunidad de;2013;36
Actividades Subacuáticas;Madrid, Comunidad de;2012;48
Actividades Subacuáticas;Madrid, Comunidad de;2011;51
Actividades Subacuáticas;Madrid, Comunidad de;2010;51
Actividades Subacuáticas;Madrid, Comunidad de;2009;51
Actividades Subacuáticas;Madrid, Comunidad de;2008;51
Actividades Subacuáticas;Madrid, Comunidad de;2007;96
Actividades Subacuáticas;Murcia, Región de;2024;76
Actividades Subacuáticas;Murcia, Región de;2023;83
Actividades Subacuáticas;Murcia, Región de;2022;83
Actividades Subacuáticas;Murcia, Región de;2021;75
Actividades Subacuáticas;Murcia, Región de;2020;97
