Federación;Clubs deportivos federados;periodo;Total
Billar;Nº de clubs;2011;264
Billar;Nº de clubs;2010;264
Billar;Nº de clubs;2009;264
Billar;Nº de clubs;2008;264
Billar;Nº de clubs;2007;255
Billar;Nº medio de licencias;2024;14,2
Billar;Nº medio de licencias;2023;15,4
Billar;Nº medio de licencias;2022;15,5
Billar;Nº medio de licencias;2021;16,7
Billar;Nº medio de licencias;2020;9,2
Billar;Nº medio de licencias;2019;14,4
Billar;Nº medio de licencias;2018;16,8
Billar;Nº medio de licencias;2017;9,1
Billar;Nº medio de licencias;2016;12,5
Billar;Nº medio de licencias;2015;10,7
Billar;Nº medio de licencias;2014;11,0
Billar;Nº medio de licencias;2013;7,5
Billar;Nº medio de licencias;2012;6,8
Billar;Nº medio de licencias;2011;12,2
Billar;Nº medio de licencias;2010;9,1
Billar;Nº medio de licencias;2009;9,5
Billar;Nº medio de licencias;2008;11,6
Billar;Nº medio de licencias;2007;8,7
Bolos;Nº de clubs;2024;345
Bolos;Nº de clubs;2023;315
Bolos;Nº de clubs;2022;311
Bolos;Nº de clubs;2021;277
Bolos;Nº de clubs;2020;329
Bolos;Nº de clubs;2019;344
Bolos;Nº de clubs;2018;358
Bolos;Nº de clubs;2017;380
Bolos;Nº de clubs;2016;396
Bolos;Nº de clubs;2015;332
Bolos;Nº de clubs;2014;324
Bolos;Nº de clubs;2013;208
Bolos;Nº de clubs;2012;214
Bolos;Nº de clubs;2011;212
Bolos;Nº de clubs;2010;225
Bolos;Nº de clubs;2009;377
Bolos;Nº de clubs;2008;375
Bolos;Nº de clubs;2007;833
Bolos;Nº medio de licencias;2024;20,4
Bolos;Nº medio de licencias;2023;20,4
Bolos;Nº medio de licencias;2022;23,7
Bolos;Nº medio de licencias;2021;19,8
Bolos;Nº medio de licencias;2020;20,5
Bolos;Nº medio de licencias;2019;23,6
Bolos;Nº medio de licencias;2018;27,3
Bolos;Nº medio de licencias;2017;25,9
Bolos;Nº medio de licencias;2016;22,3
Bolos;Nº medio de licencias;2015;24,9
Bolos;Nº medio de licencias;2014;29,0
Bolos;Nº medio de licencias;2013;33,2
Bolos;Nº medio de licencias;2012;39,1
Bolos;Nº medio de licencias;2011;46,8
Bolos;Nº medio de licencias;2010;43,7
Bolos;Nº medio de licencias;2009;30,8
Bolos;Nº medio de licencias;2008;33,1
Bolos;Nº medio de licencias;2007;14,2
Boxeo;Nº de clubs;2024;719
Boxeo;Nº de clubs;2023;708
Boxeo;Nº de clubs;2022;628
