Comunidad autónoma-tamaño de municipio;Indicador;Frecuencia;Total
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,1
Extremadura;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,1
Galicia;En % de la población de cada colectivo;Total practicaron en el último año;53,1
Galicia;En % de la población de cada colectivo;Todos los días;18,2
Galicia;En % de la población de cada colectivo;Al menos una vez a la semana;42,2
Galicia;En % de la población de cada colectivo;Al menos una vez al mes;49,2
Galicia;En % de la población de cada colectivo;Al menos una vez al trimestre;51,2
Galicia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Galicia;En % de los que practican deporte de cada colectivo;Todos los días;34,2
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;79,4
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;92,6
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;96,4
Madrid, Comunidad de;En % de la población de cada colectivo;Total practicaron en el último año;67,7
Madrid, Comunidad de;En % de la población de cada colectivo;Todos los días;27,2
Madrid, Comunidad de;En % de la población de cada colectivo;Al menos una vez a la semana;56,8
Madrid, Comunidad de;En % de la población de cada colectivo;Al menos una vez al mes;64,1
Madrid, Comunidad de;En % de la población de cada colectivo;Al menos una vez al trimestre;66,7
Madrid, Comunidad de;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Madrid, Comunidad de;En % de los que practican deporte de cada colectivo;Todos los días;40,2
Madrid, Comunidad de;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;83,9
Madrid, Comunidad de;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;94,7
Madrid, Comunidad de;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,5
Murcia, Región de;En % de la población de cada colectivo;Total practicaron en el último año;63,6
Murcia, Región de;En % de la población de cada colectivo;Todos los días;20,1
Murcia, Región de;En % de la población de cada colectivo;Al menos una vez a la semana;53,3
Murcia, Región de;En % de la población de cada colectivo;Al menos una vez al mes;60,5
Murcia, Región de;En % de la población de cada colectivo;Al menos una vez al trimestre;62,9
Murcia, Región de;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Murcia, Región de;En % de los que practican deporte de cada colectivo;Todos los días;31,6
Murcia, Región de;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;83,9
Murcia, Región de;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,2
Murcia, Región de;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,9
Navarra, Comunidad Foral de;En % de la población de cada colectivo;Total practicaron en el último año;69,8
Navarra, Comunidad Foral de;En % de la población de cada colectivo;Todos los días;28,3
Navarra, Comunidad Foral de;En % de la población de cada colectivo;Al menos una vez a la semana;60,1
Navarra, Comunidad Foral de;En % de la población de cada colectivo;Al menos una vez al mes;66,8
Navarra, Comunidad Foral de;En % de la población de cada colectivo;Al menos una vez al trimestre;68,9
Navarra, Comunidad Foral de;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Navarra, Comunidad Foral de;En % de los que practican deporte de cada colectivo;Todos los días;40,6
Navarra, Comunidad Foral de;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;86,1
Navarra, Comunidad Foral de;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,8
Navarra, Comunidad Foral de;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,8
País Vasco;En % de la población de cada colectivo;Total practicaron en el último año;65,6
País Vasco;En % de la población de cada colectivo;Todos los días;25,0
País Vasco;En % de la población de cada colectivo;Al menos una vez a la semana;57,5
País Vasco;En % de la población de cada colectivo;Al menos una vez al mes;62,2
País Vasco;En % de la población de cada colectivo;Al menos una vez al trimestre;63,7
País Vasco;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
País Vasco;En % de los que practican deporte de cada colectivo;Todos los días;38,1
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,6
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;94,9
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,1
Rioja, La;En % de la población de cada colectivo;Total practicaron en el último año;58,0
Rioja, La;En % de la población de cada colectivo;Todos los días;26,5
Rioja, La;En % de la población de cada colectivo;Al menos una vez a la semana;52,9
Rioja, La;En % de la población de cada colectivo;Al menos una vez al mes;56,1
Rioja, La;En % de la población de cada colectivo;Al menos una vez al trimestre;56,9
Rioja, La;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Rioja, La;En % de los que practican deporte de cada colectivo;Todos los días;45,8
Rioja, La;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,3
Rioja, La;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;96,8
Rioja, La;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,2
Ceuta y Melilla;En % de la población de cada colectivo;Total practicaron en el último año;56,4
Ceuta y Melilla;En % de la población de cada colectivo;Todos los días;24,5
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez a la semana;47,6
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez al mes;54,0
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez al trimestre;55,6
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Todos los días;43,4
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;84,5
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,8
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,7
Capitales de provincia;En % de la población de cada colectivo;Total practicaron en el último año;66,0
Capitales de provincia;En % de la población de cada colectivo;Todos los días;24,9
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez a la semana;55,8
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al mes;63,0
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al trimestre;64,8
Capitales de provincia;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Capitales de provincia;En % de los que practican deporte de cada colectivo;Todos los días;37,7
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;84,6
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,4
Capitales de provincia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,2
De más de 50.000 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;62,1
De más de 50.000 habitantes;En % de la población de cada colectivo;Todos los días;27,3
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;53,4
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;59,4
De más de 50.000 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;61,1
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;44,0
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;85,9
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,6
De más de 50.000 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,3
De menos de 50.001 habitantes;En % de la población de cada colectivo;Total practicaron en el último año;60,7
De menos de 50.001 habitantes;En % de la población de cada colectivo;Todos los días;25,2
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez a la semana;52,8
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al mes;58,0
De menos de 50.001 habitantes;En % de la población de cada colectivo;Al menos una vez al trimestre;59,8
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Todos los días;41,5
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;87,0
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;95,6
De menos de 50.001 habitantes;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,5
