Comunidad autónoma y tamaño del municipio;Indicador;Frecuencia;Total
País Vasco;En % de la población de cada colectivo;Al menos una vez al mes;50,9
País Vasco;En % de la población de cada colectivo;Al menos una vez al trimestre;54,2
País Vasco;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
País Vasco;En % de los que practican deporte de cada colectivo;Todos los días;36,0
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;85,5
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;92,6
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;98,8
Rioja (La);En % de la población de cada colectivo;Total practicaron en el último año;52,8
Rioja (La);En % de la población de cada colectivo;Todos los días;15,6
Rioja (La);En % de la población de cada colectivo;Al menos una vez a la semana;45,0
Rioja (La);En % de la población de cada colectivo;Al menos una vez al mes;48,9
Rioja (La);En % de la población de cada colectivo;Al menos una vez al trimestre;51,4
Rioja (La);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Rioja (La);En % de los que practican deporte de cada colectivo;Todos los días;29,5
Rioja (La);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;85,2
Rioja (La);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;92,7
Rioja (La);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;97,4
Ceuta y Melilla;En % de la población de cada colectivo;Total practicaron en el último año;51,0
Ceuta y Melilla;En % de la población de cada colectivo;Todos los días;23,9
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez a la semana;46,7
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez al mes;50,2
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez al trimestre;50,7
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;100,0
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Todos los días;46,8
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;91,4
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;98,4
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;99,4
Capitales de provincia;En % de la población de cada colectivo;Total practicaron en el último año;55,6
Capitales de provincia;En % de la población de cada colectivo;Todos los días;19,5
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez a la semana;48,1
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al mes;53,1
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al trimestre;54,4
