Comunidad autónoma y tamaño de municipio;Indicador;Frecuencia;periodo;Total
Galicia;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,6
Madrid (Comunidad de);En % de la población de cada colectivo;Total practicaron en el último año;2022;62,0
Madrid (Comunidad de);En % de la población de cada colectivo;Todos los días;2022;24,6
Madrid (Comunidad de);En % de la población de cada colectivo;Al menos una vez a la semana;2022;56,8
Madrid (Comunidad de);En % de la población de cada colectivo;Al menos una vez al mes;2022;60,2
Madrid (Comunidad de);En % de la población de cada colectivo;Al menos una vez al trimestre;2022;61,0
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Todos los días;2022;39,7
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,7
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;97,1
Madrid (Comunidad de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,4
Murcia (Región de);En % de la población de cada colectivo;Total practicaron en el último año;2022;59,2
Murcia (Región de);En % de la población de cada colectivo;Todos los días;2022;25,4
Murcia (Región de);En % de la población de cada colectivo;Al menos una vez a la semana;2022;55,1
Murcia (Región de);En % de la población de cada colectivo;Al menos una vez al mes;2022;58,4
Murcia (Región de);En % de la población de cada colectivo;Al menos una vez al trimestre;2022;58,8
Murcia (Región de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Murcia (Región de);En % de los que practican deporte de cada colectivo;Todos los días;2022;42,9
Murcia (Región de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;93,1
Murcia (Región de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,6
Murcia (Región de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,4
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Total practicaron en el último año;2022;61,2
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Todos los días;2022;24,8
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Al menos una vez a la semana;2022;56,0
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Al menos una vez al mes;2022;60,4
Navarra (Comunidad Foral de);En % de la población de cada colectivo;Al menos una vez al trimestre;2022;61,0
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Todos los días;2022;40,6
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;91,6
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,8
Navarra (Comunidad Foral de);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,7
País Vasco;En % de la población de cada colectivo;Total practicaron en el último año;2022;62,5
País Vasco;En % de la población de cada colectivo;Todos los días;2022;27,9
País Vasco;En % de la población de cada colectivo;Al menos una vez a la semana;2022;58,9
País Vasco;En % de la población de cada colectivo;Al menos una vez al mes;2022;61,6
País Vasco;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;62,0
País Vasco;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
País Vasco;En % de los que practican deporte de cada colectivo;Todos los días;2022;44,7
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;94,2
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;98,6
País Vasco;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;99,2
Rioja (La);En % de la población de cada colectivo;Total practicaron en el último año;2022;57,0
Rioja (La);En % de la población de cada colectivo;Todos los días;2022;22,8
Rioja (La);En % de la población de cada colectivo;Al menos una vez a la semana;2022;51,8
Rioja (La);En % de la población de cada colectivo;Al menos una vez al mes;2022;55,2
Rioja (La);En % de la población de cada colectivo;Al menos una vez al trimestre;2022;56,1
Rioja (La);En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Rioja (La);En % de los que practican deporte de cada colectivo;Todos los días;2022;40,1
Rioja (La);En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;90,9
Rioja (La);En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;96,9
Rioja (La);En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;98,4
Ceuta y Melilla;En % de la población de cada colectivo;Total practicaron en el último año;2022;52,0
Ceuta y Melilla;En % de la población de cada colectivo;Todos los días;2022;24,6
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez a la semana;2022;48,0
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez al mes;2022;50,3
Ceuta y Melilla;En % de la población de cada colectivo;Al menos una vez al trimestre;2022;50,8
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Total practicaron en el último año;2022;100,0
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Todos los días;2022;47,3
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez a la semana;2022;92,3
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez al mes;2022;96,8
Ceuta y Melilla;En % de los que practican deporte de cada colectivo;Al menos una vez al trimestre;2022;97,6
Capitales de provincia;En % de la población de cada colectivo;Total practicaron en el último año;2022;60,0
Capitales de provincia;En % de la población de cada colectivo;Todos los días;2022;23,8
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez a la semana;2022;55,3
Capitales de provincia;En % de la población de cada colectivo;Al menos una vez al mes;2022;58,9
