Número de asalariados;Indicador;Actividad económica;periodo;Total
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2021;568,0
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2020;543,0
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2019;482,0
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2018;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2017;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2016;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2015;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2014;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2013;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2012;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2011;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2010;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2009;..
SIN ASALARIADOS;valores absolutos;8551 Educación deportiva y recreativa;2008;..
SIN ASALARIADOS;porcentaje;TOTAL;2024;37,4
SIN ASALARIADOS;porcentaje;TOTAL;2023;37,8
SIN ASALARIADOS;porcentaje;TOTAL;2022;43,0
SIN ASALARIADOS;porcentaje;TOTAL;2021;41,9
SIN ASALARIADOS;porcentaje;TOTAL;2020;41,7
SIN ASALARIADOS;porcentaje;TOTAL;2019;41,0
SIN ASALARIADOS;porcentaje;TOTAL;2018;43,1
SIN ASALARIADOS;porcentaje;TOTAL;2017;42,5
SIN ASALARIADOS;porcentaje;TOTAL;2016;42,2
SIN ASALARIADOS;porcentaje;TOTAL;2015;43,3
SIN ASALARIADOS;porcentaje;TOTAL;2014;43,1
SIN ASALARIADOS;porcentaje;TOTAL;2013;43,1
SIN ASALARIADOS;porcentaje;TOTAL;2012;46,4
SIN ASALARIADOS;porcentaje;TOTAL;2011;46,7
SIN ASALARIADOS;porcentaje;TOTAL;2010;45,0
SIN ASALARIADOS;porcentaje;TOTAL;2009;41,1
SIN ASALARIADOS;porcentaje;TOTAL;2008;40,0
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2024;40,4
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2023;40,8
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2022;46,1
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2021;44,3
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2020;44,2
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2019;42,9
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2018;43,1
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2017;42,0
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2016;40,9
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2015;41,6
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2014;41,0
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2013;40,3
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2012;43,2
SIN ASALARIADOS;porcentaje;931 Actividades deportivas;2011;43,5
