Indicador;Actividad económica;periodo;Total
En % total de empresas;323 Fabricación de artículos de deporte;2011;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2010;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2009;0,01
En % total de empresas;323 Fabricación de artículos de deporte;2008;0,01
En % total de empresas;4764 Comercio al por menor de art. deportivos;2024;0,10
En % total de empresas;4764 Comercio al por menor de art. deportivos;2023;0,10
En % total de empresas;4764 Comercio al por menor de art. deportivos;2022;0,15
En % total de empresas;4764 Comercio al por menor de art. deportivos;2021;0,15
En % total de empresas;4764 Comercio al por menor de art. deportivos;2020;0,16
En % total de empresas;4764 Comercio al por menor de art. deportivos;2019;0,17
En % total de empresas;4764 Comercio al por menor de art. deportivos;2018;0,18
En % total de empresas;4764 Comercio al por menor de art. deportivos;2017;0,19
En % total de empresas;4764 Comercio al por menor de art. deportivos;2016;0,21
En % total de empresas;4764 Comercio al por menor de art. deportivos;2015;0,22
En % total de empresas;4764 Comercio al por menor de art. deportivos;2014;0,23
En % total de empresas;4764 Comercio al por menor de art. deportivos;2013;0,23
En % total de empresas;4764 Comercio al por menor de art. deportivos;2012;0,24
En % total de empresas;4764 Comercio al por menor de art. deportivos;2011;0,24
En % total de empresas;4764 Comercio al por menor de art. deportivos;2010;0,24
En % total de empresas;4764 Comercio al por menor de art. deportivos;2009;0,23
En % total de empresas;4764 Comercio al por menor de art. deportivos;2008;0,23
En % total de empresas;8551 Educación deportiva y recreativa;2024;0,10
En % total de empresas;8551 Educación deportiva y recreativa;2023;0,10
En % total de empresas;8551 Educación deportiva y recreativa;2022;0,10
En % total de empresas;8551 Educación deportiva y recreativa;2021;0,09
En % total de empresas;8551 Educación deportiva y recreativa;2020;0,09
En % total de empresas;8551 Educación deportiva y recreativa;2019;0,08
En % total de empresas;8551 Educación deportiva y recreativa;2018;..
En % total de empresas;8551 Educación deportiva y recreativa;2017;..
En % total de empresas;8551 Educación deportiva y recreativa;2016;..
En % total de empresas;8551 Educación deportiva y recreativa;2015;..
En % total de empresas;8551 Educación deportiva y recreativa;2014;..
En % total de empresas;8551 Educación deportiva y recreativa;2013;..
En % total de empresas;8551 Educación deportiva y recreativa;2012;..
En % total de empresas;8551 Educación deportiva y recreativa;2011;..
En % total de empresas;8551 Educación deportiva y recreativa;2010;..
En % total de empresas;8551 Educación deportiva y recreativa;2009;..
En % total de empresas;8551 Educación deportiva y recreativa;2008;..
