Indicador;Actividad económica principal;periodo;Total
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2020;3.499.046
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2019;3.588.287
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2018;3.166.978
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2017;3.025.821
Inversión en activos materiales (Miles de euros);3230 Fabricación de artículos de deporte;2016;2.717.390
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2023;750.191
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2022;612.190
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2021;514.584
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2020;397.224
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2019;299.830
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2018;267.244
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2017;319.883
Inversión en activos materiales (Miles de euros);4764 Comercio al por menor de artículos deportivos;2016;212.149
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2023;3.298.867
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2022;3.153.644
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2021;3.114.607
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2020;2.885.348
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2019;2.887.330
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2018;2.597.891
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2017;2.304.959
Inversión en activos materiales (Miles de euros);9311 Gestión de instalaciones deportivas;2016;1.945.810
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2023;34.813
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2022;36.624
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2021;37.581
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2020;48.947
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2019;43.014
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2018;47.114
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2017;48.949
Inversión en activos materiales (Miles de euros);9312 Actividades de los clubes deportivos;2016;41.338
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2023;11.551
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2022;11.236
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2021;10.256
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2020;8.067
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2019;8.866
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2018;10.204
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2017;8.466
Inversión en activos materiales (Miles de euros);9313 Actividades de los gimnasios;2016;8.417
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2023;1.107.613
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2022;908.092
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2021;758.495
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2020;492.325
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2019;765.489
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2018;661.686
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2017;655.264
Inversión en activos materiales (Miles de euros);9319 Otras actividades deportivas;2016;663.352
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2023;1.105.092
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2022;910.678
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2021;760.991
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2020;484.453
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2019;762.612
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2018;632.664
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2017;617.211
Gastos de personal (Miles de euros);3230 Fabricación de artículos de deporte;2016;575.027
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2023;577.230
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2022;432.101
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2021;414.777
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2020;182.657
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2019;403.492
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2018;306.149
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2017;320.275
Gastos de personal (Miles de euros);4764 Comercio al por menor de artículos deportivos;2016;299.473
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2023;140.546
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2022;101.098
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2021;81.630
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2020;68.720
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2019;223.797
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2018;31.244
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2017;93.468
Gastos de personal (Miles de euros);9311 Gestión de instalaciones deportivas;2016;82.638
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2023;353.189
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2022;306.135
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2021;295.608
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2020;193.658
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2019;300.939
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2018;228.044
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2017;234.558
Gastos de personal (Miles de euros);9312 Actividades de los clubes deportivos;2016;234.058
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2023;29.344
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2022;27.496
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2021;28.851
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2020;27.458
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2019;33.759
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2018;27.495
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2017;26.178
Gastos de personal (Miles de euros);9313 Actividades de los gimnasios;2016;23.017
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2023;8.255
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2022;7.756
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2021;6.878
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2020;8.559
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2019;6.347
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2018;5.478
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2017;6.719
Gastos de personal (Miles de euros);9319 Otras actividades deportivas;2016;5.832
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2023;2.447.865
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2022;1.528.822
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2021;1.997.750
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2020;1.128.056
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2019;1.570.620
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2018;1.486.769
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2017;1.301.466
Personal ocupado (Media anual);3230 Fabricación de artículos de deporte;2016;1.081.176
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2023;2.320.390
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2022;1.447.990
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2021;1.919.415
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2020;1.074.446
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2019;1.475.599
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2018;1.400.225
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2017;1.015.848
Personal ocupado (Media anual);4764 Comercio al por menor de artículos deportivos;2016;900.417
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2023;1.077.929
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2022;919.796
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2021;988.533
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2020;740.955
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2019;1.058.043
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2018;808.653
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2017;617.705
Personal ocupado (Media anual);9311 Gestión de instalaciones deportivas;2016;503.563
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2023;65.672
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2022;44.332
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2021;85.601
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2020;34.905
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2019;70.300
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2018;24.845
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2017;29.203
Personal ocupado (Media anual);9312 Actividades de los clubes deportivos;2016;28.651
Personal ocupado (Media anual);9313 Actividades de los gimnasios;2023;503.573
