Indicador;Condición jurídica;periodo;Total
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2012;10.435,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2011;9.805,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2010;9.605,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2009;9.278,0
Valores absolutos;Sociedades anónimas o de responsabilidad limitadas;2008;9.023,0
Valores absolutos;Otras formas jurídicas;2024;12.017,0
Valores absolutos;Otras formas jurídicas;2023;11.477,0
Valores absolutos;Otras formas jurídicas;2022;14.067,0
Valores absolutos;Otras formas jurídicas;2021;13.101,0
Valores absolutos;Otras formas jurídicas;2020;13.089,0
Valores absolutos;Otras formas jurídicas;2019;12.411,0
Valores absolutos;Otras formas jurídicas;2018;10.937,0
Valores absolutos;Otras formas jurídicas;2017;10.573,0
Valores absolutos;Otras formas jurídicas;2016;10.165,0
Valores absolutos;Otras formas jurídicas;2015;9.387,0
Valores absolutos;Otras formas jurídicas;2014;8.357,0
Valores absolutos;Otras formas jurídicas;2013;7.461,0
Valores absolutos;Otras formas jurídicas;2012;7.004,0
Valores absolutos;Otras formas jurídicas;2011;6.688,0
Valores absolutos;Otras formas jurídicas;2010;6.442,0
Valores absolutos;Otras formas jurídicas;2009;5.966,0
Valores absolutos;Otras formas jurídicas;2008;6.310,0
En % total de empresas;TOTAL;2024;1,3
En % total de empresas;TOTAL;2023;1,3
En % total de empresas;TOTAL;2022;1,3
En % total de empresas;TOTAL;2021;1,2
En % total de empresas;TOTAL;2020;1,2
En % total de empresas;TOTAL;2019;1,2
En % total de empresas;TOTAL;2018;1,0
En % total de empresas;TOTAL;2017;1,0
En % total de empresas;TOTAL;2016;1,0
En % total de empresas;TOTAL;2015;1,0
En % total de empresas;TOTAL;2014;0,9
En % total de empresas;TOTAL;2013;0,9
En % total de empresas;TOTAL;2012;0,8
En % total de empresas;TOTAL;2011;0,8
En % total de empresas;TOTAL;2010;0,7
En % total de empresas;TOTAL;2009;0,7
En % total de empresas;TOTAL;2008;0,7
En % total de empresas;Personas físicas;2024;0,9
En % total de empresas;Personas físicas;2023;0,9
En % total de empresas;Personas físicas;2022;0,8
En % total de empresas;Personas físicas;2021;0,7
En % total de empresas;Personas físicas;2020;0,7
En % total de empresas;Personas físicas;2019;0,7
En % total de empresas;Personas físicas;2018;0,6
En % total de empresas;Personas físicas;2017;0,6
En % total de empresas;Personas físicas;2016;0,6
En % total de empresas;Personas físicas;2015;0,6
En % total de empresas;Personas físicas;2014;0,5
En % total de empresas;Personas físicas;2013;0,5
En % total de empresas;Personas físicas;2012;0,5
En % total de empresas;Personas físicas;2011;0,5
En % total de empresas;Personas físicas;2010;0,5
En % total de empresas;Personas físicas;2009;0,4
En % total de empresas;Personas físicas;2008;0,4
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2024;1,3
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2023;1,2
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2022;1,2
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2021;1,2
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2020;1,1
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2019;1,1
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2018;1,0
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2017;1,1
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2016;1,1
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2015;1,0
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2014;1,0
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2013;0,9
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2012;0,9
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2011;0,8
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2010;0,8
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2009;0,7
En % total de empresas;Sociedades anónimas o de responsabilidad limitadas;2008;0,7
En % total de empresas;Otras formas jurídicas;2024;4,5
En % total de empresas;Otras formas jurídicas;2023;4,3
En % total de empresas;Otras formas jurídicas;2022;4,7
En % total de empresas;Otras formas jurídicas;2021;4,5
En % total de empresas;Otras formas jurídicas;2020;4,2
En % total de empresas;Otras formas jurídicas;2019;4,2
En % total de empresas;Otras formas jurídicas;2018;3,8
En % total de empresas;Otras formas jurídicas;2017;3,6
En % total de empresas;Otras formas jurídicas;2016;3,2
En % total de empresas;Otras formas jurídicas;2015;2,9
En % total de empresas;Otras formas jurídicas;2014;2,7
En % total de empresas;Otras formas jurídicas;2013;2,4
