Condición jurídica;Indicador;Actividad económica;periodo;Total
HOMBRES;valores absolutos;323 Fabricación de artículos de deporte;2008;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;..
HOMBRES;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2024;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2023;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2022;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2021;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2020;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2019;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2018;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2017;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2016;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2015;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2014;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2013;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2012;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2011;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2010;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2009;..
HOMBRES;valores absolutos;8551 Educación deportiva y recreativa;2008;..
HOMBRES;porcentaje;TOTAL;2024;..
HOMBRES;porcentaje;TOTAL;2023;..
HOMBRES;porcentaje;TOTAL;2022;..
HOMBRES;porcentaje;TOTAL;2021;..
HOMBRES;porcentaje;TOTAL;2020;..
HOMBRES;porcentaje;TOTAL;2019;..
HOMBRES;porcentaje;TOTAL;2018;..
HOMBRES;porcentaje;TOTAL;2017;..
HOMBRES;porcentaje;TOTAL;2016;..
HOMBRES;porcentaje;TOTAL;2015;..
HOMBRES;porcentaje;TOTAL;2014;..
HOMBRES;porcentaje;TOTAL;2013;..
HOMBRES;porcentaje;TOTAL;2012;..
HOMBRES;porcentaje;TOTAL;2011;..
HOMBRES;porcentaje;TOTAL;2010;..
HOMBRES;porcentaje;TOTAL;2009;..
HOMBRES;porcentaje;TOTAL;2008;..
HOMBRES;porcentaje;931 Actividades deportivas;2024;67,3
HOMBRES;porcentaje;931 Actividades deportivas;2023;67,6
HOMBRES;porcentaje;931 Actividades deportivas;2022;67,4
HOMBRES;porcentaje;931 Actividades deportivas;2021;68,0
HOMBRES;porcentaje;931 Actividades deportivas;2020;..
HOMBRES;porcentaje;931 Actividades deportivas;2019;..
HOMBRES;porcentaje;931 Actividades deportivas;2018;..
HOMBRES;porcentaje;931 Actividades deportivas;2017;..
HOMBRES;porcentaje;931 Actividades deportivas;2016;..
HOMBRES;porcentaje;931 Actividades deportivas;2015;..
HOMBRES;porcentaje;931 Actividades deportivas;2014;..
HOMBRES;porcentaje;931 Actividades deportivas;2013;..
HOMBRES;porcentaje;931 Actividades deportivas;2012;..
HOMBRES;porcentaje;931 Actividades deportivas;2011;..
HOMBRES;porcentaje;931 Actividades deportivas;2010;..
HOMBRES;porcentaje;931 Actividades deportivas;2009;..
HOMBRES;porcentaje;931 Actividades deportivas;2008;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2024;83,8
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2023;87,5
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2022;86,7
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2021;81,8
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2020;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2019;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2018;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2017;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2016;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2015;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2014;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2013;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2012;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2011;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2010;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2009;..
HOMBRES;porcentaje;323 Fabricación de artículos de deporte;2008;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2024;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2023;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2022;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2021;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2020;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2019;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2018;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2017;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2016;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2015;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2014;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2013;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2012;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2011;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2010;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2009;..
HOMBRES;porcentaje;4764 Comercio al por menor de art. deportivos;2008;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2024;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2023;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2022;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2021;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2020;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2019;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2018;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2017;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2016;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2015;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2014;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2013;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2012;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2011;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2010;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2009;..
HOMBRES;porcentaje;8551 Educación deportiva y recreativa;2008;..
MUJERES;valores absolutos;TOTAL;2024;..
MUJERES;valores absolutos;TOTAL;2023;..
MUJERES;valores absolutos;TOTAL;2022;..
MUJERES;valores absolutos;TOTAL;2021;..
MUJERES;valores absolutos;TOTAL;2020;..
MUJERES;valores absolutos;TOTAL;2019;..
MUJERES;valores absolutos;TOTAL;2018;..
MUJERES;valores absolutos;TOTAL;2017;..
MUJERES;valores absolutos;TOTAL;2016;..
MUJERES;valores absolutos;TOTAL;2015;..
MUJERES;valores absolutos;TOTAL;2014;..
MUJERES;valores absolutos;TOTAL;2013;..
MUJERES;valores absolutos;TOTAL;2012;..
MUJERES;valores absolutos;TOTAL;2011;..
MUJERES;valores absolutos;TOTAL;2010;..
MUJERES;valores absolutos;TOTAL;2009;..
MUJERES;valores absolutos;TOTAL;2008;..
MUJERES;valores absolutos;931 Actividades deportivas;2024;4.492,0
MUJERES;valores absolutos;931 Actividades deportivas;2023;4.026,0
MUJERES;valores absolutos;931 Actividades deportivas;2022;3.773,0
MUJERES;valores absolutos;931 Actividades deportivas;2021;3.413,0
MUJERES;valores absolutos;931 Actividades deportivas;2020;..
MUJERES;valores absolutos;931 Actividades deportivas;2019;..
MUJERES;valores absolutos;931 Actividades deportivas;2018;..
MUJERES;valores absolutos;931 Actividades deportivas;2017;..
MUJERES;valores absolutos;931 Actividades deportivas;2016;..
MUJERES;valores absolutos;931 Actividades deportivas;2015;..
MUJERES;valores absolutos;931 Actividades deportivas;2014;..
MUJERES;valores absolutos;931 Actividades deportivas;2013;..
MUJERES;valores absolutos;931 Actividades deportivas;2012;..
MUJERES;valores absolutos;931 Actividades deportivas;2011;..
MUJERES;valores absolutos;931 Actividades deportivas;2010;..
MUJERES;valores absolutos;931 Actividades deportivas;2009;..
MUJERES;valores absolutos;931 Actividades deportivas;2008;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2024;13,0
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2023;11,0
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2022;14,0
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2021;18,0
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2020;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2019;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2018;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2017;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2016;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2015;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2014;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2013;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2012;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2011;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2010;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2009;..
MUJERES;valores absolutos;323 Fabricación de artículos de deporte;2008;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;..
MUJERES;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2024;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2023;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2022;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2021;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2020;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2019;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2018;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2017;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2016;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2015;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2014;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2013;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2012;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2011;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2010;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2009;..
MUJERES;valores absolutos;8551 Educación deportiva y recreativa;2008;..
MUJERES;porcentaje;TOTAL;2024;..
MUJERES;porcentaje;TOTAL;2023;..
MUJERES;porcentaje;TOTAL;2022;..
MUJERES;porcentaje;TOTAL;2021;..
MUJERES;porcentaje;TOTAL;2020;..
MUJERES;porcentaje;TOTAL;2019;..
MUJERES;porcentaje;TOTAL;2018;..
MUJERES;porcentaje;TOTAL;2017;..
MUJERES;porcentaje;TOTAL;2016;..
MUJERES;porcentaje;TOTAL;2015;..
MUJERES;porcentaje;TOTAL;2014;..
MUJERES;porcentaje;TOTAL;2013;..
MUJERES;porcentaje;TOTAL;2012;..
MUJERES;porcentaje;TOTAL;2011;..
MUJERES;porcentaje;TOTAL;2010;..
MUJERES;porcentaje;TOTAL;2009;..
MUJERES;porcentaje;TOTAL;2008;..
MUJERES;porcentaje;931 Actividades deportivas;2024;32,7
MUJERES;porcentaje;931 Actividades deportivas;2023;32,4
MUJERES;porcentaje;931 Actividades deportivas;2022;32,6
MUJERES;porcentaje;931 Actividades deportivas;2021;32,0
MUJERES;porcentaje;931 Actividades deportivas;2020;..
MUJERES;porcentaje;931 Actividades deportivas;2019;..
MUJERES;porcentaje;931 Actividades deportivas;2018;..
MUJERES;porcentaje;931 Actividades deportivas;2017;..
MUJERES;porcentaje;931 Actividades deportivas;2016;..
MUJERES;porcentaje;931 Actividades deportivas;2015;..
MUJERES;porcentaje;931 Actividades deportivas;2014;..
MUJERES;porcentaje;931 Actividades deportivas;2013;..
MUJERES;porcentaje;931 Actividades deportivas;2012;..
MUJERES;porcentaje;931 Actividades deportivas;2011;..
MUJERES;porcentaje;931 Actividades deportivas;2010;..
MUJERES;porcentaje;931 Actividades deportivas;2009;..
MUJERES;porcentaje;931 Actividades deportivas;2008;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2024;16,3
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2023;12,5
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2022;13,3
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2021;18,2
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2020;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2019;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2018;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2017;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2016;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2015;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2014;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2013;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2012;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2011;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2010;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2009;..
MUJERES;porcentaje;323 Fabricación de artículos de deporte;2008;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2024;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2023;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2022;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2021;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2020;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2019;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2018;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2017;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2016;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2015;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2014;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2013;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2012;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2011;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2010;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2009;..
MUJERES;porcentaje;4764 Comercio al por menor de art. deportivos;2008;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2024;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2023;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2022;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2021;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2020;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2019;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2018;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2017;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2016;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2015;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2014;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2013;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2012;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2011;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2010;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2009;..
MUJERES;porcentaje;8551 Educación deportiva y recreativa;2008;..
SOCIEDADES;valores absolutos;TOTAL;2024;14.613,0
SOCIEDADES;valores absolutos;TOTAL;2023;13.780,0
SOCIEDADES;valores absolutos;TOTAL;2022;14.357,0
SOCIEDADES;valores absolutos;TOTAL;2021;13.771,0
SOCIEDADES;valores absolutos;TOTAL;2020;13.926,0
SOCIEDADES;valores absolutos;TOTAL;2019;14.018,0
SOCIEDADES;valores absolutos;TOTAL;2018;13.029,0
SOCIEDADES;valores absolutos;TOTAL;2017;13.229,0
SOCIEDADES;valores absolutos;TOTAL;2016;13.177,0
SOCIEDADES;valores absolutos;TOTAL;2015;12.735,0
SOCIEDADES;valores absolutos;TOTAL;2014;11.975,0
SOCIEDADES;valores absolutos;TOTAL;2013;11.215,0
SOCIEDADES;valores absolutos;TOTAL;2012;10.435,0
SOCIEDADES;valores absolutos;TOTAL;2011;9.805,0
SOCIEDADES;valores absolutos;TOTAL;2010;9.605,0
SOCIEDADES;valores absolutos;TOTAL;2009;9.278,0
SOCIEDADES;valores absolutos;TOTAL;2008;9.023,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2024;10.587,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2023;9.855,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2022;10.152,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2021;9.766,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2020;9.783,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2019;9.792,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2018;9.475,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2017;9.640,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2016;9.558,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2015;9.140,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2014;8.454,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2013;7.820,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2012;7.182,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2011;6.545,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2010;6.358,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2009;6.213,0
SOCIEDADES;valores absolutos;931 Actividades deportivas;2008;5.945,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2024;193,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2023;181,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2022;185,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2021;181,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2020;171,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2019;173,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2018;169,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2017;142,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2016;145,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2015;143,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2014;130,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2013;122,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2012;128,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2011;131,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2010;147,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2009;142,0
SOCIEDADES;valores absolutos;323 Fabricación de artículos de deporte;2008;141,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2024;2.711,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2023;2.698,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2022;3.063,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2021;2.993,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2020;3.118,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2019;3.299,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2018;3.385,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2017;3.447,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2016;3.474,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2015;3.452,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2014;3.391,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2013;3.273,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2012;3.125,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2011;3.129,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2010;3.100,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2009;2.923,0
SOCIEDADES;valores absolutos;4764 Comercio al por menor de art. deportivos;2008;2.937,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2024;1.122,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2023;1.046,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2022;957,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2021;831,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2020;854,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2019;754,0
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2018;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2017;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2016;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2015;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2014;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2013;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2012;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2011;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2010;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2009;..
SOCIEDADES;valores absolutos;8551 Educación deportiva y recreativa;2008;..
SOCIEDADES;porcentaje;TOTAL;2024;33,3
SOCIEDADES;porcentaje;TOTAL;2023;33,5
SOCIEDADES;porcentaje;TOTAL;2022;33,0
SOCIEDADES;porcentaje;TOTAL;2021;33,7
SOCIEDADES;porcentaje;TOTAL;2020;33,9
SOCIEDADES;porcentaje;TOTAL;2019;35,6
SOCIEDADES;porcentaje;TOTAL;2018;37,7
SOCIEDADES;porcentaje;TOTAL;2017;38,7
SOCIEDADES;porcentaje;TOTAL;2016;39,8
SOCIEDADES;porcentaje;TOTAL;2015;40,9
SOCIEDADES;porcentaje;TOTAL;2014;41,7
SOCIEDADES;porcentaje;TOTAL;2013;42,0
SOCIEDADES;porcentaje;TOTAL;2012;40,1
SOCIEDADES;porcentaje;TOTAL;2011;39,8
SOCIEDADES;porcentaje;TOTAL;2010;39,7
SOCIEDADES;porcentaje;TOTAL;2009;40,4
SOCIEDADES;porcentaje;TOTAL;2008;39,4
SOCIEDADES;porcentaje;931 Actividades deportivas;2024;30,1
SOCIEDADES;porcentaje;931 Actividades deportivas;2023;30,2
SOCIEDADES;porcentaje;931 Actividades deportivas;2022;29,3
SOCIEDADES;porcentaje;931 Actividades deportivas;2021;30,1
SOCIEDADES;porcentaje;931 Actividades deportivas;2020;30,3
SOCIEDADES;porcentaje;931 Actividades deportivas;2019;31,9
SOCIEDADES;porcentaje;931 Actividades deportivas;2018;33,5
SOCIEDADES;porcentaje;931 Actividades deportivas;2017;34,8
SOCIEDADES;porcentaje;931 Actividades deportivas;2016;36,5
SOCIEDADES;porcentaje;931 Actividades deportivas;2015;38,1
SOCIEDADES;porcentaje;931 Actividades deportivas;2014;39,3
SOCIEDADES;porcentaje;931 Actividades deportivas;2013;40,6
SOCIEDADES;porcentaje;931 Actividades deportivas;2012;39,5
SOCIEDADES;porcentaje;931 Actividades deportivas;2011;38,9
SOCIEDADES;porcentaje;931 Actividades deportivas;2010;39,0
SOCIEDADES;porcentaje;931 Actividades deportivas;2009;40,8
SOCIEDADES;porcentaje;931 Actividades deportivas;2008;39,7
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2024;68,0
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2023;64,4
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2022;61,3
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2021;62,0
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2020;62,9
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2019;63,1
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2018;64,8
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2017;65,4
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2016;69,7
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2015;70,1
SOCIEDADES;porcentaje;323 Fabricación de artículos de deporte;2014;73,4
