Indicador;Número de asalariados;periodo;Total
Porcentaje (del total de empresas);De 50 a 99 asalariados;2020;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2019;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2018;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2017;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2016;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2015;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2014;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2013;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2012;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2011;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2010;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2009;0,4
Porcentaje (del total de empresas);De 50 a 99 asalariados;2008;0,5
Porcentaje (del total de empresas);De 100 y más asalariados;2024;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2023;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2022;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2021;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2020;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2019;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2018;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2017;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2016;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2015;0,3
Porcentaje (del total de empresas);De 100 y más asalariados;2014;0,3
Porcentaje (del total de empresas);De 100 y más asalariados;2013;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2012;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2011;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2010;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2009;0,4
Porcentaje (del total de empresas);De 100 y más asalariados;2008;0,4
