Indicador;Número de asalariados;periodo;Total
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2020;43,7
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2019;44,4
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2018;42,5
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2017;43,0
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2016;43,1
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2015;42,6
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2014;43,0
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2013;42,6
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2012;39,4
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2011;39,0
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2010;41,1
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2009;43,4
Porcentaje (de empresas vinculadas al deporte);De 1 a 5 asalariados;2008;44,4
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2024;6,8
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2023;6,8
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2022;6,2
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2021;6,0
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2020;6,5
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2019;6,4
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2018;5,9
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2017;6,1
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2016;6,2
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2015;5,8
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2014;5,7
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2013;5,4
Porcentaje (de empresas vinculadas al deporte);De 6 a 9 asalariados;2012;5,0
