Indicador;Comunidad autónoma;periodo;Total
Valores absolutos;Ceuta y Melilla;2009;..
Valores absolutos;Ceuta y Melilla;2008;..
En % del total de empresas;Total;2024;1,3
En % del total de empresas;Total;2023;1,3
En % del total de empresas;Total;2022;1,3
En % del total de empresas;Total;2021;1,2
En % del total de empresas;Total;2020;1,2
En % del total de empresas;Total;2019;1,2
En % del total de empresas;Total;2018;1,0
En % del total de empresas;Total;2017;1,0
En % del total de empresas;Total;2016;1,0
En % del total de empresas;Total;2015;1,0
En % del total de empresas;Total;2014;0,9
En % del total de empresas;Total;2013;0,8
En % del total de empresas;Total;2012;0,8
En % del total de empresas;Total;2011;0,8
En % del total de empresas;Total;2010;0,7
En % del total de empresas;Total;2009;0,7
En % del total de empresas;Total;2008;0,7
En % del total de empresas;Andalucía;2024;1,3
En % del total de empresas;Andalucía;2023;1,2
En % del total de empresas;Andalucía;2022;1,2
En % del total de empresas;Andalucía;2021;1,1
En % del total de empresas;Andalucía;2020;1,1
En % del total de empresas;Andalucía;2019;1,1
En % del total de empresas;Andalucía;2018;1,0
En % del total de empresas;Andalucía;2017;1,0
En % del total de empresas;Andalucía;2016;1,0
En % del total de empresas;Andalucía;2015;1,0
En % del total de empresas;Andalucía;2014;0,9
En % del total de empresas;Andalucía;2013;0,8
En % del total de empresas;Andalucía;2012;0,8
En % del total de empresas;Andalucía;2011;0,8
En % del total de empresas;Andalucía;2010;0,7
En % del total de empresas;Andalucía;2009;0,7
En % del total de empresas;Andalucía;2008;0,7
En % del total de empresas;Aragón;2024;1,4
En % del total de empresas;Aragón;2023;1,3
En % del total de empresas;Aragón;2022;1,4
En % del total de empresas;Aragón;2021;1,3
En % del total de empresas;Aragón;2020;1,3
En % del total de empresas;Aragón;2019;1,2
En % del total de empresas;Aragón;2018;1,0
En % del total de empresas;Aragón;2017;1,0
En % del total de empresas;Aragón;2016;1,0
En % del total de empresas;Aragón;2015;0,9
En % del total de empresas;Aragón;2014;0,8
En % del total de empresas;Aragón;2013;0,7
En % del total de empresas;Aragón;2012;0,7
En % del total de empresas;Aragón;2011;0,6
En % del total de empresas;Aragón;2010;0,6
En % del total de empresas;Aragón;2009;0,6
En % del total de empresas;Aragón;2008;0,6
En % del total de empresas;Asturias, Principado de;2024;1,5
En % del total de empresas;Asturias, Principado de;2023;1,4
En % del total de empresas;Asturias, Principado de;2022;1,4
En % del total de empresas;Asturias, Principado de;2021;1,3
En % del total de empresas;Asturias, Principado de;2020;1,3
En % del total de empresas;Asturias, Principado de;2019;1,3
En % del total de empresas;Asturias, Principado de;2018;1,1
En % del total de empresas;Asturias, Principado de;2017;1,1
En % del total de empresas;Asturias, Principado de;2016;1,1
En % del total de empresas;Asturias, Principado de;2015;1,0
En % del total de empresas;Asturias, Principado de;2014;1,0
En % del total de empresas;Asturias, Principado de;2013;0,9
En % del total de empresas;Asturias, Principado de;2012;0,9
En % del total de empresas;Asturias, Principado de;2011;0,8
En % del total de empresas;Asturias, Principado de;2010;0,8
En % del total de empresas;Asturias, Principado de;2009;0,7
En % del total de empresas;Asturias, Principado de;2008;0,7
En % del total de empresas;Balears, Illes;2024;1,7
En % del total de empresas;Balears, Illes;2023;1,7
En % del total de empresas;Balears, Illes;2022;1,6
En % del total de empresas;Balears, Illes;2021;1,6
En % del total de empresas;Balears, Illes;2020;1,5
En % del total de empresas;Balears, Illes;2019;1,5
En % del total de empresas;Balears, Illes;2018;1,4
En % del total de empresas;Balears, Illes;2017;1,4
En % del total de empresas;Balears, Illes;2016;1,4
En % del total de empresas;Balears, Illes;2015;1,4
En % del total de empresas;Balears, Illes;2014;1,3
En % del total de empresas;Balears, Illes;2013;1,3
En % del total de empresas;Balears, Illes;2012;1,3
En % del total de empresas;Balears, Illes;2011;1,2
En % del total de empresas;Balears, Illes;2010;1,1
En % del total de empresas;Balears, Illes;2009;1,0
En % del total de empresas;Balears, Illes;2008;1,0
En % del total de empresas;Canarias;2024;1,8
En % del total de empresas;Canarias;2023;1,7
En % del total de empresas;Canarias;2022;1,7
En % del total de empresas;Canarias;2021;1,6
En % del total de empresas;Canarias;2020;1,6
En % del total de empresas;Canarias;2019;1,5
En % del total de empresas;Canarias;2018;1,4
En % del total de empresas;Canarias;2017;1,4
En % del total de empresas;Canarias;2016;1,4
En % del total de empresas;Canarias;2015;1,3
En % del total de empresas;Canarias;2014;1,3
En % del total de empresas;Canarias;2013;1,1
En % del total de empresas;Canarias;2012;1,1
En % del total de empresas;Canarias;2011;1,0
En % del total de empresas;Canarias;2010;1,0
En % del total de empresas;Canarias;2009;0,9
En % del total de empresas;Canarias;2008;0,9
En % del total de empresas;Cantabria;2024;1,8
En % del total de empresas;Cantabria;2023;1,8
En % del total de empresas;Cantabria;2022;1,6
En % del total de empresas;Cantabria;2021;1,5
En % del total de empresas;Cantabria;2020;1,5
En % del total de empresas;Cantabria;2019;1,5
En % del total de empresas;Cantabria;2018;1,2
En % del total de empresas;Cantabria;2017;1,2
En % del total de empresas;Cantabria;2016;1,1
En % del total de empresas;Cantabria;2015;1,1
En % del total de empresas;Cantabria;2014;1,0
En % del total de empresas;Cantabria;2013;0,9
En % del total de empresas;Cantabria;2012;0,8
En % del total de empresas;Cantabria;2011;0,8
En % del total de empresas;Cantabria;2010;0,7
En % del total de empresas;Cantabria;2009;0,8
En % del total de empresas;Cantabria;2008;0,8
En % del total de empresas;Castilla y León;2024;1,2
En % del total de empresas;Castilla y León;2023;1,2
En % del total de empresas;Castilla y León;2022;1,5
En % del total de empresas;Castilla y León;2021;1,4
En % del total de empresas;Castilla y León;2020;1,4
En % del total de empresas;Castilla y León;2019;1,4
En % del total de empresas;Castilla y León;2018;1,2
En % del total de empresas;Castilla y León;2017;1,2
En % del total de empresas;Castilla y León;2016;1,2
En % del total de empresas;Castilla y León;2015;1,1
En % del total de empresas;Castilla y León;2014;1,0
En % del total de empresas;Castilla y León;2013;0,9
En % del total de empresas;Castilla y León;2012;0,9
En % del total de empresas;Castilla y León;2011;0,8
En % del total de empresas;Castilla y León;2010;0,7
En % del total de empresas;Castilla y León;2009;0,7
En % del total de empresas;Castilla y León;2008;0,6
En % del total de empresas;Castilla-La Mancha;2024;1,3
En % del total de empresas;Castilla-La Mancha;2023;1,2
En % del total de empresas;Castilla-La Mancha;2022;1,2
En % del total de empresas;Castilla-La Mancha;2021;1,2
En % del total de empresas;Castilla-La Mancha;2020;1,2
En % del total de empresas;Castilla-La Mancha;2019;1,2
En % del total de empresas;Castilla-La Mancha;2018;1,0
En % del total de empresas;Castilla-La Mancha;2017;1,0
En % del total de empresas;Castilla-La Mancha;2016;1,0
En % del total de empresas;Castilla-La Mancha;2015;0,9
En % del total de empresas;Castilla-La Mancha;2014;0,8
En % del total de empresas;Castilla-La Mancha;2013;0,7
En % del total de empresas;Castilla-La Mancha;2012;0,7
En % del total de empresas;Castilla-La Mancha;2011;0,6
En % del total de empresas;Castilla-La Mancha;2010;0,6
En % del total de empresas;Castilla-La Mancha;2009;0,6
En % del total de empresas;Castilla-La Mancha;2008;0,6
En % del total de empresas;Cataluña;2024;1,2
En % del total de empresas;Cataluña;2023;1,2
En % del total de empresas;Cataluña;2022;1,1
En % del total de empresas;Cataluña;2021;1,1
En % del total de empresas;Cataluña;2020;1,1
En % del total de empresas;Cataluña;2019;1,1
En % del total de empresas;Cataluña;2018;1,0
En % del total de empresas;Cataluña;2017;1,0
En % del total de empresas;Cataluña;2016;1,0
En % del total de empresas;Cataluña;2015;0,9
En % del total de empresas;Cataluña;2014;0,9
En % del total de empresas;Cataluña;2013;0,8
En % del total de empresas;Cataluña;2012;0,8
En % del total de empresas;Cataluña;2011;0,7
En % del total de empresas;Cataluña;2010;0,7
En % del total de empresas;Cataluña;2009;0,7
En % del total de empresas;Cataluña;2008;0,6
En % del total de empresas;Comunitat Valenciana;2024;1,4
En % del total de empresas;Comunitat Valenciana;2023;1,3
En % del total de empresas;Comunitat Valenciana;2022;1,3
En % del total de empresas;Comunitat Valenciana;2021;1,2
En % del total de empresas;Comunitat Valenciana;2020;1,2
En % del total de empresas;Comunitat Valenciana;2019;1,1
En % del total de empresas;Comunitat Valenciana;2018;1,0
En % del total de empresas;Comunitat Valenciana;2017;1,0
En % del total de empresas;Comunitat Valenciana;2016;1,0
En % del total de empresas;Comunitat Valenciana;2015;0,9
En % del total de empresas;Comunitat Valenciana;2014;0,9
En % del total de empresas;Comunitat Valenciana;2013;0,8
En % del total de empresas;Comunitat Valenciana;2012;0,8
En % del total de empresas;Comunitat Valenciana;2011;0,7
En % del total de empresas;Comunitat Valenciana;2010;0,7
En % del total de empresas;Comunitat Valenciana;2009;0,7
En % del total de empresas;Comunitat Valenciana;2008;0,6
En % del total de empresas;Extremadura;2024;1,3
En % del total de empresas;Extremadura;2023;1,2
En % del total de empresas;Extremadura;2022;1,2
En % del total de empresas;Extremadura;2021;1,1
En % del total de empresas;Extremadura;2020;1,1
En % del total de empresas;Extremadura;2019;1,1
En % del total de empresas;Extremadura;2018;1,0
En % del total de empresas;Extremadura;2017;1,0
En % del total de empresas;Extremadura;2016;1,0
En % del total de empresas;Extremadura;2015;0,9
En % del total de empresas;Extremadura;2014;0,9
En % del total de empresas;Extremadura;2013;0,8
En % del total de empresas;Extremadura;2012;0,8
En % del total de empresas;Extremadura;2011;0,7
En % del total de empresas;Extremadura;2010;0,7
En % del total de empresas;Extremadura;2009;0,6
